direction	name	protocol_id	size_bytes	payload_shape	evidence	confidence	notes
C2S	KPlayerClient::DoSyncDungeonCompetitorSkillCDStateRequest	0x1E6	0xF (15)	hdr + u32@0xB = [request+8]	proof/pvp/netcode/disasm/KPlayerClient__DoSyncDungeonCompetitorSkillCDStateRequest.txt (fn 0x18017AE00; mov eax,0x1e6 @0x18017AE57; r8d=0xF @0x18017AE5C; param [rdx+8] @0x18017AE67)	HIGH id/size	Dungeon variant of 0x161; success path past the null-arg assert
C2S	KPlayerClient::DoCancelSyncDungeonCompetitorSkillCDStateRequest	0x1E7	0xB (11)	hdr only	proof/pvp/netcode/disasm/KPlayerClient__DoCancelSyncDungeonCompetitorSkillCDStateRequest.txt (fn 0x180170130; mov eax,0x1e7 @0x180170143; r8d=0xB @0x18017014D)	HIGH id/size	Dungeon variant of 0x162
C2S	KPlayerClient::DoApplyBFRoleData	0x153	0x17 (23)	catalog + builder summary	proof/netcode/c2s_protocol_catalog.tsv:29; proof/pvp/netcode/disasm/KPlayerClient__DoApplyBFRoleData.txt (call@0x18016B2C6 proto=0x153 size=0x17)	MED	Battlefield role data apply/request
C2S	KPlayerClient::DoApplyBFPlayerTeamGroupIDInfo	0x160	0xB (11)	catalog + builder summary	proof/netcode/c2s_protocol_catalog.tsv:28; proof/pvp/netcode/disasm/KPlayerClient__DoApplyBFPlayerTeamGroupIDInfo.txt (proto=0x160 size=0xB)	MED	Battlefield team/group id info
C2S	KPlayerClient::DoSyncSubSkillPosition	0x71 / 0x14F / 0x1A8	0x3B / 0xF / 0x1F	catalog rows	proof/netcode/c2s_protocol_catalog.tsv:371-373	LOW	Catalog attribution collides with DoSyncOBCompetitorSkillList (same builder 0x71); 0x14F/0x1A8 unverified
S2C	KPlayerClient::OnSkillPrepare	?	?	hdr; caster@+7 (bit30=NPC); skill@+0xB; level@+0xF; castTime@+0x10; kind@+0x14 (2 vs 3/4); +0x15/+0x19/+0x1D	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSkillPrepare.txt (fn region 0x180190340; xref 0x180190408; reads [rdi+7],[rdi+0xb],[rdi+0xf],[rdi+0x10],[rdi+0x14],[rdi+0x15],[rdi+0x19],[rdi+0x1d])	HIGH shape; MED semantics	Server-arbitrated prepare/cast-bar start; no client cast message of this name
S2C	KPlayerClient::OnSkillCast	?	?	hdr; caster@+7; skill@+0xB; level@+0xF; val@+0x10; flag@+0x14; +0x15; kind@+0x16; +0x17/+0x1B/+0x1F/+0x23	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSkillCast.txt (fn 0x18018F220; xref 0x18018F2D5)	HIGH shape; MED semantics	Animation start + optional target position (flag @+0x14)
S2C	KPlayerClient::OnSkillChannel	?	?	hdr; caster@+7; skill@+0xB; level@+0xF; +0x10/+0x14; kind@+0x18; +0x19/+0x1D/+0x21	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSkillChannel.txt (fn 0x18018F760; xref 0x18018F828)	HIGH shape; MED semantics	Channel tick/state; same kind-byte dispatch family as prepare/cast
S2C	KPlayerClient::OnSkillEffectResult	?	min 0x23 = 35; +9B per result	caster/flags@+9 (dword), @+0xD (dword), u8@+0x15, u32@+0x16, u8@+0x1A, flags@+0x1B, flags@+0x1C, s8 count@+0x22; KSKILL_RESULT[count] @+0x23 (9B each)	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSkillEffectResult.txt (fn 0x18018F950; cmp r8,0x23 @0x18018F9A9; lea rcx,[rax*8+0x23] @0x18018FA8B) + exe assert 0x007C04C0	HIGH shape; MED semantics	Damage/heal/result payload; assert `nSize == sizeof(S2C_SKILL_EFFECT_RESULT) + sizeof(KSKILL_RESULT)*cResultCount`, `cResultCount < MAX_UI_SKILL_RESULT_TYPE_COUNT`
S2C	KPlayerClient::OnSkillBeatBack	?	?	hdr; entity@+7; dword@+0xB; flag@+0xF; switch on entity+0xC70 (0..9)	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSkillBeatBack.txt (fn 0x18018EEC0; xref 0x18018F095)	HIGH shape; MED semantics	Beat-back/knockback reaction; two cases gated by [packet+0xF]==0
S2C	KPlayerClient::OnSkillRayEffect	?	?	hdr; caster@+0xF; entity@+0x13; skill@+0xB; val@+0x14	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSkillRayEffect.txt (xref 0x1801905D6; reads [rdi+0xf],[rdi+0x13],[rdi+0xb],[rdx+0x14])	MED shape	Ray/beam visual effect; note differing caster offset vs prepare/cast
S2C	KPlayerClient::OnSkillChainEffect	?	?	hdr; skill@+9; +0xD; caster@+0x11 (bit30); u32 count@+0x15; array after	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSkillChainEffect.txt (fn 0x18018F4A0; xref 0x18018F731; reads [r13+0x11],[r13+9],[r13+0xd],[r13+0x15])	HIGH shape; MED semantics	Chain/leap effect with count-prefixed array
S2C	KPlayerClient::OnPointChainSkillEffect	?	0x29 + 4*nCount (41+4n)	hdr + u32@+0xD + u32@+0x11 + u32@+0x15 + u32@+0x19 + u32@+0x1D + u32@+0x21 + s32 count@+0x25 + DWORD array@+0x29	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnPointChainSkillEffect.txt (fn 0x18018C160; `lea rax,[rcx*4+0x29]` @0x18018C1A3; `cmp edi,[rbx+0x25]` @0x18018C212) + exe assert 0x007C05D0	HIGH shape; MED semantics	Point-chain (multi-target chain) effect; count-prefixed DWORD list
S2C	KPlayerClient::OnStartHoardSkill	?	?	hdr; caster@+7; skill@+0xB; level@+0xF; kind@+0x10; +0x11/+0x15/+0x19	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnStartHoardSkill.txt (fn 0x180190790; xref 0x180190854)	HIGH shape; MED semantics	Hoard start (charge) event
S2C	KPlayerClient::OnResetCooldown	?	?	hdr; entity@+7 (player); cdID@+0xB; s32 delta@+0xF (-1 = reset all); dword@+0x13	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnResetCooldown.txt (fn 0x18018D4D0; reads [rbx+7],[rbx+0xb],[rbx+0xf],[rbx+0x13]; mgr at entity+0xB930; base entity+0xB924)	HIGH shape; MED semantics	-1 at +0xF branches to 0x180314050 (all/reset); else remaining = base(+0xB924)+delta
S2C	KPlayerClient::OnPauseCDTimer	?	?	hdr; entity@+7; u8@+0xB -> entity+0xB920	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnPauseCDTimer.txt (fn 0x18018B9A0; movzx eax,byte [rbx+0xb]; mov [rcx+0xb920],eax)	HIGH shape; MED semantics	Pause/resume the whole cooldown clock (1 byte flag)
S2C	KPlayerClient::OnAccelerateCDTimer	?	?	hdr; entity@+7; u8@+0xB -> entity+0xB928; u32@+0x10 -> entity+0xB92C	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnAccelerateCDTimer.txt (fn 0x18017DB80)	HIGH shape; MED semantics	Accelerate cooldown clock (percent/rate) + flag; two flush calls to 0x180314520
S2C	KPlayerClient::OnCoolDownOverDraftNotify	?	?	hdr; entity@+7; u32@+0xB; u32@+0xF (-1 sentinel)	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnCoolDownOverDraftNotify.txt (fn 0x180184170)	HIGH shape; MED semantics	Overdraft/charge notify; -1 at +0xF -> 0x180314130(mgr) else 0x180314460(mgr,[+0xB],[+0xF])
S2C	KPlayerClient::OnSyncBuffList	?	wDataSize+0x17	entity@+9 (dword); u32@+0xD; u32@+0x11; u16 wDataSize@+0x15; data@+0x17	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSyncBuffList.txt (fn 0x180195010; size check `[rdx+0x15]+0x17 == r8`; entity lookup from [rdx+9]) + exe assert 0x007C0640	HIGH shape; MED semantics	Full buff-list sync for an entity; data blob parsed by 0x1803110A0
S2C	KPlayerClient::OnSyncBuffSingle	?	?	string only	proof/netcode/JX3LogicEditOperation_net_strings.txt @0x007717A0 (logic); exe @0x007C0680	LOW	Incremental single-buff sync; layout not extracted
S2C	KPlayerClient::OnCharacterDeath	?	?	hdr; dead@+7; killer@+0xB; u32@+0xF; u32@+0x13; u32@+0x17; u32@+0x1B -> entity+0x44	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnCharacterDeath.txt (fn 0x1801833A0; call 0x1802ADD20 with [rdi+0xf],[rdi+0x13],[rdi+0x17])	HIGH shape; MED semantics	Death event; [rdi+7]/[rdi+0xB] forwarded as (dead,killer) pair to vtable+0x518/0x510
S2C	KPlayerClient::OnSyncBattlefieldCompetitorCDState	?	?	hdr; entity@+7; u32@+0xB->+0xB920; u32@+0xF->+0xB924; u32@+0x13->+0x9F40; u32@+0x17->+0x9F44	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSyncBattlefieldCompetitorCDState.txt (fn 0x180194490)	HIGH shape; MED semantics	Competitor cooldown state push (battlefield); requires pTarget player + self player present
S2C	KPlayerClient::OnSyncArenaCompetitorCDState	?	?	hdr; entity@+7; u32@+0xF->+0xB920; u32@+0xB->+0xB924; u32@+0x13->+0x9F40; u32@+0x17->+0x9F44 (0xB/0xF swapped vs battlefield)	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSyncArenaCompetitorCDState.txt (fn 0x180192EE0) + exe assert 0x008206D0 region `sizeof(S2C_SYNC_ARENA_COMPETITIOR_CD_STATE)==nSize`	HIGH shape; MED semantics	Arena variant; struct name (typo "COMPETITIOR") in video-replay asserts
S2C	KPlayerClient::OnSyncBattlefieldCompetitorBuffList	?	wDataSize+0x17	hdr; entity@+9; u32@+0xD; u32@+0x11; u16 wDataSize@+0x15; data@+0x17	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSyncBattlefieldCompetitorBuffList.txt (fn 0x180194390) + exe assert 0x007C8020	HIGH shape; MED semantics	Competitor buff list (battlefield); same wire shape as OnSyncBuffList
S2C	KPlayerClient::OnSyncPlayerStateInfo	?	~0x58+	hdr; u8@+7; u16@+8; u32@+0xA; u32@+0xE; u32@+0x12; u32@+0x16; u32@+0x1A; u32@+0x1E; u32@+0x22; u8@+0x26; u8@+0x28; u32@+0x29; u32@+0x2D; u16@+0x31; u32@+0x33; u8@+0x37..+0x3A; u8@+0x3C; u16@+0x3D; u8@+0x3F; u8@+0x40; u32@+0x41; u16@+0x45; u32@+0x47; u32@+0x4B; u8@+0x4F; s32@+0x50; u32@+0x54	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSyncPlayerStateInfo.txt (fn 0x1801A1E60; reads listed offsets)	HIGH offsets; LOW semantics	Periodic player-state field sync (HP/MP/state/pos-related flags); field meaning not decoded
S2C	KPlayerClient::OnSyncMoveState	?	?	hdr; u8@+0xB -> +0x44; u8@+0xC -> +0x48; u8@+0xD -> +0xC08; vec/blob@+0x12; blob@+0x1B; packed u64@+0x2B (bits0-17 X, 18-35 Y, 36-61 Z, 58-61 nibble, bit62 flag); u32@+0xE (bit0, bits1-30, bit31); u8@+0x33 -> +0x2B4	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSyncMoveState.txt (fn 0x18019CF90)	HIGH offsets; MED bitfields	Server move-state + packed transform; calls 0x1802ADD20(entity,...)
S2C	KPlayerClient::OnSyncStealthCharacter	?	?	hdr; entity@+7; subsequent blob passed to 0x1800D4BB0(&ctx+0x28F98, out, &id)	proof/pvp/netcode/disasm_deep2/KPlayerClient__OnSyncStealthCharacter.txt (fn 0x1801A7310)	MED shape	Stealth visibility state; next function (0x1801A73E0) writes u8@+0xB -> entity+0x4AC and u8@+0xC -> entity+0x4C4 (related handler)
S2C	KPlayerClient::OnSetCamp / OnSetForce / OnSetBattleFieldSide / OnSyncCampInfo / OnSyncSceneCampTypeToPlayer	?	?	string only	proof/netcode/JX3LogicEditOperation_net_strings.txt @0x00774B68, @0x007730D8, @0x007730F8, @0x00773D78, @0x007772C8; exe assert 0x007C2CC0 (S2C_SYNC_CAMP_INFO)	MED (existence)	Camp/force/side authority messages; OnSyncCampInfo = sizeof + byCampNpcCount*KSYNC_CAMP_NPC_INFO
S2C	KPlayerClient::OnSyncTargetOutputDamage / OnPVEDamageStatNotify / OnSyncBattleStatFlag	?	?	string only	proof/netcode/JX3LogicEditOperation_net_strings.txt @0x0077B168, @0x0077A3B8, @0x0077A418	MED (existence)	Combat statistics / output-damage meters
S2C	KPlayerClient::OnSyncSkillData / OnSyncSkillRecipe / OnSyncProxySkillInfo / OnSyncCommonSkillAutoCastState	?	?	string only (+ assert S2C_SYNC_SKILL_DATA 0x007C01A8)	proof/netcode/JX3LogicEditOperation_net_strings.txt @0x007712A8, @0x007712F0, @0x00777A30, @0x007714B0	MED (existence)	Skill data / recipe / proxy-skill config sync
S2C	KVideoReplayer::On* combat mirror	?	?	replay-time asserts with protocol type names	proof/pvp/netcode/disasm/KPlayerClient__OnResetCooldown.txt @0x007B2A4D region: `pSync->byProtocolID == s2c_sync_arena_competitior_cd_state`, `nSize == sizeof(S2C_PAUSE_CD_TIMER)`, `sizeof(S2C_ACCELERATE_CD_TIMER)`; exe 0x008205C0-0x008207F0	MED	Video replay validates the same protocol structs; proves names S2C_RESET_COOLDOWN / S2C_PAUSE_CD_TIMER / S2C_ACCELERATE_CD_TIMER / S2C_COOLDOWN_OVER_DRAFT_NOTIFY
