Usage	count	inferred_meaning	confidence	sample_rows(ID;Duration;Min;Max;Count;OverDraft;Accel;SyncOB;note)
38	29	毒(活动)	MED	230|30|30|30|1|0|0|0|火毒 ;; 231|5|5|5|1|0|0|0|木毒 ;; 232|5|5|5|1|0|0|0|水毒
83	28	万灵山庄(抟风令等)	MED	2883|60|0|60|1|0|1|1|抟风令 ;; 2887|28|28|28|1|0|1|1|雾刃飞光 ;; 2888|8|0|8|2|0|1|1|劈风令
80	25	段氏(擒拿)	MED	2408|3|3|3|1|0|1|0|凝视调息 ;; 2423|1.5|0|1.5|1|0|1|0|纷绞势CD ;; 2424|12|12|12|1|0|1|1|顾应式CD
31	18	奇穴辅助系(百战?)	MED	220|1800|1800|1800|1|0|0|0|辅助系_脑户_高血高防 ;; 221|120|120|120|1|0|0|0|辅助系_后顶_吸收伤害 ;; 222|600|600|600|1|0|0|0|辅助系_百合_回血
70	18	百战/宠物?	MED	926|5|5|5|1|0|0|0|喂草CD ;; 927|5|5|5|1|0|0|0|喂水CD ;; 928|1.5|1.5|1.5|1|0|0|0|治疗CD
86	17	活动(五行/超链接)	MED	3466|30|30|30|1|0|1|0|金—集火 ;; 3467|60|60|60|1|0|1|0|超链接 ;; 3468|45|45|45|1|0|1|0|土_主动获得护盾
72	14	方士/绿林(身份)	MED	1055|60|60|60|1|0|0|0|方士_出魂 ;; 1057|60|60|60|1|0|0|0|方士_还魂 ;; 1065|10|10|10|1|0|0|0|绿林_初级陷阱
24	13	药品共用CD	MED	9|30|30|30|1|0|0|0|非战斗状态立即恢复品CD ;; 10|10|10|10|1|0|0|0|非战斗状态HOT恢复品CD ;; 76|1|1|1|1|0|0|0|医术公用CD
62	13	御城(活动)	MED	688|1.5|1.5|1.5|1|0|0|0|御城·极 ;; 689|5|5|5|1|0|0|0|御城·锋 ;; 690|30|30|30|1|0|0|0|御城·盾
65	12	神机车/载具	MED	713|5|5|5|1|0|0|0|神机车_切换状态 ;; 720|1|1|1|1|0|0|0|神机台1秒 ;; 721|0.25|0.25|0.25|1|0|0|0|神机台_0.25秒
61	8	长CD通用	MED	673|30|30|30|1|0|0|0|势如破竹 ;; 674|60|60|60|1|0|0|0|加盾 ;; 675|3|3|3|1|0|0|0|aoe
44	5	活动道具	MED	317|14400|14400|14400|1|0|0|0|五彩球·赤 ;; 318|14400|14400|14400|1|0|0|0|五彩球·蓝 ;; 324|86400|86400|86400|1|0|0|0|天工皮革
14	4	技艺/烹饪	MED	131|3600|3600|3600|1|0|0|0|大餐 ;; 132|1|1|1|1|0|0|0|烹饪公共CD ;; 319|1800|1800|1800|1|0|0|0|元旦节日_经验
49	4	称号/外观	MED	380|3600|3600|3600|1|0|0|0|CD1小时 ;; 381|3600|3600|3600|1|0|0|0|CD1小时 ;; 419|59|59|59|1|0|0|0|CD59秒
21	3	任务机关	MED	90|1800|1800|1800|1|0|0|0|寇岛宝藏机甲人 ;; 143|6|6|6|1|0|0|0|寇岛火炬任务 ;; 541|2|2|2|1|0|0|0|寇岛火炮
15	2	绷带/消耗品	MED	11|30|30|30|1|0|0|0|绷带CD ;; 202|5|5|5|1|0|0|0|稻香村赶猪棒
66	2	驯养	MED	725|10|10|10|1|0|0|0|驯养相关之一 ;; 726|10|10|10|1|0|0|0|驯养相关之二
29	1	任务	MED	109|3|3|3|1|0|0|0|枫华谷任务_毒龙镖
16	1	unknown	LOW	213|20|20|20|1|0|0|0|扬州捉萤火虫
锻造	1	锻造技艺	MED	354|72000|72000|72000|1|0|0|0|玉钢锭
成都	1	活动(蹴鞠)	MED	458|600|600|600|1|0|0|0|蹴鞠袋子CD_10分钟
48	1	道具	MED	2005|60|60|60|1|0|0|0|破刀墙道具
