attribute	chinese_label	in_Attribute_txt	in_Buff_tab	in_engine_enum	GeneratedBase	GeneratedMagic	PreviewBase	PreviewMagic	HorseBase	HorseMagic	buff_ui_context	buff_tab_refs
atMagicOvercome	内功破防等级提高	Y	Y	Y		内功破防等级提高{D0}		内功破防等级提高{D0=D1?D0:D0~\-~D1}			ike>点，内功破防提高	96
atMagicShield	内功防御等级提高	Y	Y	Y	内功防御等级提高{D0}	内功防御等级提高{D0}	内功防御等级提高{D0=D1?D0:D0~\-~D1}	内功防御等级提高{D0=D1?D0:D0~\-~D1}			e>点，内功防御等级提高	461
atManaReplenishExt	每秒内力恢复提升	Y	Y	Y		每秒内力恢复提升{D0}		每秒内力恢复提升{D0=D1?D0:D0~\-~D1}			每秒恢复的内力值提高	75
atManaReplenishPercent	每秒内力恢复提升	Y	Y	Y		每秒内力恢复提升{D0}成		每秒内力恢复提升{D0=D1?D0:D0~\-~D1}成				121
atMaxLifeAdditional	额外提高气血上限	Y	Y	Y		额外提高气血上限{D0}		额外提高气血上限{D0=D1?D0:D0~\-~D1}			基础气血最大值提高	485
atMaxLifeBase	气血上限提高	Y	Y	Y	气血上限提高{D0}	气血上限提高{D0}	气血上限提高{D0=D1?D0:D0~\-~D1}	气血上限提高{D0=D1?D0:D0~\-~D1}			气血最大值提高	611
atMaxLifePercentAdd	气血上限提高	Y	Y	Y		气血上限提高{D0}成		气血上限提高{D0=D1?D0:D0~\-~D1}成			气血最大值降低	673
atMaxManaAdditional	额外提高内力上限	Y	Y	Y		额外提高内力上限{D0}		额外提高内力上限{D0=D1?D0:D0~\-~D1}			al>点，内力最大值提高	45
atMaxManaBase	内力上限提高	Y	Y	Y		内力上限提高{D0}		内力上限提高{D0=D1?D0:D0~\-~D1}			内力最大值提高	23
atMaxManaPercentAdd	内力上限提高	Y	Y	Y		内力上限提高{D0}成		内力上限提高{D0=D1?D0:D0~\-~D1}成				17
atMeleeWeaponAttackSpeedAdditional	武器攻速提高	Y		Y		武器攻速提高{D0#1}		武器攻速提高{D0=D1?D0#1:D0#1~\-~D1#1}				0
atMeleeWeaponAttackSpeedBase	速度	Y	Y	Y	速度{D0#1}	武器速度{D0#1}	速度{D0=D1?D0#1:D0#1~\-~D1#1}	速度{D0=D1?D0#1:D0#1~\-~D1#1}				1
atMeleeWeaponDamageBase	武器伤害提高	Y	Y	Y	武器伤害提高{D0=D1?D0:D0~\-~D1}	武器伤害提高{D0=D1?D0:D0~\-~D1}	武器伤害{D0=D1?D0:D0~\-~D1}-{D2=D3?D2:D2~\-~D3}	武器伤害提高{D0=D1?D0:D0~\-~D1}-{D2=D3?D2:D2~\-~D3}			武器伤害提高	1491
atModifyCostManaPercent	招式内力消耗	Y	Y	Y		招式内力消耗{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}		招式内力消耗{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}				116
atMoveSpeedPercent	移动速度	Y	Y	Y	移动速度{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}	移动速度{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}	移动速度{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}	移动速度{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}	移动速度{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}	移动速度{D0>0?提高~D0*100/1024~\%:降低~D0*100/(-1024)~\%}	移动速度降低	2690
atNeutralAttackPowerBase	混元性内功攻击提高	Y	Y	Y		混元性内功攻击提高{D0}		混元性内功攻击增加{D0=D1?D0:D0~\-~D1}			混元性内功攻击提高	101
atNeutralCriticalDamagePowerBase	混元性内功会心效果等级提高	Y		Y		混元性内功会心效果等级提高{D0}		混元性内功会心效果等级提高{D0=D1?D0:D0~\-~D1}				0
atNeutralCriticalDamagePowerPercent	混元性内功会心效果等级修正值提高	Y		Y		混元性内功会心效果等级修正值提高{D0}		混元性内功会心效果等级修正值提高{D0=D1?D0:D0~\-~D1}				0
atNeutralCriticalStrike	混元性内功会心等级提高	Y	Y	Y		混元性内功会心等级提高{D0}		混元性内功会心等级提高{D0=D1?D0:D0~\-~D1}			混元内功会心等级提高	1
atNeutralCriticalStrikeBaseRate	混元性内功会心几率提高	Y	Y	Y		混元性内功会心几率提高{D0/100}%		混元性内功会心几率提高{D0=D1?D0/100:D0/100~\-~D1/100}%				190
atNeutralHitValue	混元性内功命中等级提高	Y	Y	Y		混元性内功命中等级提高{D0}		混元性内功命中等级提高{D0=D1?D0:D0~\-~D1}				5
atNeutralMagicShieldBase	混元性内功防御等级提高	Y	Y	Y		混元性内功防御等级提高{D0}		混元性内功防御等级提高{D0=D1?D0:D0~\-~D1}			混元性内功抗性提高	55
atNeutralOvercomeBase	混元性内功破防等级提高	Y	Y	Y		混元性内功破防等级提高{D0}		混元性内功破防等级提高{D0=D1?D0:D0~\-~D1}				18
atNeutralOvercomePercent	混元性内功破防修正值提高	Y	Y	Y		混元性内功破防修正值提高{D0}		混元性内功破防修正值提高{D0=D1?D0:D0~\-~D1}				85
atParryBase	招架等级提高	Y	Y	Y		招架等级提高{D0}		招架等级提高{D0=D1?D0:D0~\-~D1}			onal>点，拆招值提高	80
atParryPercent	招架等级修正值提高	Y		Y		招架等级修正值提高{D0}		招架等级修正值提高{D0=D1?D0:D0~\-~D1}				0
atParryValueBase	拆招值提高	Y	Y	Y		拆招值提高{D0}		拆招值提高{D0=D1?D0:D0~\-~D1}			ase>点，招架等级提高	110
atParryValuePercent	拆招修正值提高	Y	Y	Y		拆招修正值提高{D0}		拆招修正值提高{D0=D1?D0:D0~\-~D1}				4
atPhysicsAttackPowerBase	外功攻击提高	Y	Y	Y		外功攻击提高{D0}		外功攻击提高{D0=D1?D0:D0~\-~D1}			外功攻击力提高	705
atPhysicsCriticalDamagePowerBase	外功会心效果等级提高	Y	Y	Y		外功会心效果等级提高{D0}		外功会心效果等级提高{D0=D1?D0:D0~\-~D1}			外功会心效果等级提高	15
atPhysicsCriticalDamagePowerPercent	外功会心效果等级修正值提高	Y		Y		外功会心效果等级修正值提高{D0}		外功会心效果等级修正值提高{D0=D1?D0:D0~\-~D1}				0
atPhysicsCriticalStrike	外功会心等级提高	Y	Y	Y		外功会心等级提高{D0}		外功会心等级提高{D0=D1?D0:D0~\-~D1}			外功会心等级提高	70
atPhysicsDefenceAdd	外功防御等级提高	Y	Y	Y		外功防御等级提高{D0}		外功防御等级提高{D0=D1?D0:D0~\-~D1}				2
atPhysicsHitValue	外功命中等级提高	Y	Y	Y		外功命中等级提高{D0}		外功命中等级提高{D0=D1?D0:D0~\-~D1}			外功命中值降低	47
atPhysicsOvercomeBase	外功破防等级提高	Y	Y	Y		外功破防等级提高{D0}		外功破防等级提高{D0=D1?D0:D0~\-~D1}			外功破防值提高	121
atPhysicsShieldAdditional	外功防御等级额外提高	Y	Y	Y		外功防御等级额外提高{D0}		外功防御等级额外提高{D0=D1?D0:D0~\-~D1}			外功防御等级提高	321
atPhysicsShieldBase	外功防御等级提高	Y	Y	Y	外功防御等级提高{D0}	外功防御等级提高{D0}	外功防御等级提高{D0=D1?D0:D0~\-~D1}	外功防御等级提高{D0=D1?D0:D0~\-~D1}			外功防御等级提高	537
atPhysicsShieldPercent	外功防御等级提高	Y	Y	Y		外功防御等级提高{D0}成		外功防御等级提高{D0=D1?D0:D0~\-~D1}成			内外功防御等级提高	214
atPoisonAttackPowerBase	毒性内功攻击提高	Y	Y	Y		毒性内功攻击提高{D0}		毒性内功攻击提高{D0=D1?D0:D0~\-~D1}			e>点，毒性内功攻击提高	79
atPoisonCriticalDamagePowerBase	毒性内功会心效果等级提高	Y		Y		毒性内功会心效果等级提高{D0}		毒性内功会心效果等级提高{D0=D1?D0:D0~\-~D1}				0
atPoisonCriticalDamagePowerPercent	毒性内功会心效果等级修正值提高	Y		Y		毒性内功会心效果等级修正值提高{D0}		毒性内功会心效果等级修正值提高{D0=D1?D0:D0~\-~D1}				0
atPoisonCriticalStrike	毒性内功会心等级提高	Y		Y		毒性内功会心等级提高{D0}		毒性内功会心等级提高{D0=D1?D0:D0~\-~D1}				0
atPoisonCriticalStrikeBaseRate	毒性内功会心几率提高	Y	Y	Y		毒性内功会心几率提高{D0/100}%		毒性内功会心几率提高{D0=D1?D0/100:D0/100~\-~D1/100}%				167
atPoisonHitValue	毒性内功命中等级提高	Y	Y	Y		毒性内功命中等级提高{D0}		毒性内功命中等级提高{D0=D1?D0:D0~\-~D1}				3
atPoisonMagicShieldBase	毒性内功防御等级提高	Y	Y	Y		毒性内功防御等级提高{D0}		毒性内功防御等级提高{D0=D1?D0:D0~\-~D1}			毒性防御等级提高	60
atPoisonOvercomeBase	毒性内功破防等级提高	Y	Y	Y		毒性内功破防等级提高{D0}		毒性内功破防等级提高{D0=D1?D0:D0~\-~D1}			克性值提高	23
atRageReplenish	每秒剑气恢复提高	Y	Y	Y		每秒剑气恢复提高{D0}		每秒剑气恢复提高{D0=D1?D0:D0~\-~D1}				11
atRangeWeaponAttackSpeedBase	速度	Y		Y	速度{D0#1}	暗器速度{D0#1}	速度{D0=D1?D0#1:D0#1~\-~D1#1}	速度{D0=D1?D0#1:D0#1~\-~D1#1}				0
atRangeWeaponDamageBase	暗器伤害提高	Y	Y	Y	暗器伤害提高{D0=D1?D0:D0~\-~D1}	暗器伤害提高{D0=D1?D0:D0~\-~D1}	暗器伤害提高{D0=D1?D0:D0~\-~D1}-{D2=D3?D2:D2~\-~D3}	暗器伤害提高{D0=D1?D0:D0~\-~D1}-{D2=D3?D2:D2~\-~D3}				151
atSkillLunarDamage	阴性内功招式伤害提高	Y	Y	Y		阴性内功招式伤害提高{D0}		阴性内功招式伤害提高{D0=D1?D0:D0~\-~D1}				1
atSkillLunarDamagePercent	阴性内功招式伤害提高	Y	Y	Y		阴性内功招式伤害提高{D0}成		阴性内功招式伤害提高{D0=D1?D0:D0~\-~D1}成			完成次数影响，攻击力提高	285
atSkillNeutralDamage	混元性内功招式伤害提高	Y	Y	Y		混元性内功招式伤害提高{D0}		混元性内功招式伤害提高{D0=D1?D0:D0~\-~D1}				3
atSkillNeutralDamagePercent	混元性内功招式伤害提高	Y	Y	Y		混元性内功招式伤害提高{D0}成		混元性内功招式伤害提高{D0=D1?D0:D0~\-~D1}成				265
atSkillPhysicsDamage	外功招式伤害提高	Y	Y	Y		外功招式伤害提高{D0}成		外功招式伤害提高{D0=D1?D0:D0~\-~D1}成			使自身招式伤害提高	82
atSkillPhysicsDamagePercent	外功招式伤害提高	Y	Y	Y		外功招式伤害提高{D0}成		外功招式伤害提高{D0=D1?D0:D0~\-~D1}成				722
atSkillPoisonDamage	毒性内功招式伤害提高	Y		Y		毒性内功招式伤害提高{D0}		毒性内功招式伤害提高{D0=D1?D0:D0~\-~D1}				0
atSkillPoisonDamagePercent	毒性内功招式伤害提高	Y	Y	Y		毒性内功招式伤害提高{D0}成		毒性内功招式伤害提高{D0=D1?D0:D0~\-~D1}成				243
atSkillSolarDamage	阳性内功招式伤害提高	Y		Y		阳性内功招式伤害提高{D0}		阳性内功招式伤害提高{D0=D1?D0:D0~\-~D1}			每秒造成阳性内功伤害	0
atSkillSolarDamagePercent	阳性内功招式伤害提高	Y	Y	Y		阳性内功招式伤害提高{D0}成		阳性内功招式伤害提高{D0=D1?D0:D0~\-~D1}成				333
atSolarAndLunarAttackPowerBase	阴阳内功攻击提高	Y		Y		阴阳内功攻击提高{D0}		阴阳内功攻击提高{D0=D1?D0:D0~\-~D1}				0
atSolarAndLunarCriticalDamagePowerBase	阴阳内功会心效果等级提高	Y		Y		阴阳内功会心效果等级提高{D0}		阴阳内功会心效果等级提高{D0=D1?D0:D0~\-~D1}				0
atSolarAndLunarCriticalStrike	阴阳内功会心等级提高	Y		Y		阴阳内功会心等级提高{D0}		阴阳内功会心等级提高{D0=D1?D0:D0~\-~D1}				0
atSolarAndLunarHitValue	阴阳内功命中等级提高	Y		Y		阴阳内功命中等级提高{D0}		阴阳性内功命中等级提高{D0=D1?D0:D0~\-~D1}				0
atSolarAndLunarOvercomeBase	阴阳内功破防等级提高	Y	Y	Y		阴阳内功破防等级提高{D0}		阴阳内功破防等级提高{D0=D1?D0:D0~\-~D1}				2
atSolarAttackPowerBase	阳性内功攻击提高	Y	Y	Y		阳性内功攻击提高{D0}		阳性内功攻击提高{D0=D1?D0:D0~\-~D1}			阳性内功攻击提高	60
atSolarCriticalDamagePowerBase	阳性内功会心效果等级提高	Y		Y		阳性内功会心效果等级提高{D0}		阳性内功会心效果等级提高{D0=D1?D0:D0~\-~D1}				0
atSolarCriticalDamagePowerPercent	阳性内功会心效果等级修正值提高	Y		Y		阳性内功会心效果等级修正值提高{D0}		阳性内功会心效果等级修正值提高{D0=D1?D0:D0~\-~D1}				0
atSolarCriticalStrike	阳性内功会心等级提高	Y		Y		阳性内功会心等级提高{D0}		阳性内功会心等级提高{D0=D1?D0:D0~\-~D1}			内功会心等级提高	0
atSolarCriticalStrikeBaseRate	阳性内功会心几率提高	Y	Y	Y		阳性内功会心几率提高{D0/100}%		阳性内功会心几率提高{D0=D1?D0/100:D0/100~\-~D1/100}%				166
atSolarHitValue	阳性内功命中等级提高	Y	Y	Y		阳性内功命中等级提高{D0}		阳性内功命中等级提高{D0=D1?D0:D0~\-~D1}				4
atSolarMagicShieldBase	阳性内功防御等级提高	Y	Y	Y		阳性内功防御等级提高{D0}		阳性内功防御等级提高{D0=D1?D0:D0~\-~D1}			内功防御等级提高	59
atSolarOvercomeBase	阳性内功破防等级提高	Y	Y	Y		阳性内功破防等级提高{D0}		阳性内功破防等级提高{D0=D1?D0:D0~\-~D1}				9
atSpiritBase	根骨提高	Y	Y	Y		根骨提高{D0}		根骨提高{D0=D1?D0:D0~\-~D1}			根骨提高	271
atSpiritBasePercentAdd	根骨提高	Y	Y	Y		根骨提高{D0/1024*100}%		根骨提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%				53
atSpunkBase	元气提高	Y	Y	Y		元气提高{D0}		元气提高{D0=D1?D0:D0~\-~D1}			元气提高	227
atSpunkBasePercentAdd	元气提高	Y	Y	Y		元气提高{D0/1024*100}%		元气提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%				33
atStrainBase	无双等级提高	Y	Y	Y		无双等级提高{D0}		无双等级提高{D0=D1?D0:D0~\-~D1}			wer>点，无双等级提高	174
atStrainPercent	无双等级修正值提高	Y	Y	Y		无双等级修正值提高{D0}		无双等级修正值提高{D0=D1?D0:D0~\-~D1}			ent>%，无双等级提高	50
atStrengthBase	力道提高	Y	Y	Y		力道提高{D0}		力道提高{D0=D1?D0:D0~\-~D1}			力道提高	306
atStrengthBasePercentAdd	力道提高	Y	Y	Y		力道提高{D0/1024*100}%		力道提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%				42
atSurplusValueBase	破招值提高	Y	Y	Y		破招值提高{D0}		破招值提高{D0=D1?D0:D0~\-~D1}			ase>点，破招等级提高	159
atTherapyCoefficient	治疗效果提高	Y	Y	Y		治疗效果提高{D0/1024*100}%		治疗效果提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%				46
atTherapyPowerBase	治疗成效提高	Y	Y	Y	治疗成效提高{D0}	治疗成效提高{D0}	治疗成效提高{D0=D1?D0:D0~\-~D1}	治疗成效提高{D0=D1?D0:D0~\-~D1}			hExt>，疗伤成效提高	385
atToughnessBase	御劲等级提高	Y	Y	Y	御劲等级提高{D0}	御劲等级提高{D0}	御劲等级提高{D0=D1?D0:D0~\-~D1}	御劲等级提高{D0=D1?D0:D0~\-~D1}			御劲等级提高	124
atToughnessPercent	御劲等级修正值提高	Y	Y	Y		御劲等级修正值提高{D0}		御劲等级修正值提高{D0=D1?D0:D0~\-~D1}				20
atVitalityBase	体质提高	Y	Y	Y		体质提高{D0}		体质提高{D0=D1?D0:D0~\-~D1}			体质提高	435
atVitalityBasePercentAdd	体质提高	Y	Y	Y		体质提高{D0/1024*100}%		体质提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%				57
atAllTypeAttackPowerBase	全攻击提高	Y	Y	Y	全攻击提高{D0}	全攻击提高{D0}	全攻击提高{D0=D1?D0:D0~\-~D1}	全攻击提高{D0=D1?D0:D0~\-~D1}			hExt>点，全攻击提高	214
atAllTypeOvercomeBase	全破防等级提高	Y	Y	Y	全破防等级提高{D0}	全破防等级提高{D0}	全破防等级提高{D0=D1?D0:D0~\-~D1}	全破防等级提高{D0=D1?D0:D0~\-~D1}			erBase>点、全破防	168
atGlobalDamageFixedAdd	技能伤害提高	Y	Y	Y	技能伤害提高{D0}	技能伤害提高{D0}	技能伤害提高{D0=D1?D0:D0~\-~D1}	技能伤害提高{D0=D1?D0:D0~\-~D1}				6
atAllShieldIgnoreAdd	无视防御等级提高	Y	Y	Y	无视防御等级提高{D0}	无视防御等级提高{D0}	无视防御等级提高{D0=D1?D0:D0~\-~D1}	无视防御等级提高{D0=D1?D0:D0~\-~D1}				6
atAssistedPowerExtAdd	凝神等级提高	Y		Y	凝神等级提高{D0}	凝神等级提高{D0}	凝神等级提高{D0=D1?D0:D0~\-~D1}	凝神等级提高{D0=D1?D0:D0~\-~D1}				0
atPVXAllRound	全能等级提高	Y	Y	Y	全能等级提高{D0}	全能等级提高{D0}	全能等级提高{D0=D1?D0:D0~\-~D1}	全能等级提高{D0=D1?D0:D0~\-~D1}				1
atAccelerateCDTimer			Y	Y								34
atAccumulate			Y	Y								51
atActivityDamageFinalCof			Y	Y								11
atActivityTherapyFinalCof			Y	Y								7
atAddContributionPercentForAll			Y	Y								12
atAddDamageByDstMoveState			Y	Y								12
atAddEnforceWaterFloatCof			Y	Y								9
atAddExpPercent			Y	Y								224
atAddExpPercentByQuest			Y	Y								5
atAddFellowshipAttraction			Y	Y							每2秒增加双方好感度	6
atAddFlySprintPowerCost			Y	Y								1
atAddGlobalAbsorbShieldByParryValue			Y	Y								1
atAddGlobalAbsorbShieldRecordEvilOnly			Y	Y								1
atAddGlobalAbsorbShieldRecordGoodOnly			Y	Y								1
atAddGlobalAbsorbShieldRecordOnly			Y	Y								89
atAddGlobalAbsorbShieldRecordOnlyBySelfMaxLife			Y	Y								35
atAddGlobalAbsorbShieldRecordTherapyOnly			Y	Y								9
atAddGlobalAbsorbShieldRecordTherapyOnlyBySelfMaxLife			Y	Y								2
atAddJusticePercent			Y	Y								20
atAddPrestigePercent			Y	Y								4
atAddPrestigePercentForAll			Y	Y							威名获取速度提高	50
atAddQuestReputationPercent			Y	Y								3
atAddReputationPercent			Y	Y								304
atAddSprintPowerCostOnWall			Y	Y								3
atAddSwimWaterLineCof			Y	Y								9
atAddTrainPercent			Y	Y								13
atAddTransparencyValue			Y	Y								235
atAgilityToParryCof			Y	Y								3
atAgilityToParryValueCof			Y	Y								1
atAllDamageAddPercent			Y	Y							造成的伤害降低	1105
atAllMagicDamageAddPercent			Y	Y							降低80%，内功伤害提高	24
atAllPhysicsDamageAddPercent			Y	Y							>%受到的伤害，伤害提升	43
atAllShieldIgnorePercent			Y	Y							招式无视目标	66
atAllTherapyAddPercent			Y	Y								3
