## skills (41435 rows)
-- 绝境: 182
   SkillName=天原绝境_滑翔翼 ; SkillID=29021 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境_滑翔翼.lua ; MaxLevel=1
   SkillName=绝境引窍伤害子技能 ; SkillID=39527 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境引窍伤害子技能.lua ; MaxLevel=1
   SkillName=绝境绝脉层数消除后造成伤害子技能 ; SkillID=39528 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境绝脉爆炸伤害.lua ; MaxLevel=10
   SkillName=绝境·扶摇直上·林海 ; SkillID=41281 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖/江湖轻功_扶摇直上绝境专用.lua ; MaxLevel=11
   SkillName=绝境·蹑云逐月·林海 ; SkillID=41282 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖\江湖轻功_蹑云逐月绝境专用.lua ; MaxLevel=4
   SkillName=绝境·扶摇直上·悟·林海 ; SkillID=41283 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖/绝境战场_移动端_扶摇.lua ; MaxLevel=11
   SkillName=绝境·蹑云逐月·悟·林海 ; SkillID=41284 ; KindType=Leap ; FunctionType=Fly ; CastMode=PointRectangle ; ScriptFile=江湖/绝境战场_移动端_蹑云逐月.lua ; MaxLevel=1
-- 沙漠风暴: 5
   SkillName=沙漠风暴 ; SkillID=10516 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1 ; MapBanMask=508
   SkillName=沙漠风暴_伤害吸收盾 ; SkillID=18879 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=装备/沙漠风暴_伤害吸收盾.lua ; MaxLevel=1
   SkillName=沙漠风暴_反击 ; SkillID=18880 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=装备\吃鸡被动反击技能.lua ; MaxLevel=1
   SkillName=沙漠风暴_降低技能命中几率 ; SkillID=18881 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=装备/沙漠风暴_降低技能命中几率.lua ; MaxLevel=1
   SkillName=沙漠风暴_附加dot ; SkillID=18882 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=装备/沙漠风暴_加dot.lua ; MaxLevel=1
-- 吃鸡: 6
   SkillName=吃鸡减速30% ; SkillID=18878 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=装备\吃鸡被动减速技能.lua ; MaxLevel=1
   SkillName=龙泉府_狗吃鸡 ; SkillID=21237 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=Quest/ACT_100级PQ/龙泉府_狗吃鸡.lua ; MaxLevel=1
   SkillName=表现_吃鸡外观201904 ; SkillID=21591 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=装备/挂件相关/表现_吃鸡套201904.lua ; MaxLevel=1
   SkillName=镖人_吃鸡技能_刀马眩晕 ; SkillID=33812 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=Quest/ACT_镖人联动/吃鸡联动刀马眩晕母技能.lua ; MaxLevel=1
   SkillName=镖人_吃鸡技能_刀马眩晕子技能 ; SkillID=33819 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetArea ; ScriptFile=Quest/ACT_镖人联动/吃鸡联动刀马眩晕.lua ; MaxLevel=1
   SkillName=吃鸡专用霸刀切大刀无武器 ; SkillID=41293 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=霸刀\套路及子技能\霸刀_大刀_冰凝.lua ; MaxLevel=1
-- 楚河汉界: 9
   SkillName=楚河汉界 ; SkillID=16455 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=霸刀\套路及子技能\霸刀_大刀_雪絮金屏主动技能.lua ; MaxLevel=1
   SkillName=楚河汉界矩形AOE子技能 ; SkillID=16845 ; KindType=Physics ; FunctionType=Damage ; CastMode=Rectangle ; ScriptFile=霸刀\套路及子技能\霸刀_楚河汉界矩形AOE伤害.lua ; MaxLevel=1
   SkillName=霸刀_曳鼎_楚河汉界无障碍 ; SkillID=16957 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=霸刀\霸刀奇穴套路\楚河汉界变充能.lua ; MaxLevel=1
   SkillName=霸刀_分疆_楚河汉界增加2秒刀气时间 ; SkillID=17047 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=霸刀\霸刀奇穴套路\上将军印换技能.lua ; MaxLevel=1
   SkillName=柳静海_楚河汉界吟唱 ; SkillID=17323 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc/门派掌门/柳静海_楚河汉界吟唱.lua ; MaxLevel=3
   SkillName=柳静海_楚河汉界 ; SkillID=17332 ; KindType=NeutralMagic ; FunctionType=Normal ; CastMode=PointRectangle ; ScriptFile=npc/门派掌门/柳静海_楚河汉界.lua ; MaxLevel=3
   SkillName=楚河汉界 ; SkillID=17346 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/刀轮海厅/楚河汉界.lua ; MaxLevel=2
   SkillName=柳静海_楚河汉界大 ; SkillID=17855 ; KindType=Physics ; FunctionType=Normal ; CastMode=Rectangle ; ScriptFile=npc/门派掌门/柳静海_楚河汉界大.lua ; MaxLevel=2
   SkillName=道具_楚河汉界 ; SkillID=27902 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/道具_楚河汉界.lua ; MaxLevel=1
-- 雷霆: 36
   SkillName=雷霆震怒 ; SkillID=558 ; KindType=LunarMagic ; FunctionType=Stun ; CastMode=TargetSingle ; ScriptFile=七秀\西河剑器_雷霆震怒.lua ; MaxLevel=1
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_瞬发空技能 ; SkillID=2149 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆(瞬发空技能).lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_吟唱空技能 ; SkillID=2150 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆(吟唱空技能).lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_开启 ; SkillID=2151 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_开启.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_1级吟唱 ; SkillID=2152 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_1级吟唱.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_2级吟唱 ; SkillID=2153 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_2级吟唱.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_3级吟唱 ; SkillID=2154 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_3级吟唱.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_1级瞬发 ; SkillID=2155 ; KindType=None ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_1级瞬发.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_2级瞬发 ; SkillID=2156 ; KindType=None ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_2级瞬发.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_3级瞬发 ; SkillID=2158 ; KindType=None ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_3级瞬发.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_1级实体 ; SkillID=2159 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_1级实体.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_2级实体 ; SkillID=2160 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_2级实体.lua ; MaxLevel=30
   SkillName=荻花圣殿_5号BOSS_万花机甲_雷霆_3级实体 ; SkillID=2161 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\荻花圣殿_5号BOSS_万花机甲_雷霆_3级实体.lua ; MaxLevel=30
   SkillName=烛龙殿_六号_雷霆一击 ; SkillID=3682 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\烛龙殿\烛龙殿_六号_雷霆一击.lua ; MaxLevel=35
   SkillName=少林特殊武器_雷霆猛击 ; SkillID=3882 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\荻花圣殿\少林特殊武器_雷霆猛击.lua ; MaxLevel=1
   SkillName=少林特殊武器_雷霆猛击高度判定 ; SkillID=3883 ; KindType=Physics ; FunctionType=Damage ; CastMode=PointArea ; ScriptFile=npc\副本BOSS\荻花圣殿\少林特殊武器_雷霆猛击高度判定.lua ; MaxLevel=10
   SkillName=南诏骑兵_雷霆枪法 ; SkillID=7484 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetArea ; ScriptFile=Quest\南诏骑兵_雷霆枪法.lua ; MaxLevel=10
   SkillName=血战天策_苏曼莎_玩家_雷霆震怒 ; SkillID=8413 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\血战天策\血战天策_苏曼莎_玩家_雷霆震怒.lua ; MaxLevel=5
   SkillName=秦皇陵_令狐伤_雷霆重击 ; SkillID=9060 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\秦皇陵\秦皇陵_令狐伤_雷霆重击.lua ; MaxLevel=2
   SkillName=轻妒_雷霆降低时间和持续效果 ; SkillID=14715 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=七秀\镇派\繁音急节充能.lua ; MaxLevel=1
   SkillName=纯阳_千秋子_雷霆掌 ; SkillID=15341 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=Quest\ACT_95级门派事件\纯阳_千秋子_雷霆一击.lua ; MaxLevel=1
   SkillName=雷霆强化奇穴 ; SkillID=18204 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=七秀\镇派\雷霆距离CD.lua ; MaxLevel=1
   SkillName=雷霆充能奇穴 ; SkillID=18466 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=七秀\镇派\雷霆充能奇穴.lua ; MaxLevel=1
   SkillName=雷霆加距离 ; SkillID=18476 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=被雷霆帝骖目标加速叠急曲 ; SkillID=22732 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=七秀/90级奇穴/新钗燕.lua ; MaxLevel=1
   SkillName=雷霆护体 ; SkillID=22963 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/ACT_浪客行/词缀_雷霆护体.lua ; MaxLevel=1
   SkillName=雷霆释放母技能 ; SkillID=22965 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/ACT_浪客行/词缀_雷霆释放母技能.lua ; MaxLevel=1
   SkillName=雷霆释放子技能 ; SkillID=22966 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/ACT_浪客行/词缀_雷霆释放子技能.lua ; MaxLevel=1
   SkillName=雷霆伤害一 ; SkillID=22967 ; KindType=NeutralMagic ; FunctionType=Normal ; CastMode=Rectangle ; ScriptFile=Quest/ACT_浪客行/词缀_雷霆释放伤害2尺宽.lua ; MaxLevel=1
   SkillName=雷霆伤害二 ; SkillID=22968 ; KindType=NeutralMagic ; FunctionType=Normal ; CastMode=Rectangle ; ScriptFile=Quest/ACT_浪客行/词缀_雷霆释放伤害3尺宽.lua ; MaxLevel=1
   SkillName=雷霆伤害三 ; SkillID=22969 ; KindType=NeutralMagic ; FunctionType=Normal ; CastMode=Rectangle ; ScriptFile=Quest/ACT_浪客行/词缀_雷霆释放伤害4尺宽.lua ; MaxLevel=1
   SkillName=杜姬欣_雷霆震怒·逆练 ; SkillID=28833 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/百战异闻录/钱宗龙·杜姬欣/杜姬欣_雷霆震怒·逆练.lua ; MaxLevel=30
   SkillName=雷霆通道子技能 ; SkillID=28981 ; KindType=SolarMagic ; FunctionType=Stun ; CastMode=TargetSingle ; ScriptFile=七秀/90级奇穴/雷霆通道子技能.lua ; MaxLevel=1
   SkillName=缠竹雷霆换技能 ; SkillID=33104 ; KindType=LunarMagic ; FunctionType=Stun ; CastMode=TargetSingle ; ScriptFile=七秀/西河剑器_缠竹雷霆震怒.lua ; MaxLevel=1
   SkillName=杜姬心_雷霆震怒反向嘲讽 ; SkillID=33556 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/百战异闻录/钱宗龙·杜姬欣/杜姬心_反向嘲讽.lua ; MaxLevel=1
   SkillName=绝境_雷霆震怒 ; SkillID=65156 ; KindType=Adaptive ; FunctionType=Stun ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_雷霆震怒.lua ; MaxLevel=1
-- 无相: 108
   SkillName=无相诀 ; SkillID=261 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\少林_达摩武诀_无相诀.lua ; MaxLevel=4
   SkillName=玄一无相 ; SkillID=308 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=玄一无相_减速 ; SkillID=338 ; KindType=None ; FunctionType=Slow ; CastMode=TargetSingle ; ScriptFile=纯阳\技能事件_玄一无相.lua ; MaxLevel=1
   SkillName=天地无极_有玄一无相Buff ; SkillID=903 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=纯阳\子技能_天地无极_有玄一无相Buff.lua ; MaxLevel=32
   SkillName=天子峰_4号BOSS_玄悲_无相诀 ; SkillID=998 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\天子峰\天子峰_4号BOSS_玄悲_无相诀.lua ; MaxLevel=20
   SkillName=洗髓经_无相_无色 ; SkillID=1219 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\少林_子技能_洗髓经_无色.lua ; MaxLevel=1
   SkillName=英雄灵宵峡_3号BOSS_宝树王_无相自在 ; SkillID=1392 ; KindType=SolarMagic ; FunctionType=Damage ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\英雄灵霄峡\英雄灵宵峡_3号BOSS_宝树王_无相自在.lua ; MaxLevel=20
   SkillName=英雄天子峰_4号boss_道衍_无相决 ; SkillID=1441 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\英雄天子峰\英雄天子峰_4号boss_道衍_无相决.lua ; MaxLevel=31
   SkillName=英雄荻花宫_4号boss_无相天劫 ; SkillID=1452 ; KindType=SolarMagic ; FunctionType=Damage ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\英雄荻花宫\英雄荻花宫_4号boss_无相天劫.lua ; MaxLevel=31
   SkillName=无影无相 ; SkillID=1807 ; KindType=NeutralMagic ; FunctionType=Damage ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\25人谢云流\无影无相.lua ; MaxLevel=31
   SkillName=无影无相·人剑合一 ; SkillID=1808 ; KindType=NeutralMagic ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\25人谢云流\无影无相·人剑合一.lua ; MaxLevel=31
   SkillName=洗髓经_重置无相诀 ; SkillID=1849 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=item\橙武_洗髓经_重置无相诀.lua ; MaxLevel=1 ; MapBanMask=40
   SkillName=防御_无色无相 ; SkillID=2587 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\镇派\防御_无色无相.lua ; MaxLevel=1
   SkillName=无相诀_自身减速 ; SkillID=3075 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\无相诀_自身减速.lua ; MaxLevel=1
   SkillName=少林_无相诀驱散回血 ; SkillID=3804 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\少林_无相诀驱散回血.lua ; MaxLevel=1
   SkillName=小橙武BOSS_少林_无相诀打断事件 ; SkillID=4342 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\小橙武BOSS\小橙武BOSS_少林_无相诀打断事件.lua ; MaxLevel=1
   SkillName=小橙武BOSS_少林_无相诀 ; SkillID=4364 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc\副本BOSS\小橙武BOSS\小橙武BOSS_少林_无相诀.lua ; MaxLevel=5
   SkillName=少林_易筋_十宣1_无相回血 ; SkillID=5901 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=少林_易筋_十宣2_无相反弹 ; SkillID=5902 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=少林_洗髓_极泉1_无相诀变效果 ; SkillID=5934 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\镇派\无相变效果.lua ; MaxLevel=1
   SkillName=少林_无相诀免控 ; SkillID=6580 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=少林_舍身诀重置无相 ; SkillID=6783 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\镇派\舍身降低15秒调息.lua ; MaxLevel=1
   SkillName=血龙出渊_澄信_无相诀 ; SkillID=7426 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest\血龙出渊_澄信_无相诀.lua ; MaxLevel=1
   SkillName=风雪稻香村_剧情表现_天魔无相子弹 ; SkillID=9117 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/风雪稻香村/风雪稻香村_剧情表现_天魔无相子弹.lua ; MaxLevel=1
   SkillName=天魔无相 ; SkillID=10220 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=无相楼阵法 ; SkillID=10822 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=无相楼子技能 ; SkillID=10854 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=无相楼奇穴 ; SkillID=10855 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
