id,template,x,z,y,region_x,region_z,kind,state,link_id,npc_template,count,bit58,bit59,bit60
1048609,6822,143259,49202,5892,69,24,14,0,4294967295,0,0,1,0,0
1048610,6822,140660,47362,5459,68,23,14,0,4294967295,0,0,1,0,0
1048611,6822,144501,48276,5140,70,23,14,0,4294967295,0,0,1,0,0
1048612,6822,144507,48280,5723,70,23,14,0,4294967295,0,0,1,0,0
1048613,6817,142939,51592,5389,69,25,14,0,4294967295,0,0,1,0,0
1048614,6817,141236,46679,5180,68,22,14,0,4294967295,0,0,1,0,0
1048615,6816,141900,51394,5238,69,25,14,0,4294967295,0,0,1,0,0
1048616,6818,143972,50826,5186,70,24,14,0,4294967295,0,0,1,0,0
1048617,6822,142309,46033,5149,69,22,14,0,4294967295,0,0,1,0,0
1048618,6818,144379,49024,5624,70,23,14,0,4294967295,0,0,1,0,0
1048619,6816,141028,51656,5879,68,25,14,0,4294967295,0,0,1,0,0
1048620,6822,143740,51575,5817,70,25,14,0,4294967295,0,0,1,0,0
1048621,6816,143260,49268,5403,69,24,14,0,4294967295,0,0,1,0,0
1048622,6816,143944,51196,5410,70,24,14,0,4294967295,0,0,1,0,0
1048623,6822,141561,46551,5213,69,22,14,0,4294967295,0,0,1,0,0
1048624,6816,141329,46900,5348,69,22,14,0,4294967295,0,0,1,0,0
1048625,6817,140838,46001,5580,68,22,14,0,4294967295,0,0,1,0,0
1048626,6816,144395,46831,5372,70,22,14,0,4294967295,0,0,1,0,0
1048627,6822,140576,47703,5628,68,23,14,0,4294967295,0,0,1,0,0
1048628,6818,141216,51197,5258,68,24,14,0,4294967295,0,0,1,0,0
1048629,6816,144933,48983,5485,70,23,14,0,4294967295,0,0,1,0,0
1048630,6822,140944,49998,5477,68,24,14,0,4294967295,0,0,1,0,0
1048631,6817,143963,48554,5087,70,23,14,0,4294967295,0,0,1,0,0
1048632,6818,140837,48806,5758,68,23,14,0,4294967295,0,0,1,0,0
1048633,6816,143920,51669,5165,70,25,14,0,4294967295,0,0,1,0,0
1048634,6817,141681,50327,5370,69,24,14,0,4294967295,0,0,1,0,0
1048635,6818,145653,50449,5027,71,24,14,0,4294967295,0,0,1,0,0
1048636,6818,145266,46745,5712,70,22,14,0,4294967295,0,0,1,0,0
1048637,6818,144246,49004,5171,70,23,14,0,4294967295,0,0,1,0,0
1048638,6818,146323,47825,5545,71,23,14,0,4294967295,0,0,1,0,0
1048639,6817,145213,47827,5627,70,23,14,0,4294967295,0,0,1,0,0
1048640,6822,146603,47961,5837,71,23,14,0,4294967295,0,0,1,0,0
1048641,6822,146061,47857,5204,71,23,14,0,4294967295,0,0,1,0,0
1048642,6816,142912,51988,5029,69,25,14,0,4294967295,0,0,1,0,0
1048643,6818,146472,48288,5483,71,23,14,0,4294967295,0,0,1,0,0
1048644,6818,141586,51673,5619,69,25,14,0,4294967295,0,0,1,0,0
1048645,6818,143663,51923,5357,70,25,14,0,4294967295,0,0,1,0,0
1048646,6817,140659,47806,5104,68,23,14,0,4294967295,0,0,1,0,0
1048647,6817,143850,47611,5345,70,23,14,0,4294967295,0,0,1,0,0
1048648,6816,143953,51112,5624,70,24,14,0,4294967295,0,0,1,0,0
1048649,6816,143927,51349,5352,70,25,14,0,4294967295,0,0,1,0,0
1048650,6822,146837,51411,5122,71,25,14,0,4294967295,0,0,1,0,0
1048651,6817,146408,51828,5768,71,25,14,0,4294967295,0,0,1,0,0
1048652,6818,143916,47462,5444,70,23,14,0,4294967295,0,0,1,0,0
1048653,6822,140710,51913,5405,68,25,14,0,4294967295,0,0,1,0,0
1048654,6817,143288,46695,5742,69,22,14,0,4294967295,0,0,1,0,0
1048655,6817,141392,47040,5028,69,22,14,0,4294967295,0,0,1,0,0
1048656,6817,144839,49812,5825,70,24,14,0,4294967295,0,0,1,0,0
1048657,6818,145010,50881,5485,70,24,14,0,4294967295,0,0,1,0,0
1048658,6817,141277,50494,5561,68,24,14,0,4294967295,0,0,1,0,0
1048659,6816,140175,46116,5818,68,22,14,0,4294967295,0,0,1,0,0
1048660,6817,144313,47140,5444,70,23,14,0,4294967295,0,0,1,0,0
1048661,6818,146767,47728,5028,71,23,14,0,4294967295,0,0,1,0,0
1048662,6817,141743,48399,5513,69,23,14,0,4294967295,0,0,1,0,0
1048663,6818,146256,50804,5333,71,24,14,0,4294967295,0,0,1,0,0
1048664,6817,144459,49432,5854,70,24,14,0,4294967295,0,0,1,0,0
1048665,6822,140498,48898,5469,68,23,14,0,4294967295,0,0,1,0,0
1048666,6817,146775,50109,5133,71,24,14,0,4294967295,0,0,1,0,0
1048667,6822,144288,50182,5019,70,24,14,0,4294967295,0,0,1,0,0
1048668,6816,146361,47500,5623,71,23,14,0,4294967295,0,0,1,0,0
1048669,6817,146357,47227,5176,71,23,14,0,4294967295,0,0,1,0,0
1048670,6816,143878,51071,5742,70,24,14,0,4294967295,0,0,1,0,0
1048671,6822,144558,46505,5333,70,22,14,0,4294967295,0,0,1,0,0
1048672,6816,146424,46869,5573,71,22,14,0,4294967295,0,0,1,0,0
1048673,6816,142035,47567,5283,69,23,14,0,4294967295,0,0,1,0,0
1048674,6822,146326,46800,5519,71,22,14,0,4294967295,0,0,1,0,0
1048675,6816,144601,46228,5778,70,22,14,0,4294967295,0,0,1,0,0
1048676,6817,143631,48667,5627,70,23,14,0,4294967295,0,0,1,0,0
1048677,6822,145674,48270,5463,71,23,14,0,4294967295,0,0,1,0,0
1048678,6818,144159,48028,5715,70,23,14,0,4294967295,0,0,1,0,0
1048679,6822,144583,47659,5860,70,23,14,0,4294967295,0,0,1,0,0
1048680,6822,141123,49413,5124,68,24,14,0,4294967295,0,0,1,0,0
1048681,6817,143621,48588,5074,70,23,14,0,4294967295,0,0,1,0,0
1048682,6818,143508,46599,5217,70,22,14,0,4294967295,0,0,1,0,0
1048683,6817,146422,47002,5795,71,22,14,0,4294967295,0,0,1,0,0
1048684,6818,145866,51271,5676,71,25,14,0,4294967295,0,0,1,0,0
1048685,6822,141171,48073,5140,68,23,14,0,4294967295,0,0,1,0,0
1048686,6822,141798,46771,5407,69,22,14,0,4294967295,0,0,1,0,0
1048687,6817,141333,51470,5852,69,25,14,0,4294967295,0,0,1,0,0
1048688,6822,141322,51786,5441,69,25,14,0,4294967295,0,0,1,0,0
1048689,6818,142778,49451,5200,69,24,14,0,4294967295,0,0,1,0,0
1048690,6818,142609,46755,5739,69,22,14,0,4294967295,0,0,1,0,0
1048691,6822,140159,48768,5567,68,23,14,0,4294967295,0,0,1,0,0
1048692,6822,143608,51760,5018,70,25,14,0,4294967295,0,0,1,0,0
1048693,6818,142715,50238,5638,69,24,14,0,4294967295,0,0,1,0,0
1048694,6817,144196,46526,5115,70,22,14,0,4294967295,0,0,1,0,0
1048695,6818,140858,46688,5271,68,22,14,0,4294967295,0,0,1,0,0
