
==== 0x180013c20 .. 0x180014300 (.text)
  0x180013c20: mov      rax, rsp
  0x180013f81: sub      r15, 1
  0x180013f85: jne      0x180013ef0
  0x180013f8b: mov      rbx, qword ptr [rsp + 0x50]
  0x180013f90: lea      eax, [r15 + 1]
  0x180013f94: mov      rbp, qword ptr [rsp + 0x58]
  0x180013f99: mov      rsi, qword ptr [rsp + 0x60]
  0x180013f9e: add      rsp, 0x20
  0x180013fa2: pop      r15
  0x180013fa4: pop      r14
  0x180013fa6: pop      r13
  0x180013fa8: pop      r12
  0x180013faa: pop      rdi
  0x180013fab: ret      
  0x180013fac: int3     
  0x180013fad: int3     
  0x180013fae: int3     
  0x180013faf: int3     
  0x180013fb0: mov      dword ptr [rsp + 0x18], r8d
  0x180013fb5: push     rbx
  0x180013fb6: push     rbp
  0x180013fb7: push     rsi
  0x180013fb8: push     rdi
  0x180013fb9: push     r12
  0x180013fbb: push     r14
  0x180013fbd: push     r15
  0x180013fbf: sub      rsp, 0x40
  0x180013fc3: mov      eax, dword ptr [rcx + 0x1c]
  0x180013fc6: mov      r15, rcx
  0x180013fc9: mov      rdi, qword ptr [rcx + 0x50]
  0x180013fcd: xor      ebp, ebp
  0x180013fcf: mov      esi, dword ptr [rcx + 0x20]
  0x180013fd2: mov      ebx, dword ptr [r9 + 0xc]
  0x180013fd6: mov      r11d, dword ptr [r9 + 8]
  0x180013fda: mov      r10d, dword ptr [rdi]
  0x180013fdd: mov      dword ptr [rsp + 0x28], eax
  0x180013fe1: mov      eax, dword ptr [rcx + 0x14]
  0x180013fe4: mov      ecx, dword ptr [rcx + 0x18]
  0x180013fe7: imul     eax, r10d
  0x180013feb: imul     ecx, r10d
  0x180013fef: mov      r12d, edx
  0x180013ff2: mov      edx, dword ptr [r9]
  0x180013ff5: mov      dword ptr [rsp + 0x2c], esi
  0x180013ff9: sub      edx, eax
  0x180013ffb: sub      ebx, eax
  0x180013ffd: sub      r11d, ecx
  0x180014000: test     ebx, ebx
  0x180014002: jle      0x18001406d
  0x180014004: cmp      edx, r10d
  0x180014007: jge      0x18001406d
  0x180014009: mov      r8d, dword ptr [r9 + 0x14]
  0x18001400d: sub      r8d, ecx
  0x180014010: test     r8d, r8d
  0x180014013: jle      0x18001406d
  0x180014015: cmp      r11d, r10d
  0x180014018: jge      0x18001406d
  0x18001401a: mov      ecx, dword ptr [rdi + 4]
  0x18001401d: xor      eax, eax
  0x18001401f: test     edx, edx
  0x180014021: cmovns   eax, edx
  0x180014024: cdq      
  0x180014025: idiv     ecx
  0x180014027: mov      dword ptr [rsp + 0x80], eax
  0x18001402e: xor      eax, eax
  0x180014030: test     r11d, r11d
  0x180014033: cmovns   eax, r11d
  0x180014037: cdq      
  0x180014038: idiv     ecx
  0x18001403a: cmp      ebx, r10d
  0x18001403d: mov      r11d, eax
  0x180014040: mov      dword ptr [rsp + 0x24], eax
  0x180014044: mov      eax, r10d
  0x180014047: cmovle   eax, ebx
  0x18001404a: dec      eax
  0x18001404c: cdq      
  0x18001404d: idiv     ecx
  0x18001404f: cmp      r8d, r10d
  0x180014052: cmovle   r10d, r8d
  0x180014056: lea      r9d, [rax + 1]
  0x18001405a: lea      eax, [r10 - 1]
  0x18001405e: cdq      
  0x18001405f: idiv     ecx
  0x180014061: mov      edx, dword ptr [rsp + 0x80]
  0x180014068: lea      ecx, [rax + 1]
  0x18001406b: jmp      0x180014083
  0x18001406d: xor      edx, edx
  0x18001406f: xor      r11d, r11d
  0x180014072: xor      r9d, r9d
  0x180014075: mov      dword ptr [rsp + 0x80], edx
  0x18001407c: mov      dword ptr [rsp + 0x24], r11d
  0x180014081: xor      ecx, ecx
  0x180014083: xor      r14d, r14d
  0x180014086: mov      dword ptr [rsp + 0x20], ecx
  0x18001408a: mov      dword ptr [rsp + 0x98], r9d
  0x180014092: test     esi, esi
  0x180014094: jle      0x180014178
  0x18001409a: mov      rdi, qword ptr [rsp + 0xa8]
  0x1800140a2: mov      rsi, qword ptr [rsp + 0xa0]
  0x1800140aa: mov      eax, dword ptr [rsp + 0x28]
  0x1800140ae: mov      qword ptr [rsp + 0x88], r13
  0x1800140b6: mov      r13, qword ptr [rsp + 0xb0]
  0x1800140be: nop      
  0x1800140c0: xor      ebx, ebx
  0x1800140c2: test     eax, eax
  0x1800140c4: jle      0x18001413b
  0x1800140c6: cmp      edx, ebx
  0x1800140c8: jg       0x1800140e1
  0x1800140ca: cmp      ebx, r9d
  0x1800140cd: jge      0x1800140e1
  0x1800140cf: cmp      r11d, r14d
  0x1800140d2: jg       0x1800140e1
  0x1800140d4: cmp      r14d, ecx
  0x1800140d7: jge      0x1800140e1
  0x1800140d9: mov      r9d, 1
  0x1800140df: jmp      0x1800140e4
  0x1800140e1: xor      r9d, r9d
  0x1800140e4: mov      eax, r14d
  0x1800140e7: mov      edx, r12d
  0x1800140ea: imul     eax, dword ptr [r15 + 0x1c]
  0x1800140ef: mov      rcx, r15
  0x1800140f2: add      eax, ebx
  0x1800140f4: cdqe     
  0x1800140f6: imul     r8, rax, 0xc8
  0x1800140fd: add      r8, qword ptr [r15 + 0x68]
  0x180014101: call     0x180013380
  0x180014106: test     eax, eax
  0x180014108: jne      0x180014189
  0x18001410a: test     r9d, r9d
  0x18001410d: je       0x180014119
  0x18001410f: inc      ebp
  0x180014111: mov      dword ptr [r13], 1
  0x180014119: mov      eax, dword ptr [rsp + 0x28]
  0x18001411d: inc      ebx
  0x18001411f: mov      r9d, dword ptr [rsp + 0x98]
  0x180014127: mov      ecx, dword ptr [rsp + 0x20]
  0x18001412b: mov      edx, dword ptr [rsp + 0x80]
  0x180014132: mov      r11d, dword ptr [rsp + 0x24]
  0x180014137: cmp      ebx, eax
  0x180014139: jl       0x1800140c6
  0x18001413b: mov      r9d, dword ptr [rsp + 0x98]
  0x180014143: inc      r14d
  0x180014146: mov      ecx, dword ptr [rsp + 0x20]
  0x18001414a: mov      edx, dword ptr [rsp + 0x80]
  0x180014151: mov      r11d, dword ptr [rsp + 0x24]
  0x180014156: cmp      r14d, dword ptr [rsp + 0x2c]
  0x18001415b: jl       0x1800140c0
  0x180014161: mov      r13, qword ptr [rsp + 0x88]
  0x180014169: test     ebp, ebp
  0x18001416b: jle      0x180014178
  0x18001416d: mov      eax, dword ptr [rsp + 0x90]
  0x180014174: mov      dword ptr [r15 + 0x10], eax
  0x180014178: mov      eax, ebp
  0x18001417a: add      rsp, 0x40
  0x18001417e: pop      r15
  0x180014180: pop      r14
  0x180014182: pop      r12
  0x180014184: pop      rdi
  0x180014185: pop      rsi
  0x180014186: pop      rbp
  0x180014187: pop      rbx
  0x180014188: ret      
  0x180014189: test     r9d, r9d
  0x18001418c: jne      0x1800141c7
  0x18001418e: cmp      dword ptr [r8 + r12*4], r9d
  0x180014192: je       0x1800141c7
  0x180014194: mov      dword ptr [r8 + r12*4 + 8], r9d
  0x180014199: mov      rdx, qword ptr [rdi + 8]
  0x18001419d: mov      qword ptr [rsp + 0x30], r8
  0x1800141a2: cmp      rdx, qword ptr [rdi + 0x10]
  0x1800141a6: je       0x1800141b5
  0x1800141a8: mov      qword ptr [rdx], r8
  0x1800141ab: add      qword ptr [rdi + 8], 8
  0x1800141b0: jmp      0x180014119
  0x1800141b5: lea      r8, [rsp + 0x30]
  0x1800141ba: mov      rcx, rdi
  0x1800141bd: call     0x18000faf0
  0x1800141c2: jmp      0x180014119
  0x1800141c7: inc      ebp
  0x1800141c9: test     r9d, r9d
  0x1800141cc: je       0x180014119
  0x1800141d2: cmp      dword ptr [r8 + r12*4], 0
  0x1800141d7: jne      0x180014119
  0x1800141dd: call     0x180013360
  0x1800141e2: test     eax, eax
  0x1800141e4: je       0x180014111
  0x1800141ea: mov      dword ptr [r8 + r12*4 + 8], 1
  0x1800141f3: mov      rdx, qword ptr [rsi + 8]
  0x1800141f7: mov      qword ptr [rsp + 0x30], r8
  0x1800141fc: cmp      rdx, qword ptr [rsi + 0x10]
  0x180014200: je       0x18001420f
  0x180014202: mov      qword ptr [rdx], r8
  0x180014205: add      qword ptr [rsi + 8], 8
  0x18001420a: jmp      0x180014119
  0x18001420f: lea      r8, [rsp + 0x30]
  0x180014214: mov      rcx, rsi
  0x180014217: call     0x18000faf0
  0x18001421c: jmp      0x180014119
  0x180014221: int3     
  0x180014222: int3     
  0x180014223: int3     
  0x180014224: int3     
  0x180014225: int3     
  0x180014226: int3     
  0x180014227: int3     
  0x180014228: int3     
  0x180014229: int3     
  0x18001422a: int3     
  0x18001422b: int3     
  0x18001422c: int3     
  0x18001422d: int3     
  0x18001422e: int3     
  0x18001422f: int3     
  0x180014230: mov      qword ptr [rsp + 0x10], rbx
  0x180014235: mov      qword ptr [rsp + 0x18], rsi
  0x18001423a: push     rdi
  0x18001423b: sub      rsp, 0x20
  0x18001423f: mov      rdi, rcx
  0x180014242: mov      rbx, qword ptr [rcx]
  0x180014245: test     rbx, rbx
  0x180014248: je       0x1800142ec
  0x18001424e: mov      rsi, qword ptr [rcx + 8]
  0x180014252: cmp      rbx, rsi
  0x180014255: je       0x180014289
  0x180014257: nop      word ptr [rax + rax]
  0x180014260: lea      rcx, [rbx + 0x28]
  0x180014264: lea      r9, [rip + 0x655]  ; 0x1800148c0
  0x18001426b: mov      edx, 0x50
  0x180014270: lea      r8d, [rdx - 0x4e]
  0x180014274: call     0x18005d7dc
  0x180014279: nop      
  0x18001427a: add      rbx, 0xc8
  0x180014281: cmp      rbx, rsi
  0x180014284: jne      0x180014260
  0x180014286: mov      rbx, qword ptr [rdi]
  0x180014289: mov      rcx, qword ptr [rdi + 0x10]
  0x18001428d: sub      rcx, rbx
  0x180014290: movabs   rax, 0xa3d70a3d70a3d70b
  0x18001429a: imul     rcx
  0x18001429d: add      rdx, rcx
  0x1800142a0: sar      rdx, 7
  0x1800142a4: mov      rax, rdx
  0x1800142a7: shr      rax, 0x3f
  0x1800142ab: add      rdx, rax
  0x1800142ae: imul     rdx, rdx, 0xc8
  0x1800142b5: cmp      rdx, 0x1000
  0x1800142bc: jb       0x1800142d6
  0x1800142be: add      rdx, 0x27
  0x1800142c2: mov      rax, qword ptr [rbx - 8]
  0x1800142c6: sub      rbx, rax
  0x1800142c9: add      rbx, -8
  0x1800142cd: cmp      rbx, 0x1f
  0x1800142d1: ja       0x1800142fc
  0x1800142d3: mov      rbx, rax
  0x1800142d6: mov      rcx, rbx
  0x1800142d9: call     0x18005d790
  0x1800142de: nop      
  0x1800142df: xor      eax, eax
  0x1800142e1: mov      qword ptr [rdi], rax
  0x1800142e4: mov      qword ptr [rdi + 8], rax
  0x1800142e8: mov      qword ptr [rdi + 0x10], rax
  0x1800142ec: mov      rbx, qword ptr [rsp + 0x38]
  0x1800142f1: mov      rsi, qword ptr [rsp + 0x40]
  0x1800142f6: add      rsp, 0x20
  0x1800142fa: pop      rdi
  0x1800142fb: ret      
