script	school	kind	fields_json	levels_json	calls	attrs
Map\洛道_李渡城\毒雾.lua	Map	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "100 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "8 * dwSkillLevel * LENGTH_BASE"}	[]		EXECUTE_SCRIPT
npc\NPC_伤害\NPC_伤害_远程_一般攻击_10.lua	npc	plain	{"nMaxRadius": "60.0 * LENGTH_BASE", "nAngleRange": "128", "nWeaponDamagePercent": "1024 * 1.5"}	[]		CALL_PHYSICS_DAMAGE
npc\体验战场机器人\万花_商阳指.lua	npc	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "20 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
npc\体验战场机器人\体验战场伤害头文件.lua	npc	plain	{}	[]		
npc\体验战场机器人\唐门_孔雀翎.lua	npc	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "25 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
npc\体验战场机器人\轻功_聂云.lua	npc	plain	{}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		DASH_FORWARD
npc\副本BOSS\荻花宫_BOSS3_斗转星移.lua	npc	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "5 * LENGTH_BASE", "nAngleRange": "256"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "38"}]		
npc\副本BOSS\25人谢云流\万剑归宗.lua	npc	plain	{"nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "5500 * 0.8", "nDamageRand": "5500 * 0.4", "nCostMana": "0"}, {"nDamageBase": "297 * 0.8", "nDamageRand": "297 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5500 * 0.8", "nDamageRand": "5500 * 0.4", "nCostMana": "0"}, {"nDamageBase": "48750 * 0.8", "nDamageRand": "48750 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1052 * 0.8", "nDamageRand": "1052 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1381 * 0.8", "nDamageRand": "1381 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1900 * 0.8", "nDamageRand": "1900 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2265 * 0.8", "nDamageRand": "2265 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2631 * 0.8", "nDamageRand": "2631 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2996 * 0.8", "nDamageRand": "2996 * 0.4", "nCostMana": "0"}, {"nDamageBase": "3362 * 0.8", "nDamageRand": "3362 * 0.4", "nCostMana": "0"}, {"nDamageBase": "3727 * 0.8", "nDamageRand": "3727 * 0.4", "nCostMana": "0"}, {"nDamageBase": "4093 * 0.8", "nDamageRand": "4093 * 0.4", "nCostMana": "0"}, {"nDamageBase": "4458 * 0.8", "nDamageRand": "4458 * 0.4", "nCostMana": "0"}, {"nDamageBase": "7300 * 0.8", "nDamageRand": "7300 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5385 * 0.8", "nDamageRand": "5385 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5507 * 0.8", "nDamageRand": "5507 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5629 * 0.8", "nDamageRand": "5629 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5751 * 0.8", "nDamageRand": "5751 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5873 * 0.8", "nDamageRand": "5873 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5995 * 0.8", "nDamageRand": "5995 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6117 * 0.8", "nDamageRand": "6117 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6238 * 0.8", "nDamageRand": "6238 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6360 * 0.8", "nDamageRand": "6360 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6482 * 0.8", "nDamageRand": "6482 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6604 * 0.8", "nDamageRand": "6604 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6726 * 0.8", "nDamageRand": "6726 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6848 * 0.8", "nDamageRand": "6848 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6970 * 0.8", "nDamageRand": "6970 * 0.4", "nCostMana": "0"}, {"nDamageBase": "7092 * 0.8", "nDamageRand": "7092 * 0.4", "nCostMana": "0"}, {"nDamageBase": "7214 * 0.8", "nDamageRand": "7214 * 0.4", "nCostMana": "0"}]		CALL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE_RAND
npc\副本BOSS\25人谢云流\凌太虚·霄风.lua	npc	plain	{"nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE", "nBeatBackRate": "0", "nBrokenRate": "1 * PERCENT_BASE"}	[]		
npc\副本BOSS\25人谢云流\凌太虚·霄风·人剑合一.lua	npc	plain	{"nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE", "nBeatBackRate": "0", "nBrokenRate": "1 * PERCENT_BASE"}	[]		
npc\副本BOSS\25人谢云流\坐忘无我.lua	npc	plain	{"nMaxRadius": "30 * LENGTH_BASE", "nBeatBackRate": "0", "nBrokenRate": "1 * PERCENT_BASE"}	[{"nDamageBase": "217 * 0.8", "nDamageRand": "217 * 0.4", "nCostMana": "0"}, {"nDamageBase": "297 * 0.8", "nDamageRand": "297 * 0.4", "nCostMana": "0"}, {"nDamageBase": "504 * 0.8", "nDamageRand": "504 * 0.4", "nCostMana": "0"}, {"nDamageBase": "723 * 0.8", "nDamageRand": "723 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1052 * 0.8", "nDamageRand": "1052 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1381 * 0.8", "nDamageRand": "1381 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1900 * 0.8", "nDamageRand": "1900 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2265 * 0.8", "nDamageRand": "2265 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2631 * 0.8", "nDamageRand": "2631 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2996 * 0.8", "nDamageRand": "2996 * 0.4", "nCostMana": "0"}, {"nDamageBase": "3362 * 0.8", "nDamageRand": "3362 * 0.4", "nCostMana": "0"}, {"nDamageBase": "3727 * 0.8", "nDamageRand": "3727 * 0.4", "nCostMana": "0"}, {"nDamageBase": "4093 * 0.8", "nDamageRand": "4093 * 0.4", "nCostMana": "0"}, {"nDamageBase": "4458 * 0.8", "nDamageRand": "4458 * 0.4", "nCostMana": "0"}, {"nDamageBase": "4824 * 0.8", "nDamageRand": "4824 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5385 * 0.8", "nDamageRand": "5385 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5507 * 0.8", "nDamageRand": "5507 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5629 * 0.8", "nDamageRand": "5629 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5751 * 0.8", "nDamageRand": "5751 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5873 * 0.8", "nDamageRand": "5873 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5995 * 0.8", "nDamageRand": "5995 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6117 * 0.8", "nDamageRand": "6117 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6238 * 0.8", "nDamageRand": "6238 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6360 * 0.8", "nDamageRand": "6360 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6482 * 0.8", "nDamageRand": "6482 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6604 * 0.8", "nDamageRand": "6604 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6726 * 0.8", "nDamageRand": "6726 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6848 * 0.8", "nDamageRand": "6848 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6970 * 0.8", "nDamageRand": "6970 * 0.4", "nCostMana": "0"}, {"nDamageBase": "7092 * 0.8", "nDamageRand": "7092 * 0.4", "nCostMana": "0"}, {"nDamageBase": "7214 * 0.8", "nDamageRand": "7214 * 0.4", "nCostMana": "0"}]		CALL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE_RAND
npc\副本BOSS\25人谢云流\生太极.lua	npc	plain	{"nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE", "nBeatBackRate": "0", "nBrokenRate": "1 * PERCENT_BASE"}	[{"nDamageBase": "9500 * 0.8", "nDamageRand": "9500 * 0.4", "nCostMana": "0"}, {"nDamageBase": "297 * 0.8", "nDamageRand": "297 * 0.4", "nCostMana": "0"}, {"nDamageBase": "9500 * 0.8", "nDamageRand": "9500 * 0.4", "nCostMana": "0"}, {"nDamageBase": "723 * 0.8", "nDamageRand": "723 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1052 * 0.8", "nDamageRand": "1052 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1381 * 0.8", "nDamageRand": "1381 * 0.4", "nCostMana": "0"}, {"nDamageBase": "1900 * 0.8", "nDamageRand": "1900 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2265 * 0.8", "nDamageRand": "2265 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2631 * 0.8", "nDamageRand": "2631 * 0.4", "nCostMana": "0"}, {"nDamageBase": "2996 * 0.8", "nDamageRand": "2996 * 0.4", "nCostMana": "0"}, {"nDamageBase": "3362 * 0.8", "nDamageRand": "3362 * 0.4", "nCostMana": "0"}, {"nDamageBase": "3727 * 0.8", "nDamageRand": "3727 * 0.4", "nCostMana": "0"}, {"nDamageBase": "4093 * 0.8", "nDamageRand": "4093 * 0.4", "nCostMana": "0"}, {"nDamageBase": "4458 * 0.8", "nDamageRand": "4458 * 0.4", "nCostMana": "0"}, {"nDamageBase": "9500 * 0.8", "nDamageRand": "9500 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5385 * 0.8", "nDamageRand": "5385 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5507 * 0.8", "nDamageRand": "5507 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5629 * 0.8", "nDamageRand": "5629 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5751 * 0.8", "nDamageRand": "5751 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5873 * 0.8", "nDamageRand": "5873 * 0.4", "nCostMana": "0"}, {"nDamageBase": "5995 * 0.8", "nDamageRand": "5995 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6117 * 0.8", "nDamageRand": "6117 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6238 * 0.8", "nDamageRand": "6238 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6360 * 0.8", "nDamageRand": "6360 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6482 * 0.8", "nDamageRand": "6482 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6604 * 0.8", "nDamageRand": "6604 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6726 * 0.8", "nDamageRand": "6726 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6848 * 0.8", "nDamageRand": "6848 * 0.4", "nCostMana": "0"}, {"nDamageBase": "6970 * 0.8", "nDamageRand": "6970 * 0.4", "nCostMana": "0"}, {"nDamageBase": "7092 * 0.8", "nDamageRand": "7092 * 0.4", "nCostMana": "0"}, {"nDamageBase": "7214 * 0.8", "nDamageRand": "7214 * 0.4", "nCostMana": "0"}]		
npc\副本BOSS\一之窟\1号_骆耀阳\1号_骆耀阳_破风.lua	npc	plain	{"nMaxRadius": "100 * LENGTH_BASE", "nAngleRange": "256", "bIgnorePrepareState": "true"}	[{"nDamageBase": "1259340", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "1682758", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2242500", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_KNOCKED_OFF_PARABOLA;CALL_PHYSICS_DAMAGE;EXECUTE_SCRIPT;KNOCKED_OFF_RATE;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
npc\副本BOSS\冰火岛\拿云\赤阳爆裂阵.lua	npc	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "6 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "120 * LENGTH_BASE"}	[{"nDamageBase": "200000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "500000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_SOLAR_DAMAGE;EXECUTE_SCRIPT;SKILL_SOLAR_DAMAGE;SKILL_SOLAR_DAMAGE_RAND
npc\副本BOSS\冰火岛_青莲狱\6号_伊玛目\断首斩.lua	npc	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "40 * LENGTH_BASE", "nAngleRange": "128", "nAreaRadius": "8 * LENGTH_BASE"}	[{"nDamageBase": "33000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "33000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "39900", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "49200", "nDamageRand": "0", "nCostMana": "0"}]		CALL_SOLAR_DAMAGE;SKILL_SOLAR_DAMAGE;SKILL_SOLAR_DAMAGE_RAND
npc\副本BOSS\刀轮海厅\剑破伤害.lua	npc	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "60 * LENGTH_BASE", "nAngleRange": "128", "nAreaRadius": "5 * LENGTH_BASE"}	[{"nDamageBase": "6000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "10000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE;EXECUTE_SCRIPT;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
npc\副本BOSS\刀轮海厅\屠龙六式伤害120面向.lua	npc	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "20 * LENGTH_BASE", "nAngleRange": "86", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "3380", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE;EXECUTE_SCRIPT;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
