attribute	count
atDecriticalDamagePowerBaseKiloNumRate	11
atDisableTeamwork	11
atNotIgnore	11
atRageReplenish	11
atIsolated	10
atQiEnergyReplenishPercent	10
atUnarm	10
atVitalityToLunarAttackPowerCof	10
atAddEnforceWaterFloatCof	9
atAddGlobalAbsorbShieldRecordTherapyOnly	9
atAddHorseSprintPowerCost	9
atAddSwimWaterLineCof	9
atBlockLongRange	9
atDisableTalentSet	9
atEnergyReplenish	9
atHeight	9
atResistCriticalStrikeRate	9
atSolarOvercomeBase	9
atStop	9
atTherapyPowerToMagicAttackPowerCof	9
atValidDamageRange	9
atAddSprintPowerMax	8
atBeImmunisedStealthEnable	8
atKnockDownTimeRate	8
atModifyCostSunEnergyPercent	8
atModifyDivingCount	8
atNeutralMagicBlock	8
atSkillDamageFinalCof	8
atSolarMagicBlock	8
atSpecialSkillMove	8
atTransferLife	8
atActivityTherapyFinalCof	7
atBaseVenationCof	7
atEmployerCastSkillTargetDest	7
atImmunityComboExceptPullPush	7
atMagicVenationCof	7
atPhysicsVenationCof	7
atAddFellowshipAttraction	6
atAllShieldIgnoreAdd	6
atAssistVenationCof	6
atCopyDamageForSrc	6
atGlobalDamageFixedAdd	6
atLunarDamageManaShield	6
atMoonEnergyAddPercent	6
atNeutralAttackPowerToTherapyPowerCof	6
atNeutralCriticalDamagePowerBaseKiloNumRate	6
atPauseCDTimer	6
atSetAdaptiveSkillType	6
atSetEquipmentRecipe	6
atSetRelationAllEnemyExceptTeam	6
atSolarCriticalDamagePowerBaseKiloNumRate	6
atSunEnergyAddPercent	6
atAddExpPercentByQuest	5
atDamageToTherapy	5
atNeutralHitValue	5
atPoisonDamageManaShield	5
atRangeAngleShield	5
atAddPrestigePercent	4
atDamageToLifeCof	4
atDecayAllTypeResistPercent	4
atDelSingleGroupBuffByIDAndLevel	4
atEqualDivisionTeamDamage	4
atFixedDamageReduceValue	4
atImmunityCastID	4
atLunarHitValue	4
atMaxLifeToAttackPowerCof	4
atMazeCast	4
atMirrorShield	4
atParryValuePercent	4
atSense	4
atSolarHitValue	4
atSprintPowerAddPercent	4
atTransferTherapy	4
atVitalityToMagicCriticalStrikeCof	4
atAddQuestReputationPercent	3
atAddSprintPowerCostOnWall	3
atAgilityToParryCof	3
atAllTherapyAddPercent	3
atChangeCaptionIconType	3
atCurrentMoonEnergy	3
atCurrentSunEnergy	3
atDashBlock	3
atEqualDivisionTeamTherapy	3
atExcessLifeChangeDiscount	3
atHorseJumpSpeedAdditional	3
atLockTransTherapy	3
atLunarAttackPowerToTherapyPowerCof	3
atMaxDamageToLifeValue	3
atPoisonCriticalDamagePowerBaseKiloNumRate	3
atPoisonHitValue	3
atRecoveryShield	3
atSelfAlarmRangeRevise	3
atSetDisableSkillCastOnEntrapFlag	3
atSkillNeutralDamage	3
atStopXYZ	3
atTransferThreat	3
atTransform	3
atValidBlockRange	3
atAddGlobalAbsorbShieldRecordTherapyOnlyBySelfMaxLife	2
atAddHorseSprintPowerMax	2
atCallBuffStack8	2
atCallKnockedOffParabola	2
atChangeForceFightState	2
atControlTransToSlow	2
atDamageFeedbackPercent	2
atDisableAcquirePKTitlePoint	2
atDisableSelectTarget	2
atDisableVauleBySelfMaxLife	2
atEqualDivisionDamage	2
atEqualDivisionTherapy	2
atGlobalDamageManaShield	2
atMaxEnergy	2
atMaxFollowVelocity	2
atModifyReflectionPercent	2
atPhysicsDefenceAdd	2
atPoisonAttackPowerToTherapyPowerCof	2
atReduceDamageWhenLifeChanged	2
atSetDisableTitlePointProduceFlag	2
atShieldTransfer	2
atSkillTherapy	2
atSolarAndLunarOvercomeBase	2
atAddFlySprintPowerCost	1
atAddGlobalAbsorbShieldByParryValue	1
atAddGlobalAbsorbShieldRecordEvilOnly	1
atAddGlobalAbsorbShieldRecordGoodOnly	1
atAgilityToParryValueCof	1
atBanSkillMove	1
atChangeCaptionRightIconType	1
atCopyDamage	1
atCurrentRage	1
atDeflect	1
atDisableAcquireTitlePoint	1
atEnableDecriticalDamagePowerConvert	1
atFullAnglePlayer	1
atGlobalDamageAbsorbBySelfVitality	1
atHoldHorse	1
atHorseRunType	1
atImmuniseStealthCircleActive	1
atLunarCriticalStrike	1
atMagicCriticalDamagePowerPercent	1
atMagicDamageAbsorb	1
atMagicHitValue	1
atMarkedBustupByGuard	1
atMaxAccumulateValue	1
atMeleeWeaponAttackSpeedBase	1
atModifySkillMoveVelocityXY	1
atNeutralCriticalStrike	1
atNotifyBuffSrc	1
atOtherAlarmRangeRevise	1
atPVXAllRound	1
atParryValueToMagicShieldCof	1
atQiEnergyReplenish	1
atReduceDamageWhenLifeLow	1
atResetCoolDown	1
atSetImmuniseStealthCircle	1
atSetIncomeLimitFlag	1
atSetJumpCount	1
atSetSaleLimitFlag	1
atSit	1
atSkillLunarDamage	1
atSolarDamageManaShield	1
atSpoof	1
atTherapyPVXAllRound	1
atTherapyPowerToPhysicsAttackPowerCof	1
atTransferMana	1
atWalkMoveOnly	1
