0x0000EAF0	atInvalid
0x0000F210	atMaxQiEnergy
0x0000F220	atCurrentQiEnergy
0x0000F238	atQiEnergyReplenish
0x0000F250	atQiEnergyReplenishPercent
0x0000F270	atMaxQiControlCount
0x0000F288	atCurrentQiControlCount
0x0000F2A0	atStopMakeQiControlCancel
0x0000F2C0	atCurrentQiSPByScript
0x0000F2D8	atDeflect
0x0000F2E8	atMaxPosture
0x0000F2F8	atCurrentPosture
0x0000F310	atPostureReplenish
0x0000F328	atCurrentStamina
0x0000F340	atMaxStamina
0x0000F350	atCurrentThew
0x0000F360	atMaxThew
0x0000F370	atActiveThreatCoefficient
0x0000F390	atPassiveThreatCoefficient
0x0000F3B0	atDodge
0x0000F3B8	atDodgeBaseRate
0x0000F3C8	atParryBaseRate
0x0000F3D8	atParryBase
0x0000F3E8	atParryPercent
0x0000F3F8	atParryValueBase
0x0000F410	atParryValuePercent
0x0000F428	atParryValueToMagicShieldCof
0x0000F448	atSense
0x0000F450	atStrainBase
0x0000F460	atStrainPercent
0x0000F470	atStrainRate
0x0000F480	atToughnessBaseRate
0x0000F498	atToughnessBase
0x0000F4A8	atToughnessPercent
0x0000F4C0	atDecriticalDamagePowerBaseKiloNumRate
0x0000F4E8	atDecriticalDamagePowerBase
0x0000F508	atDecriticalDamagePowerPercent
0x0000F528	atPositiveShield
0x0000F540	atNegativeShield
0x0000F558	atGlobalResistPercent
0x0000F570	atGlobalBlock
0x0000F580	atGlobalTherapyAbsorb
0x0000F598	atGlobalTherapyAbsorbBySelfMaxLife
0x0000F5C0	atGlobalDamageAbsorb
0x0000F5D8	atGlobalDamageAbsorbBySelfMaxLife
0x0000F600	atGlobalDamageAbsorbBySelfSpirit
0x0000F628	atGlobalDamageAbsorbBySelfAgility
0x0000F650	atGlobalDamageAbsorbBySelfVitality
0x0000F678	atGlobalDamageManaShield
0x0000F698	atDamageToLifeForSelf
0x0000F6B0	atDamageToManaForSelf
0x0000F6C8	atMaxDamageToLifeValue
0x0000F6E0	atMaxDamageToManaValue
0x0000F6F8	atDamageFeedbackPercent
0x0000F710	atBeatBackRate
0x0000F720	atKnockedBackRate
0x0000F738	atKnockedOffRate
0x0000F750	atKnockedDownRate
0x0000F768	atPullRate
0x0000F778	atImmuneSkillMove
0x0000F790	atRepulsedRate
0x0000F7A0	atRangeAngleShield
0x0000F7B8	atImmortal
0x0000F7C8	atMountingRate
0x0000F7D8	atMeleeWeaponDamageBase
0x0000F7F0	atMeleeWeaponDamagePercent
0x0000F810	atMeleeWeaponDamageRand
0x0000F828	atMeleeWeaponDamageRandPercent
0x0000F848	atRangeWeaponDamageBase
0x0000F860	atRangeWeaponDamagePercent
0x0000F880	atRangeWeaponDamageRand
0x0000F898	atRangeWeaponDamageRandPercent
0x0000F8B8	atSkillPhysicsDamage
0x0000F8D0	atSkillPhysicsDamageRand
0x0000F8F0	atSkillPhysicsDamagePercent
0x0000F910	atPhysicsDamageCoefficient
0x0000F930	atPhysicsAttackPowerBase
0x0000F950	atPhysicsAttackPowerPercent
0x0000F970	atPhysicsHitBaseRate
0x0000F988	atPhysicsHitValue
0x0000F9A0	atPhysicsCriticalStrikeBaseRate
0x0000F9C0	atPhysicsCriticalStrike
0x0000F9D8	atPhysicsCriticalDamagePowerBaseKiloNumRate
0x0000FA08	atPhysicsCriticalDamagePowerBase
0x0000FA30	atPhysicsCriticalDamagePowerPercent
0x0000FA58	atPhysicsOvercomeBase
0x0000FA70	atPhysicsOvercomePercent
0x0000FA90	atPhysicsResistPercent
0x0000FAA8	atPhysicsDefenceAdd
0x0000FAC0	atPhysicsDefenceMax
0x0000FAD8	atPhysicsShieldBase
0x0000FAF0	atPhysicsShieldPercent
0x0000FB08	atPhysicsShieldAdditional
0x0000FB28	atPhysicsReflection
0x0000FB40	atPhysicsReflectionPercent
0x0000FB60	atPhysicsBlock
0x0000FB70	atPhysicsDamageAbsorb
0x0000FB88	atPhysicsDamageManaShield
0x0000FBA8	atAllTypeAttackPowerBase
0x0000FBC8	atAllTypeOvercomeBase
0x0000FBE0	atAllTypeHitValue
0x0000FBF8	atAllTypeCriticalStrike
0x0000FC10	atAllTypeCriticalDamagePowerBase
0x0000FC38	atDecayAllTypeResistPercent
0x0000FC58	atSkillMagicDamage
0x0000FC70	atMagicAttackPowerBase
0x0000FC88	atMagicAttackPowerPercent
0x0000FCA8	atMagicCriticalStrike
0x0000FCC0	atMagicShield
0x0000FCD0	atMagicCriticalDamagePowerBaseKiloNumRate
0x0000FD00	atMagicCriticalDamagePowerBase
0x0000FD20	atMagicCriticalDamagePowerPercent
0x0000FD48	atMagicOvercome
0x0000FD58	atMagicHitBaseRate
0x0000FD70	atMagicHitValue
0x0000FD80	atSkillSolarDamage
0x0000FD98	atSkillSolarDamageRand
0x0000FDB0	atSkillSolarDamagePercent
0x0000FDD0	atSolarDamageCoefficient
0x0000FDF0	atSolarAttackPowerBase
0x0000FE08	atSolarAttackPowerPercent
0x0000FE28	atSolarHitBaseRate
0x0000FE40	atSolarHitValue
0x0000FE50	atSolarCriticalStrikeBaseRate
0x0000FE70	atSolarCriticalStrike
0x0000FE88	atSolarCriticalDamagePowerBaseKiloNumRate
0x0000FEB8	atSolarCriticalDamagePowerBase
0x0000FED8	atSolarCriticalDamagePowerPercent
0x0000FF00	atSolarOvercomeBase
0x0000FF18	atSolarOvercomePercent
0x0000FF30	atSolarMagicResistPercent
0x0000FF50	atSolarMagicShieldBase
0x0000FF68	atSolarMagicShieldPercent
0x0000FF88	atSolarMagicReflection
0x0000FFA0	atSolarMagicReflectionPercent
0x0000FFC0	atSolarMagicBlock
0x0000FFD8	atSolarDamageAbsorb
0x0000FFF0	atSolarDamageManaShield
0x00010008	atSkillNeutralDamage
0x00010020	atSkillNeutralDamageRand
0x00010040	atSkillNeutralDamagePercent
0x00010060	atNeutralDamageCoefficient
0x00010080	atNeutralAttackPowerBase
0x000100A0	atNeutralAttackPowerPercent
0x000100C0	atNeutralHitBaseRate
0x000100D8	atNeutralHitValue
0x000100F0	atNeutralCriticalStrikeBaseRate
0x00010110	atNeutralCriticalStrike
0x00010128	atNeutralCriticalDamagePowerBaseKiloNumRate
0x00010158	atNeutralCriticalDamagePowerBase
0x00010180	atNeutralCriticalDamagePowerPercent
0x000101A8	atNeutralOvercomeBase
0x000101C0	atNeutralOvercomePercent
0x000101E0	atNeutralMagicResistPercent
0x00010200	atNeutralMagicShieldBase
0x00010220	atNeutralMagicShieldPercent
0x00010240	atNeutralMagicReflection
0x00010260	atNeutralMagicReflectionPercent
0x00010280	atNeutralMagicBlock
0x00010298	atNeutralDamageAbsorb
0x000102B0	atNeutralDamageManaShield
0x000102D0	atSkillLunarDamage
0x000102E8	atSkillLunarDamageRand
0x00010300	atSkillLunarDamagePercent
0x00010320	atLunarDamageCoefficient
0x00010340	atLunarAttackPowerBase
0x00010358	atLunarAttackPowerPercent
0x00010378	atLunarHitBaseRate
0x00010390	atLunarHitValue
0x000103A0	atLunarCriticalStrikeBaseRate
0x000103C0	atLunarCriticalStrike
0x000103D8	atLunarCriticalDamagePowerBaseKiloNumRate
0x00010408	atLunarCriticalDamagePowerBase
0x00010428	atLunarCriticalDamagePowerPercent
0x00010450	atLunarOvercomeBase
0x00010468	atLunarOvercomePercent
0x00010480	atLunarMagicResistPercent
0x000104A0	atLunarMagicShieldBase
0x000104B8	atLunarMagicShieldPercent
0x000104D8	atLunarMagicReflection
0x000104F0	atLunarMagicReflectionPercent
0x00010510	atLunarMagicBlock
0x00010528	atLunarDamageAbsorb
0x00010540	atLunarDamageManaShield
0x00010558	atSkillPoisonDamage
0x00010570	atSkillPoisonDamageRand
0x00010588	atSkillPoisonDamagePercent
0x000105A8	atPoisonDamageCoefficient
0x000105C8	atPoisonAttackPowerBase
0x000105E0	atPoisonAttackPowerPercent
0x00010600	atPoisonHitBaseRate
0x00010618	atPoisonHitValue
0x00010630	atPoisonCriticalStrikeBaseRate
0x00010650	atPoisonCriticalStrike
0x00010668	atPoisonCriticalDamagePowerBaseKiloNumRate
0x00010698	atPoisonCriticalDamagePowerBase
0x000106B8	atPoisonCriticalDamagePowerPercent
0x000106E0	atPoisonOvercomeBase
0x000106F8	atPoisonOvercomePercent
0x00010710	atPoisonMagicResistPercent
0x00010730	atPoisonMagicShieldBase
0x00010748	atPoisonMagicShieldPercent
0x00010768	atPoisonMagicReflection
0x00010780	atPoisonMagicReflectionPercent
0x000107A0	atPoisonMagicBlock
0x000107B8	atPoisonDamageAbsorb
0x000107D0	atPoisonDamageManaShield
0x000107F0	atTherapyPowerBase
0x00010808	atTherapyPowerPercent
0x00010820	atSkillTherapy
0x00010830	atSkillTherapyRand
0x00010848	atSkillTherapyPercent
0x00010860	atTherapyCoefficient
0x00010878	atBeTherapyCoefficient
0x00010890	atOverflowTherapyIntelligentTransfer
0x000108B8	atSkillAdaptiveDamage
0x000108D0	atSkillAdaptiveDamageRand
0x000108F0	atSolarAndLunarAttackPowerBase
0x00010910	atSolarAndLunarHitValue
0x00010928	atSolarAndLunarCriticalStrike
0x00010948	atSolarAndLunarCriticalDamagePowerBase
0x00010970	atSolarAndLunarOvercomeBase
0x00010990	atNoneWeaponAttackSpeedBase
0x000109B0	atMeleeWeaponAttackSpeedBase
0x000109D0	atMeleeWeaponAttackSpeedPercentAdd
0x000109F8	atMeleeWeaponAttackSpeedAdditional
0x00010A20	atRangeWeaponAttackSpeedBase
0x00010A40	atRangeWeaponAttackSpeedPercentAdd
0x00010A68	atRangeWeaponAttackSpeedAdditional
0x00010A90	atIgnoreOtherAlarmRange
0x00010AA8	atSelfAlarmRangeRevise
0x00010AC0	atOtherAlarmRangeRevise
0x00010AD8	atUnarm
0x00010AE0	atDash
0x00010AE8	atDashToPoint
0x00010AF8	atDashForward
0x00010B08	atDashBackward
0x00010B18	atDashLeft
0x00010B28	atDashRight
0x00010B38	atDashToDstBack
0x00010B48	atSkillMove
0x00010B58	atCatchPlayer
0x00010B68	atHalt
0x00010B70	atFreeze
0x00010B80	atEntrap
0x00010B90	atLockedFace
0x00010BA0	atFear
0x00010BA8	atRevive
0x00010BB4	atSit
0x00010BC0	atDisarm
0x00010BD0	atDisableMoveCtrl
0x00010BE8	atDisableSelectTarget
0x00010C00	atCallKnockedBackExhale
0x00010C18	atCallKnockedBackConvergence
0x00010C38	atCallKnockedBackRandom
0x00010C50	atCallKnockedBackSrcFace
0x00010C70	atCallKnockedOffParabola
0x00010C90	atCallKnockedDown
0x00010CA8	atCallAddKnockedDownFrame
0x00010CC8	atCallRepulsed
0x00010CD8	atSurplusValueBase
0x00010CF0	atSurplusValueAddPercent
0x00010D10	atCallSurplusPhysicsDamage
0x00010D30	atCallSurplusSolarDamage
0x00010D50	atCallSurplusNeutralDamage
0x00010D70	atCallSurplusLunarDamage
0x00010D90	atCallSurplusPoisonDamage
0x00010DB0	atCallTherapy
0x00010DC0	atCallRechargeableAbsorbShieldByTherapy
0x00010DE8	atCallPhysicsDamage
0x00010E00	atCallSolarDamage
0x00010E18	atCallNeutralDamage
0x00010E30	atCallLunarDamage
0x00010E48	atCallPoisonDamage
0x00010E60	atCallAdaptiveDamage
0x00010E78	atCastSkillTargetSrc
0x00010E90	atCastSkillTargetDst
0x00010EA8	atSkillEventHandler
0x00010EC0	atAccumulate
0x00010ED0	atSetNextBuffCount
0x00010EE8	atCallBuff
0x00010EF8	atCallBuffStack2
0x00010F10	atCallBuffStack3
0x00010F28	atCallBuffStack4
0x00010F40	atCallBuffStack5
0x00010F58	atCallBuffStack6
0x00010F70	atCallBuffStack7
0x00010F88	atCallBuffStack8
0x00010FA0	atCallSubBuff
0x00010FB0	atCallBuffAccordingToAttraction
0x00010FD0	atDetachSingleBuff
0x00010FE8	atDetachMultiGroupBuff
0x00011000	atDelSingleBuffByFunctionType
0x00011020	atDelMultiGroupBuffByFunctionType
0x00011048	atDelSingleBuffByIDAndLevel
0x00011068	atDelSingleGroupBuffByIDAndLevel
0x00011090	atDelMultiGroupBuffByID
0x000110A8	atModifyThreat
0x000110B8	atModifyAllThreaten
0x000110D0	atModifyThreatPercent
0x000110E8	atModifyAllThreatenPercent
0x00011108	atSpoof
0x00011110	atSilence
0x00011120	atSilenceAll
0x00011130	atImmunity
0x00011140	atImmunityComboExceptPullPush
0x00011160	atImmunityCombo
0x00011170	atImmunityComboAll
0x00011188	atAddWeak
0x00011198	atModifySkillCastFlag
0x000111B0	atExecuteScript
0x000111C0	atExecuteScriptWithParam
0x000111E0	atExecuteScriptSetup
0x000111F8	atExecuteScriptBulletToSelf
0x00011218	atExecuteScriptBulletToDestAndRollback
0x00011240	atExecuteScriptBulletToDest
0x00011260	atPrinkRepresentID
0x00011278	atPrinkModel
0x00011288	atPrinkForce
0x00011298	atRideHorse
0x000112A8	atHoldHorse
0x000112B8	atDoAction
0x000112C8	atAddExpPercent
0x000112D8	atAddExpPercentByQuest
0x000112F0	atAddExpPercentByScript
0x00011308	atAddReputationPercent
0x00011320	atAddQuestReputationPercent
0x00011340	atAddContributionPercentForAll
0x00011360	atAddPrestigePercentForAll
0x00011380	atAddJusticePercent
0x00011398	atAddPrestigePercent
0x000113B0	atAddTrainPercent
0x000113C8	atDisableAcquireTitlePoint
0x000113E8	atDisableAcquirePKTitlePoint
0x00011408	atEmployerCastSkillTargetSelf
0x00011428	atEmployerCastSkillTargetDest
0x00011448	atClearCoolDown
0x00011458	atResetCoolDown
0x00011468	atModifyCoolDown
0x00011480	atAddCoolDownInterval
0x00011498	atTransferDamageToManaPercent
0x000114B8	atModifyCostManaPercent
0x000114D0	atModifyCostRagePercent
0x000114E8	atModifyCostEnergyPercent
0x00011508	atModifyCostSunEnergyPercent
0x00011528	atDirectCastMask
0x0001153C	atPull
0x00011548	atPullZ
0x00011550	atTurnToSrc
0x00011560	atConsumeBuff
0x00011570	atTopThreat
0x00011580	atZeroThreat
0x00011590	atTurnToSkillTarget
0x000115A8	atFormationEffect
0x000115C0	atAddDamageByDstMoveState
0x000115E0	atTransferDamage
0x000115F8	atCopyDamage
0x00011608	atCopyDamageForSrc
0x00011620	atTransferTherapy
0x00011638	atBanTransferTherapy
0x00011650	atTransferThreat
0x00011668	atAddFellowshipAttraction
0x00011688	atCallHelp
0x00011698	atCallRequest
0x000116A8	atCatchCharacter
0x000116C0	atTransmission
0x000116D0	atVitalityToParryValueCof
0x000116F0	atVitalityToMaxLifeCof
0x00011708	atVitalityToPhysicsAttackPowerCof
0x00011730	atVitalityToSolarAttackPowerCof
0x00011750	atVitalityToLunarAttackPowerCof
0x00011770	atVitalityToNeutralAttackPowerCof
0x00011798	atVitalityToPoisonAttackPowerCof
0x000117C0	atVitalityToTherapyPowerCof
0x000117E0	atVitalityToPhysicsShieldCof
0x00011800	atVitalityToDodgeCof
0x00011818	atVitalityToParryCof
0x00011830	atVitalityToMagicShieldCof
0x00011850	atVitalityToMaxManaCof
0x00011868	atVitalityToPhysicsOverComeCof
0x00011888	atVitalityToMagicOverComeCof
0x000118A8	atVitalityToMagicCriticalStrikeCof
0x000118D0	atSpiritToMaxManaCof
0x000118E8	atSpiritToManaReplenishCof
0x00011908	atSpiritToTherapyPowerCof
0x00011928	atSpiritToPhysicsAttackPowerCof
0x00011948	atSpiritToSolarAttackPowerCof
0x00011968	atSpiritToLunarAttackPowerCof
0x00011988	atSpiritToNeutralAttackPowerCof
0x000119A8	atSpiritToPoisonAttackPowerCof
0x000119C8	atSpiritToPhysicsCriticalStrikeCof
0x000119F0	atSpiritToSolarCriticalStrikeCof
0x00011A18	atSpiritToLunarCriticalStrikeCof
0x00011A40	atSpiritToNeutralCriticalStrikeCof
0x00011A68	atSpiritToPoisonCriticalStrikeCof
0x00011A90	atSpiritToPhysicsCriticalDamagePowerCof
0x00011AB8	atSpiritToSolarCriticalDamagePowerCof
0x00011AE0	atSpiritToLunarCriticalDamagePowerCof
0x00011B08	atSpiritToNeutralCriticalDamagePowerCof
0x00011B30	atSpiritToPoisonCriticalDamagePowerCof
0x00011B58	atLunarAttackPowerToTherapyPowerCof
0x00011B80	atTherapyPowerToMagicAttackPowerCof
0x00011BA8	atTherapyPowerToPhysicsAttackPowerCof
0x00011BD0	atNeutralAttackPowerToTherapyPowerCof
0x00011BF8	atPoisonAttackPowerToTherapyPowerCof
0x00011C20	atSpiritToSolarMagicShieldCof
0x00011C40	atSpiritToLunarMagicShieldCof
0x00011C60	atSpiritToNeutralMagicShieldCof
0x00011C80	atSpiritToPoisonMagicShieldCof
0x00011CA0	atSpiritToPoisonOvercomeCof
0x00011CC0	atSpunkToManaReplenishCof
0x00011CE0	atSpunkToPhysicsAttackPowerCof
0x00011D00	atSpunkToSolarAttackPowerCof
0x00011D20	atSpunkToLunarAttackPowerCof
0x00011D40	atSpunkToNeutralAttackPowerCof
0x00011D60	atSpunkToPoisonAttackPowerCof
0x00011D80	atSpunkToSolarAndLunarAttackPowerCof
0x00011DA8	atSpunkToSolarCriticalStrikeCof
0x00011DC8	atSpunkToSolarCriticalDamagePowerCof
0x00011DF0	atSpunkToSolarAndLunarCriticalStrikeCof
0x00011E18	atSpunkToSolarAndLunarCriticalDamagePowerCof
0x00011E48	atSpunkToPhysicsCriticalStrikeCof
0x00011E70	atSpunkToPhysicsCriticalDamagePowerCof
0x00011E98	atSpunkToNeutralOvercomeCof
0x00011EB8	atSpunkToNeutralCriticalStrikeCof
0x00011EE0	atStrengthToPhysicsCriticalStrikeCof
0x00011F08	atStrengthToPhysicsAttackPowerCof
0x00011F30	atStrengthToPhysicsCriticalDamagePowerCof
0x00011F60	atStrengthToSolarAttackPowerCof
0x00011F80	atStrengthToLunarAttackPowerCof
0x00011FA0	atStrengthToNeutralAttackPowerCof
0x00011FC8	atStrengthToPoisonAttackPowerCof
0x00011FF0	atStrengthToPhysicsOvercomeCof
0x00012010	atAgilityToPhysicsCriticalStrikeCof
0x00012038	atAgilityToPhysicsCriticalDamagePowerCof
0x00012068	atAgilityToPoisonCriticalStrikeCof
0x00012090	atAgilityToPhysicsAttackPowerCof
0x000120B8	atAgilityToSolarAndLunarAttackPowerCof
0x000120E0	atAgilityToPhysicsOvercomeCof
0x00012100	atAgilityToDodgeCof
0x00012118	atAgilityToParryCof
0x00012130	atAgilityToParryValueCof
0x00012150	atEnableDecriticalDamagePowerConvert
0x00012178	atStealth
0x00012188	atCounterStealth
0x000121A0	atCounterStealthRange
0x000121B8	atAutoSelectTarget
0x000121D0	atCallMentorBuff
0x000121E8	atMentorFormationEffect
0x00012200	atAdjustProfessionLevel
0x00012218	atSetUseBigSwordFlag
0x00012230	atChangeCarrierState
0x00012248	atSetIncomeLimitFlag
0x00012260	atSetSaleLimitFlag
0x00012278	atSetDisableSkillCastOnEntrapFlag
0x000122A0	atSetEquipmentRecipe
0x000122B8	atSetTalentRecipe
0x000122D0	atTransferLife
0x000122E0	atTransferMana
0x000122F0	atCopyEffectiveTherapy
0x00012308	atDisableAutoSelect
0x00012320	atAutoSelectTargetByLifeless
0x00012340	atCastSubSkill
0x00012350	atCastSkill
0x00012360	atCastSkillNoTarget
0x00012378	atCastSkillTargetSelf
0x00012390	atSetDisableTitlePointProduceFlag
0x000123B8	atAddSprintPowerMax
0x000123D0	atAddSprintPowerCost
0x000123E8	atAddSprintPowerRevive
0x00012400	atAddSprintPowerCostOnWall
0x00012468	atAddFlySprintPowerCost
0x00012480	atDisableSprintFlag
0x00012498	atDisableSprintPowerCost
0x000124B8	atSprintPowerAddPercent
0x000124D0	atAddHorseSprintPowerMax
0x000124F0	atAddHorseSprintPowerCost
0x00012510	atAddHorseSprintPowerRevive
0x00012530	atEnableDoubleRide
0x00012548	atHorseCanSwim
0x00012558	atChangeSkillIcon
0x00012570	atNoLimitChangeSkillIcon
0x00012590	atAddScale
0x000125A0	atDisableRevive
0x000125B0	atDisableTeamwork
0x000125C8	atImmunityBeatBreak
0x000125E0	atAddTransparencyValue
0x000125F8	atAllDamageAddPercent
0x00012610	atAllPhysicsDamageAddPercent
0x00012630	atAllMagicDamageAddPercent
0x00012650	atAllTherapyAddPercent
0x00012668	atAllShieldIgnorePercent
0x00012688	atDstNpcDamageCoefficient
0x000126A8	atDamageToTherapy
0x000126BC	atStop
0x000126C8	atStopXYZ
0x000126D8	atNotIgnore
0x000126E8	atCatchDash
0x000126F8	atChangePoseState
0x00012710	atRecoveryShield
0x00012728	atMirrorShield
0x00012738	atAddGlobalAbsorbShieldByParry
0x00012758	atAddGlobalAbsorbShieldByParryValue
0x00012780	atAddSwimWaterLineCof
0x00012798	atAddEnforceWaterFloatCof
0x000127B8	atPauseCDTimer
0x000127C8	atAccelerateCDTimer
0x000127E0	atEqualDivisionTeamDamage
0x00012800	atEqualDivisionTeamTherapy
0x00012820	atEqualDivisionDamage
0x00012838	atEqualDivisionTherapy
0x00012850	atImmunityCastID
0x00012868	atIgnoreGravity
0x00012878	atFixedDamageReduceValue
0x00012898	atExcessLifeChangeDiscount
0x000128B8	atReduceDamageWhenLifeChanged
0x000128D8	atReduceDamageWhenLifeLow
0x000128F8	atStealBuff
0x00012908	atCopyBuff
0x00012918	atDriftFlag
0x00012928	atMarkedBustupByGuard
0x00012940	atSetSelectableType
0x00012958	atSetHitReduceRate
0x00012970	atBuffFunctionDecay
0x00012988	atWaterFloat
0x00012998	atDisableSpoof
0x000129A8	atAddGlobalAbsorbShieldRecordOnly
0x000129D0	atChangeForceFightState
0x000129E8	atModifyReflectionPercent
0x00012A08	atSetPlayerUncontrollable
0x00012A28	atMaxSkillRadiusAdd
0x00012A40	atSetRelationAllEnemyExceptTeam
0x00012A60	atDamageToManaForDst
0x00012A78	atDamageToSprintPowerForDst
0x00012A98	atReduceAOEDamagePercent
0x00012AB8	atGlobalDamageFactor
0x00012AD0	atDamagePercentForSrc
0x00012AE8	atDecayVelocity
0x00012AF8	atPreDieExecuteScript
0x00012B10	atShieldTransfer
0x00012B28	atKnockDownTimeRate
0x00012B40	atMaxFollowVelocity
0x00012B58	atBlockLongRange
0x00012B70	atIsolated
0x00012B80	atAddGlobalAbsorbShieldRecordGoodOnly
0x00012BA8	atAddGlobalAbsorbShieldRecordEvilOnly
0x00012BD0	atSpecialSkillMove
0x00012BE8	atTransferBuff
0x00012BF8	atAddGlobalAbsorbShieldRecordTherapyOnly
0x00012C28	atStealSolarLunarNeutralPosionBuff
0x00012C50	atDashBlock
0x00012C60	atMaxSkillRadiusPercent
0x00012C78	atMaxLifeToAttackPowerCof
0x00012C98	atMagicShieldToAttackPowerCof
0x00012CB8	atPhysicsShieldToAttackPowerCof
0x00012CD8	atGlobalDamageFixedAdd
0x00012CF0	atAssistedPowerExtAdd
0x00012D08	atAllShieldIgnoreAdd
0x00012D20	atRecordOutputDamage
0x00012D38	atSyncCumulativeOutputDamage
0x00012D58	atDamageAbsorbShieldCoefficient
0x00012D78	atNotifyBuffSrc
0x00012D88	atSetAdaptiveSkillType
0x00012DA0	atDisableTalentSet
0x00012DB8	atWalkMoveOnly
0x00012DC8	atSetImmuniseStealthCircle
0x00012DE8	atImmuniseStealthCircleActive
0x00012E08	atBeImmunisedStealthEnable
0x00012E28	atResistCriticalStrikeRate
0x00012E48	atDisableVauleBySelfMaxLife
0x00012E68	atSrcCallCommonDetachBuffScript
0x00012E88	atDstCallCommonDetachBuffScript
0x00012EA8	atPVXAllRound
0x00012EB8	atChangeCaptionIconType
0x00012ED0	atSurplusToDstNpcDamageCoefficient
0x00012EF8	atValidDamageRange
0x00012F10	atValidBlockRange
0x00012F28	atKungfuType
0x00012F38	atTherapyPVXAllRound
0x00012F50	atMazeCast
0x00012F60	atExtraThreatCoefficient
0x00012F80	atUnlimitCriticalDamagePowerKiloNumRate
0x00012FA8	atControlTransToSlow
0x00012FC0	atLockTransTherapy
0x00012FD8	atBanSkillMove
0x00012FE8	atSkillDamageFinalCof
0x00013000	atSkillTherapyFinalCof
0x00013018	atActivityDamageFinalCof
0x00013038	atActivityTherapyFinalCof
0x00013058	atGamePlayDamageFinalCof
0x00013078	atGamePlayTherapyFinalCof
0x00013098	atAddGlobalAbsorbShieldRecordTherapyOnlyBySelfMaxLife
0x000130D0	atAddGlobalAbsorbShieldRecordOnlyBySelfMaxLife
0x00013100	atDamageToLifeCof
0x00013118	atMagicDamageAbsorb
0x00013130	atMaxAccumulateValue
0x00013148	atModifySkillMoveVelocityXY
0x00013168	atInvalidPassiveSkill
0x00013180	atFullAnglePlayer
0x00013198	atAgilityToLunarCriticalStrikeCof
0x000131C0	atAgilityToLunarAttackPowerCof
0x000131E0	atAgilityToLunarOvercomeCof
