0x0000EDB0	atHasteBase
0x0000FED8	atSolarCriticalDamagePowerPercent
0x0000FF00	atSolarOvercomeBase
0x0000FF18	atSolarOvercomePercent
0x0000FF30	atSolarMagicResistPercent
0x0000FF50	atSolarMagicShieldBase
0x0000FF68	atSolarMagicShieldPercent
0x0000FF88	atSolarMagicReflection
0x0000FFA0	atSolarMagicReflectionPercent
0x0000FFC0	atSolarMagicBlock
0x0000FFD8	atSolarDamageAbsorb
0x0000FFF0	atSolarDamageManaShield
0x000100A0	atNeutralAttackPowerPercent
0x000100C0	atNeutralHitBaseRate
0x000100D8	atNeutralHitValue
0x000100F0	atNeutralCriticalStrikeBaseRate
0x00010110	atNeutralCriticalStrike
0x00010128	atNeutralCriticalDamagePowerBaseKiloNumRate
0x00010158	atNeutralCriticalDamagePowerBase
0x00010180	atNeutralCriticalDamagePowerPercent
0x000101A8	atNeutralOvercomeBase
0x000101C0	atNeutralOvercomePercent
0x000101E0	atNeutralMagicResistPercent
0x00010200	atNeutralMagicShieldBase
0x00010220	atNeutralMagicShieldPercent
0x00010240	atNeutralMagicReflection
0x00010260	atNeutralMagicReflectionPercent
0x00010280	atNeutralMagicBlock
0x00010298	atNeutralDamageAbsorb
0x000102B0	atNeutralDamageManaShield
0x00010358	atLunarAttackPowerPercent
0x00010378	atLunarHitBaseRate
0x00010390	atLunarHitValue
0x000103A0	atLunarCriticalStrikeBaseRate
0x000103C0	atLunarCriticalStrike
0x000103D8	atLunarCriticalDamagePowerBaseKiloNumRate
0x00010408	atLunarCriticalDamagePowerBase
0x00010428	atLunarCriticalDamagePowerPercent
0x00010450	atLunarOvercomeBase
0x00010468	atLunarOvercomePercent
0x00010480	atLunarMagicResistPercent
0x000104A0	atLunarMagicShieldBase
0x000104B8	atLunarMagicShieldPercent
0x000104D8	atLunarMagicReflection
0x000104F0	atLunarMagicReflectionPercent
0x00010510	atLunarMagicBlock
0x00010528	atLunarDamageAbsorb
0x00010540	atLunarDamageManaShield
0x000105E0	atPoisonAttackPowerPercent
0x00010600	atPoisonHitBaseRate
0x00010618	atPoisonHitValue
0x00010630	atPoisonCriticalStrikeBaseRate
0x00010650	atPoisonCriticalStrike
0x00010668	atPoisonCriticalDamagePowerBaseKiloNumRate
0x00010698	atPoisonCriticalDamagePowerBase
0x000106B8	atPoisonCriticalDamagePowerPercent
0x000106E0	atPoisonOvercomeBase
0x000106F8	atPoisonOvercomePercent
0x00010710	atPoisonMagicResistPercent
0x00010730	atPoisonMagicShieldBase
0x00010748	atPoisonMagicShieldPercent
0x00010768	atPoisonMagicReflection
0x00010780	atPoisonMagicReflectionPercent
0x000107A0	atPoisonMagicBlock
0x000107B8	atPoisonDamageAbsorb
0x000107D0	atPoisonDamageManaShield
0x000107F0	atTherapyPowerBase
0x00010808	atTherapyPowerPercent
0x00010820	atSkillTherapy
0x00010830	atSkillTherapyRand
0x00010848	atSkillTherapyPercent
0x00010860	atTherapyCoefficient
0x00010878	atBeTherapyCoefficient
0x00010890	atOverflowTherapyIntelligentTransfer
0x00010910	atSolarAndLunarHitValue
0x00010928	atSolarAndLunarCriticalStrike
0x00010948	atSolarAndLunarCriticalDamagePowerBase
0x00010970	atSolarAndLunarOvercomeBase
0x00010B70	atFreeze
0x00010DB0	atCallTherapy
0x00010DC0	atCallRechargeableAbsorbShieldByTherapy
0x00010EA8	atSkillEventHandler
0x000111B0	atExecuteScript
0x000111C0	atExecuteScriptWithParam
0x000111E0	atExecuteScriptSetup
0x000111F8	atExecuteScriptBulletToSelf
0x00011218	atExecuteScriptBulletToDestAndRollback
0x00011240	atExecuteScriptBulletToDest
0x00011620	atTransferTherapy
0x00011638	atBanTransferTherapy
0x000116D0	atVitalityToParryValueCof
0x00011708	atVitalityToPhysicsAttackPowerCof
0x000117C0	atVitalityToTherapyPowerCof
0x000117E0	atVitalityToPhysicsShieldCof
0x00011800	atVitalityToDodgeCof
0x00011818	atVitalityToParryCof
0x00011830	atVitalityToMagicShieldCof
0x00011868	atVitalityToPhysicsOverComeCof
0x00011888	atVitalityToMagicOverComeCof
0x000118A8	atVitalityToMagicCriticalStrikeCof
0x00011908	atSpiritToTherapyPowerCof
0x00011928	atSpiritToPhysicsAttackPowerCof
0x000119C8	atSpiritToPhysicsCriticalStrikeCof
0x000119F0	atSpiritToSolarCriticalStrikeCof
0x00011A18	atSpiritToLunarCriticalStrikeCof
0x00011A40	atSpiritToNeutralCriticalStrikeCof
0x00011A68	atSpiritToPoisonCriticalStrikeCof
0x00011A90	atSpiritToPhysicsCriticalDamagePowerCof
0x00011AB8	atSpiritToSolarCriticalDamagePowerCof
0x00011AE0	atSpiritToLunarCriticalDamagePowerCof
0x00011B08	atSpiritToNeutralCriticalDamagePowerCof
0x00011B30	atSpiritToPoisonCriticalDamagePowerCof
0x00011B58	atLunarAttackPowerToTherapyPowerCof
0x00011B80	atTherapyPowerToMagicAttackPowerCof
0x00011BA8	atTherapyPowerToPhysicsAttackPowerCof
0x00011BD0	atNeutralAttackPowerToTherapyPowerCof
0x00011BF8	atPoisonAttackPowerToTherapyPowerCof
0x00011C20	atSpiritToSolarMagicShieldCof
0x00011C40	atSpiritToLunarMagicShieldCof
0x00011C60	atSpiritToNeutralMagicShieldCof
0x00011C80	atSpiritToPoisonMagicShieldCof
0x00011CA0	atSpiritToPoisonOvercomeCof
0x00011CE0	atSpunkToPhysicsAttackPowerCof
0x00011DA8	atSpunkToSolarCriticalStrikeCof
0x00011DC8	atSpunkToSolarCriticalDamagePowerCof
0x00011DF0	atSpunkToSolarAndLunarCriticalStrikeCof
0x00011E18	atSpunkToSolarAndLunarCriticalDamagePowerCof
0x00011E48	atSpunkToPhysicsCriticalStrikeCof
0x00011E70	atSpunkToPhysicsCriticalDamagePowerCof
0x00011E98	atSpunkToNeutralOvercomeCof
0x00011EB8	atSpunkToNeutralCriticalStrikeCof
0x00011EE0	atStrengthToPhysicsCriticalStrikeCof
0x00011F08	atStrengthToPhysicsAttackPowerCof
0x00011F30	atStrengthToPhysicsCriticalDamagePowerCof
0x00011FF0	atStrengthToPhysicsOvercomeCof
0x00012010	atAgilityToPhysicsCriticalStrikeCof
0x00012038	atAgilityToPhysicsCriticalDamagePowerCof
0x00012068	atAgilityToPoisonCriticalStrikeCof
0x00012090	atAgilityToPhysicsAttackPowerCof
0x000120E0	atAgilityToPhysicsOvercomeCof
0x00012100	atAgilityToDodgeCof
0x00012118	atAgilityToParryCof
0x00012130	atAgilityToParryValueCof
0x00012150	atEnableDecriticalDamagePowerConvert
0x000122F0	atCopyEffectiveTherapy
0x00012650	atAllTherapyAddPercent
0x00012668	atAllShieldIgnorePercent
0x000126A8	atDamageToTherapy
0x00012710	atRecoveryShield
0x00012728	atMirrorShield
0x00012738	atAddGlobalAbsorbShieldByParry
0x00012758	atAddGlobalAbsorbShieldByParryValue
0x00012800	atEqualDivisionTeamTherapy
0x00012838	atEqualDivisionTherapy
0x00012958	atSetHitReduceRate
0x00012970	atBuffFunctionDecay
0x000129A8	atAddGlobalAbsorbShieldRecordOnly
0x000129E8	atModifyReflectionPercent
0x00012AB8	atGlobalDamageFactor
0x00012AE8	atDecayVelocity
0x00012AF8	atPreDieExecuteScript
0x00012B10	atShieldTransfer
0x00012B58	atBlockLongRange
0x00012B80	atAddGlobalAbsorbShieldRecordGoodOnly
0x00012BA8	atAddGlobalAbsorbShieldRecordEvilOnly
0x00012BF8	atAddGlobalAbsorbShieldRecordTherapyOnly
0x00012C50	atDashBlock
0x00012C98	atMagicShieldToAttackPowerCof
0x00012CB8	atPhysicsShieldToAttackPowerCof
0x00012CD8	atGlobalDamageFixedAdd
0x00012CF0	atAssistedPowerExtAdd
0x00012D08	atAllShieldIgnoreAdd
0x00012D58	atDamageAbsorbShieldCoefficient
0x00012E28	atResistCriticalStrikeRate
0x00012EA8	atPVXAllRound
0x00012F10	atValidBlockRange
0x00012F38	atTherapyPVXAllRound
0x00012F80	atUnlimitCriticalDamagePowerKiloNumRate
0x00012FC0	atLockTransTherapy
0x00013000	atSkillTherapyFinalCof
0x00013038	atActivityTherapyFinalCof
0x00013078	atGamePlayTherapyFinalCof
0x00013098	atAddGlobalAbsorbShieldRecordTherapyOnlyBySelfMaxLife
0x000130D0	atAddGlobalAbsorbShieldRecordOnlyBySelfMaxLife
0x00013118	atMagicDamageAbsorb
0x00013198	atAgilityToLunarCriticalStrikeCof
0x000131E0	atAgilityToLunarOvercomeCof
0x00013218	atNoAdaptPhysicsAttackPowerBase
0x00013238	atNoAdaptPhysicsCriticalStrikeBase
0x00013260	atNoAdaptPhysicsCriticalDamagePowerBase
0x00013288	atNoAdaptPhysicsOvercomeBase
