script	school	min_range_chi	max_range_chi	area_radius_chi	angle_deg	rect_width_chi	protect_radius_chi	targets
npc\副本BOSS\刀轮海厅\剑破伤害.lua	npc	0	60	5	180	0	0	100(raw)
npc\副本BOSS\刀轮海厅\屠龙六式伤害120面向.lua	npc	0	20	10	120.938	0	0	100(raw)
npc\副本BOSS\刀轮海厅\屠龙六式打击二击退.lua	npc	0	10	10	180	0	0	1(raw)
npc\副本BOSS\剑胆琴心世界boss\独孤修\白蔷忘川_180度AOE.lua	npc	0	30	30	180	0	0	120(raw)
npc\副本BOSS\历战异闻录\摩提耶罗\寂灭厅_3号BOSS_摩提耶罗_拿云式.lua	npc	0	4	6	180			25(raw)
npc\副本BOSS\历战异闻录\摩提耶罗\寂灭厅_3号BOSS_摩提耶罗_拿云式_低血量.lua	npc	0	4	6	180			25(raw)
npc\副本BOSS\历战异闻录\摩提耶罗\寂灭厅_3号BOSS_摩提耶罗_捉影式.lua	npc	0	40	6	180			5(raw)
npc\副本BOSS\历战异闻录\摩提耶罗\寂灭厅_小怪_七秀弟子_剑主天地.lua	npc	0	20	6	180			5(raw)
npc\副本BOSS\历战异闻录\陌香\小怪_剑主天地.lua	npc	0	32	4	180			10(raw)
npc\副本BOSS\唐门密室\毁灭.lua	npc	0	6	6	360			2(raw)
npc\副本BOSS\墨家密殿\墨家密殿_三号_玩家前冲真.lua	npc	0	30	0	360	0	0	2(raw)
npc\副本BOSS\墨家密殿\墨家密殿_三号_玩家右翻真.lua	npc	0	30	0	360	0	0	2(raw)
npc\副本BOSS\墨家密殿\墨家密殿_三号_玩家左翻真.lua	npc	0	30	0	360	0	0	2(raw)
npc\副本BOSS\大明宫\大明宫_剑圣_剑主天地.lua	npc	0	25	0	180	0	0	2(raw)
npc\副本BOSS\大明宫\大明宫_剑圣_徐如林.lua	npc	0	4	0	360	0	0	2(raw)
npc\副本BOSS\天子峰\天子峰_4号BOSS_玄悲_捉影式.lua	npc	0	25	6	360			10(raw)
npc\副本BOSS\天子峰\天子峰_小怪_楚秀弄月弟子、昭秀舞风弟子_剑主天地(DEBUFF).lua	npc	0	32	4	180			10(raw)
npc\副本BOSS\太原之战_逐虎驱狼\安雨_冰球冷雨.lua	npc	0	20	12	360			30(raw)
npc\副本BOSS\寂灭厅\寂灭厅_2号BOSS_剑心_凌太虚.lua	npc	0	4	10	360			10(raw)
npc\副本BOSS\寂灭厅\寂灭厅_3号BOSS_摩提耶罗_拿云式.lua	npc	0	4	6	180			25(raw)
npc\副本BOSS\寂灭厅\寂灭厅_3号BOSS_摩提耶罗_拿云式_低血量.lua	npc	0	4	6	180			25(raw)
npc\副本BOSS\寂灭厅\寂灭厅_3号BOSS_摩提耶罗_拿云式_高血量.lua	npc	0	4	6	180			25(raw)
npc\副本BOSS\寂灭厅\寂灭厅_小怪_七秀弟子_剑主天地.lua	npc	0	20	6	180			5(raw)
npc\副本BOSS\恶人谷\毕罗巴_拜火斩起势.lua	npc	0	4					
npc\副本BOSS\新手村改造\道函_捉影式.lua	npc	0	25	10	180			10(raw)
npc\副本BOSS\无量宫\无量宫_多多_斗转星移.lua	npc	0	4	10	360			10(raw)
npc\副本BOSS\无量宫\无量宫_多多_斗转星移_反击.lua	npc	0	40	10	360			25(raw)
npc\副本BOSS\永王行宫_仙侣庭院\1号_屈焰阳\1号_屈焰阳_连斩_伤害.lua	npc	0	4	10	360			1(raw)
npc\副本BOSS\沃石院\1号\1号_击退30尺.lua	npc	0	50	0	360	0	0	1(raw)
npc\副本BOSS\沃石院\1号\1号_大矩形aoe.lua	npc			40	360	20	0	10(raw)
npc\副本BOSS\法王窟\法王窟_智慧王_五蕴皆空.lua	npc	0	99	15	360			5(raw)
npc\副本BOSS\流离岛\流离岛-詹素-小怪旋转.lua	npc	0	10	10	360	0	0	2(raw)
npc\副本BOSS\浩气盟\韩非池_强音.lua	npc	0	10	15	360	0	12	40(raw)
npc\副本BOSS\烛龙殿\巡守普通攻击.lua	npc	0	4	0	180	0	0	2(raw)
npc\副本BOSS\烛龙殿\烛龙殿_万花_商阳指.lua	npc	0	20	8	180			50(raw)
npc\副本BOSS\烛龙殿\烛龙殿_唐门_化血镖.lua	npc	0	20	8	180			50(raw)
npc\副本BOSS\烛龙殿\烛龙殿_天策_破风.lua	npc	0	4	8	180			50(raw)
npc\副本BOSS\狼牙堡_战兽山\无支祁\暗流涌动.lua	npc	0	10	6	360	0	0	250(raw)
npc\副本BOSS\狼牙堡_战兽山\无支祁\绝命深渊.lua	npc	0	60	6	360	0	0	250(raw)
npc\副本BOSS\狼牙堡_狼神殿\6号_靳空明\千钧横扫.lua	npc	0	40	7	180	7	0	-1(raw)
npc\副本BOSS\狼牙堡_狼神殿\6号_靳空明\火狼箭雨.lua	npc	0	30	5	360	3	0	-1(raw)
npc\副本BOSS\狼牙堡_狼神殿\8号_史思明\禁断长生8尺.lua	npc	0	8	8	360		8	-1(raw)
npc\副本BOSS\狼牙堡_辉天堑\周边\潜龙勿用.lua	npc	0	20	10	360	0	0	1(raw)
npc\副本BOSS\白帝江关\7号_宫傲\甘霖子.lua	npc	0	100	100	360	0	0	-1(raw)
npc\副本BOSS\百战异闻录\友方\毛毛_御法八式_剑尾返_实际效果.lua	npc	0	8	8	360	0	0	2(raw)
npc\副本BOSS\百战异闻录\友方\陈月_百花飞星.lua	npc	0	20	20	180	2	0	5(raw)
npc\副本BOSS\百战异闻录\挑战萧武宗\挑战萧武宗_手游玩家使用聂云.lua	npc	0	10		360			1(raw)
npc\副本BOSS\百战异闻录\提多罗吒\提多罗吒_天国镇魂曲·普渡八音.lua	npc	0	200	200	360	0	0	30(raw)
npc\副本BOSS\百战异闻录\提多罗吒\提多罗吒_天国镇魂曲·破静天门.lua	npc	0	200	200	360	0	0	30(raw)
npc\副本BOSS\百战异闻录\罗翼\罗翼_猎犬_低吠_实际作用.lua	npc	0	8	8	360	8	0	50(raw)
npc\副本BOSS\百战异闻录\谢云流\谢云流_凌太虚_循环.lua	npc	0	150	10	360	0	0	30(raw)
npc\副本BOSS\百战异闻录\陆寻\陆寻_乱仇.lua	npc	0	150	150	360	0	0	2(raw)
npc\副本BOSS\神剑冢\唐门橙武_化血镖.lua	npc	0	99	8	360			25(raw)
npc\副本BOSS\神剑冢\幽月乱花_绛唇珠袖.lua	npc	0	20	20	360			25(raw)
npc\副本BOSS\神剑冢\摧城_破风.lua	npc	0	8	0	360			2(raw)
npc\副本BOSS\神剑冢\碧落_商阳指.lua	npc	0	30	0	180			2(raw)
npc\副本BOSS\神剑冢\碧落_商阳指_AOE.lua	npc	0	50	8	360			25(raw)
npc\副本BOSS\神剑冢\鸣雷惊蛰_枯残蛊.lua	npc	0	20	30	360			10(raw)
npc\副本BOSS\英雄天子峰\英雄天子峰_1号boss_谢云流_凌太虚.lua	npc	0	20	10	360			5(raw)
npc\副本BOSS\英雄天子峰\英雄天子峰_2号boss小怪_大锤兵_破风.lua	npc	0	MELEE_ATTACK_DISTANCE	10	180			10(raw)
npc\副本BOSS\英雄天子峰\英雄天子峰_2号boss小怪_盾兵_定军.lua	npc	0	10	10	360			10(raw)
npc\副本BOSS\英雄天子峰\英雄天子峰_4号boss_道衍_拿云式.lua	npc	0	4	10	180			10(raw)
npc\副本BOSS\英雄天子峰\英雄天子峰_4号boss_道衍_拿云式_子技能.lua	npc	0	4	10	180			10(raw)
npc\副本BOSS\英雄天子峰\英雄天子峰_4号boss_道衍_捉影式.lua	npc	0	25	10	180			10(raw)
npc\副本BOSS\英雄天子峰\英雄天子峰_4号boss小怪_七秀小怪_剑主天地.lua	npc	0	32	10	180			10(raw)
npc\副本BOSS\英雄荻花宫\英雄荻花宫_BOSS3_斗转星移.lua	npc	0	5	0	360			5(raw)
npc\副本BOSS\荻花圣殿\荻花圣殿_6号BOSS_将军_定军.lua	npc	0	4	15	180			30(raw)
npc\副本BOSS\荻花宫_BOSS3_斗转星移.lua	npc	0	5	0	360			5(raw)
npc\副本BOSS\血战天策\血战天策-狼牙据点-横扫千军.lua	npc	0	4	0	360	0	0	2(raw)
npc\副本BOSS\血战天策\血战天策_苏曼莎_玩家_剑主天地.lua	npc	0	150	0	360	0	0	2(raw)
npc\副本BOSS\血战天策\血战天策_苏曼莎_玩家_孔雀翎.lua	npc	0	150	10	360	0	0	3(raw)
npc\副本BOSS\达摩洞\1号_血斗士\1号_血斗士盾冲后重击.lua	npc		60		360			
npc\副本BOSS\达摩洞\1号_血斗士\1号_血斗士盾冲过程伤害.lua	npc			4	360			
npc\副本BOSS\雷域大泽\1号_粉尘孢花\1号_小怪_钥匙伤害.lua	npc	0	100	3	360	0	0	-1(raw)
npc\副本BOSS\雷域大泽\1号_粉尘孢花\1号_粉尘孢花_空中击落.lua	npc	0	100	0	360	0	0	-1(raw)
npc\副本BOSS\风雨稻香村\风雨稻香村_小怪_叛军骑兵长_断魂刺(伤害眩晕).lua	npc	8	15	15	19.6875			20(raw)
npc\副本BOSS\风雨稻香村\风雨稻香村_小怪_叛军骑兵长_断魂刺.lua	npc	8	25	6	119.531			10(raw)
npc\少林\五蕴皆空.lua	npc		5, nAngleRange = 256, nPrepareFrames = 0, nBulletVelocity = 0, nBreakRate = 1024},		tSkillData[dwSkillLevel].nAngleRange			
npc\峰值活动\沈剑心弱群攻.lua	npc	0	10	30	360	0	0	25(raw)
npc\峰值活动\皮鞭.lua	npc	0	100	30	360	0	0	1(raw)
npc\干什么\啊\爆炸伤害.lua	npc	0	100	3	360	0	0	-1(raw)
npc\桃园非梦\新手关\挑战3正面扇形180.lua	npc	0	100	8	180	0	10	20(raw)
npc\红衣教\红衣教_横扫千军.lua	npc	0(raw)	6	6	360			5(raw)
npc\门派掌门\万花守卫_商阳指.lua	npc	0	20	20	360	0	0	2(raw)
npc\门派掌门\陆危楼_怖畏暗刑.lua	npc	0	10	15	360			70(raw)
npc\门派掌门\陆危楼_怖畏暗刑实际伤害.lua	npc	0	0	0	360	0	0	2(raw)
npc\门派掌门\陆危楼_缴械AOE伤害.lua	npc	0	6	15	360	0	0	70(raw)
Quest\ACT_100级PQ\通用选取目标_前方扇形_敌方.lua	Quest	0	4	35	150.469	0	0	40(raw)
Quest\ACT_助战NPC\康宴别_捉影式.lua	Quest	0(raw)	20		180			
Quest\ACT_四月洛阳\山狼_追命箭.lua	Quest	0	100	0	360	0	0	2(raw)
Quest\ACT_四月洛阳\陈月_商阳指.lua	Quest	0	30	0	180			2(raw)
Quest\ACT_场景预热\22006完成任务AOE.lua	Quest	0	10	40	360			999(raw)
Quest\ACT_场景预热\雷劈伤害.lua	Quest	0	100	2	360	0	0	2(raw)
Quest\ACT_浪客行\残影嘲讽.lua	Quest	0	20	15	360	0	0	6(raw)
Quest\ACT_浪客行\狼牙_战争践踏.lua	Quest	0	4	8	360	0	0	2(raw)
Quest\ACT_浪客行\狼牙_致死顺劈.lua	Quest	0	4	8	360	4	0	2(raw)
Quest\ACT_浪客行\狼牙_致死顺劈_子技能_伤害与效果.lua	Quest	0	4	8	180	0	0	2(raw)
Quest\ACT_浪客行\玩家_聂云残影.lua	Quest	0	100	0	360	0	0	2(raw)
Quest\ACT_浪客行\词缀_冰封伤害.lua	Quest	0	10	14	360	4	0	- 1
Quest\ACT_浪客行\词缀_火场伤害.lua	Quest	0	10	5	360	0	0	- 1
Quest\ACT_浪客行\词缀_火扇伤害.lua	Quest	0	10	10	90	0	0	- 1
Quest\ACT_浪客行\词缀_雷球伤害.lua	Quest	0	10	15	360	4	0	- 1
Quest\七夕活动_剑主天地.lua	Quest	0(raw)	20		360			
Quest\七秀_傲寒真气.lua	Quest	0(raw)	5		180			
Quest\乱世藏剑阵营日常\天策_渊_动作.lua	Quest	0	30	0	360			2(raw)
Quest\乱世藏剑阵营日常\天策弟子_渊.lua	Quest	6	20	30	360			20(raw)
Quest\乱世藏剑阵营日常\藏剑弟子_自己打自己.lua	Quest	0	20	0	360	0	0	2(raw)
Quest\八旗大蛇_伤害_AOE_10.lua	Quest	0	3	50	360			10(raw)
Quest\凌雪阁任务\陷阱机关伤害.lua	Quest	0	10	2	360	0	0	10(raw)
Quest\唐门_重制\横扫千军.lua	Quest	0	6	6	506.25	0	0	5(raw)
Quest\唐门_重制\横扫千军子技能.lua	Quest	0	6	6	506.25	0	0	5(raw)
Quest\天选者_加盾.lua	Quest	0	99	99	360	0	0	2(raw)
Quest\天选者_龙啸九天.lua	Quest	0	10	10	360	0	0	2(raw)
Quest\林中小村\选人开打.lua	Quest	0	10	30	360	2	0	- 1
Quest\江湖百态\驭兽_九灵_16265.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_九灵_16266.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_哈皮_16220.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_哈皮_16221.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_哈皮_16222.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_哼哼_16249.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_小果_16211.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_小果_16213.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\江湖百态\驭兽_灰狐_16239.lua	Quest	0	4	10	360	0	0	2(raw)
Quest\江湖百态\驭兽_葫芦_16267.lua	Quest	0	4	10	360	0	0	1(raw)
Quest\润扬任务\PQ357_黄七_多点圆形伤害蓄力.lua	Quest	0	200	4	360	0	0	50(raw)
Quest\润扬任务\PQ405_BOSS_持续圆形伤害.lua	Quest	0	200	6	360	0	0	50(raw)
Quest\润扬任务\PQ405_BOSS_放置圆形伤害.lua	Quest	0	200	6	360	0	0	50(raw)
Quest\润扬任务\PQ405_BOSS_放置圆形吟唱.lua	Quest	0	200	6	360	0	0	50(raw)
Quest\润扬任务\PQ405_BOSS_放置矩形伤害.lua	Quest	0	200	16	360	4	0	50(raw)
Quest\润扬任务\PQ405_BOSS_放置矩形吟唱.lua	Quest	0	200	6	360	0	0	50(raw)
Quest\润扬任务\PQ405_BOSS_蓄力圆形伤害.lua	Quest	0	30	30	360	3	0	200(raw)
Quest\润扬任务\PQ405_BOSS_链状表现.lua	Quest	0	150	150	360	0	0	2(raw)
Quest\烂柯山\事件\PQ361BOSS_扇形AOE.lua	Quest	0	30	30	180	4	0	50(raw)
Quest\烂柯山\事件\PQ361BOSS_矩形AOE1号.lua	Quest	0	30	4	360	2	0	50(raw)
Quest\烂柯山\事件\PQ361BOSS_矩形AOE2号.lua	Quest	0	30	12	360	4	0	50(raw)
Quest\烂柯山\事件\PQ361BOSS_矩形AOE3号.lua	Quest	0	30	28	360	10	0	50(raw)
Quest\烂柯山\事件\PQ361BOSS_矩形读条表现.lua	Quest	0	30	30	360	1	0	1(raw)
Quest\烂柯山\事件\PQ395_圆形AOE.lua	Quest	0	30	3	360	4	0	10(raw)
Quest\烂柯山\事件\PQ395_扇形AOE.lua	Quest	0	40	30	119.531	4	0	10(raw)
Quest\烂柯山\事件\PQ395_拉人伤害.lua	Quest	0	40	40	360	4	0	1(raw)
Quest\烂柯山\事件\PQ395_普攻.lua	Quest	0	40	40	360	4	0	1(raw)
Quest\节日冬至\段树_引窍.lua	Quest	0	25	6	360	6	0	1(raw)
Quest\节日冬至\段树_引窍单体伤害.lua	Quest	0	25	6	360	6	0	1(raw)
Quest\节日冬至\段树_引窍范围伤害.lua	Quest	0	25	6	360	0	0	6(raw)
Quest\节日冬至\段树_截阳.lua	Quest	0	25	6	360	6	0	1(raw)
Quest\节日冬至\风眠_无间狱.lua	Quest	0	0	0	360			2(raw)
Quest\节日冬至\风眠_无间狱每跳释放.lua	Quest	0	0	0	360	0	0	2(raw)
Quest\节日冬至\风眠门客信物无间狱.lua	Quest	0	0	0	360	0	0	2(raw)
Quest\苍山洱海_厉天行_定军.lua	Quest	0	8	0	360			2(raw)
Quest\苍山洱海_厉天行_破风.lua	Quest	0	8	0	360			2(raw)
Quest\苍山洱海_小怪破风.lua	Quest	0	8	0	360			2(raw)
Quest\蔷薇列岛\云真_千羽箭.lua	Quest	0	30		360			
Quest\蔷薇列岛\云真_扇形箭.lua	Quest			9	59.0625			
Quest\蔷薇列岛\云真_连珠箭.lua	Quest	0	30		180			
Quest\蔷薇列岛\炸弹AOE.lua	Quest			6	360			1(raw)
Quest\藏剑山庄_乱世\夕照雷锋.lua	Quest	0	20	20	360	2	0	10(raw)
Quest\赛马_以假乱真.lua	Quest	0	4	6	360	0	0	20(raw)
Quest\通用解除击倒.lua	Quest	0	20	0	360			2(raw)
Quest\银霜口\事件\平宵小\PQ428_BOSS_放置圆形预警.lua	Quest	0	200	4	360	0	0	50(raw)
Quest\银霜口\事件\引猪出洞\PQ421_野猪王_圆形AOE.lua	Quest			8				100(raw)
Quest\银霜口\事件\引猪出洞\PQ421_野猪王_圆形AOE_25尺.lua	Quest			25				100(raw)
Quest\银霜口\事件\引猪出洞\PQ421_野猪王_扇形AOE.lua	Quest		25	85	42                       --攻击范围的扇形角度范围			100(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_二连扇形伤害.lua	Quest	0	10	15	90	0	0	200(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_二连扇形预警.lua	Quest	0	10	15	90	0	0	200(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_圆形目标点伤害.lua	Quest	0	200	15	360	0	0	50(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_圆形蓄力击飞.lua	Quest	0	10	20	360	3	0	200(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_圆形通道伤害.lua	Quest	0	30	5	360	0	0	200(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_圆形通道预警.lua	Quest	0	200	4	360	0	0	50(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_普通攻击母技能.lua	Quest	4	40	40	360	0	0	2(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_矩形通道实际伤害.lua	Quest	0	20	10	180	6	0	200(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_矩形通道读条.lua	Quest	0	20	20	360	4	0	200(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_近战攻击.lua	Quest	0	4	4	180	0	0	2(raw)
Quest\银霜口\事件\金色玉石\PQ449_BOSS_远程攻击.lua	Quest	4	40	40	360	0	0	2(raw)
Quest\银霜口\事件\金色玉石\PQ449_小怪_圆形伤害.lua	Quest	0	30	4	360	3	0	50(raw)
Quest\银霜口\月泉宗高级弟子_180度扇形AOE.lua	Quest	0	30	8	180	4	0	20(raw)
Quest\银霜口\武家弟子_180度扇形AOE.lua	Quest	0	30	8	180	4	0	20(raw)
Quest\镜花别院\伞技能伤害.lua	Quest	0	10	1	360	0	0	1(raw)
Quest\镜花别院\佛秀连携_连线高伤害_子技能.lua	Quest	0	100	0	360	0	0	2(raw)
Quest\镜花别院\道具_无敌.lua	Quest	0	100	2	360	2	0	1(raw)
Quest\长安_天策破甲.lua	Quest	0(raw)	4		180			
Quest\长安_纯阳伤害.lua	Quest	0(raw)	4		180			
Quest\霸刀场景\李令霞AOE完成任务.lua	Quest	0	30	30	360	0	0	2(raw)
Quest\黑山林海\技能打任务变量.lua	Quest	0	30	30	360			-1(raw)
Quest\黑山林海\断修_普攻.lua	Quest	0	8	8	59.0625			-1(raw)
Quest\黑山林海\断修_百斩.lua	Quest	0	40	30	360			-1(raw)
Quest\龙门_徐如林.lua	Quest	0	5	0	360			5(raw)
test\四象.lua	test	0	40	0	180	0	0	2(raw)
test\斗转星移_前.lua	test	0	5		360			
test\斗转星移_右.lua	test		4		90			
test\斗转星移_后.lua	test		4		90			
test\斗转星移_左.lua	test		4		90			
七秀\90级奇穴\剑破4层DOT.lua	七秀	0	22	0	360			2(raw)
七秀\90级奇穴\剑舞界面加1格.lua	七秀	0	4	0	360	0	0	2(raw)
七秀\七秀_七诀剑气.lua	七秀	0(raw)	20		180			
七秀\七秀_绛唇珠袖_伤害效果.lua	七秀	0(raw)	5		360			
万灵山庄\万灵山庄_通用换弹延迟.lua	万灵山庄	0	0	0	360	0	0	2(raw)
万灵山庄\山海心诀奇穴套路\万灵09-3兴游_汇灵合契需求唤灵印减一.lua	万灵山庄	0	20	50	360	0	0	2(raw)
万花\90级奇穴\刷新商阳指.lua	万花	0	30	0	180			2(raw)
万花\万花_子技能_傍花随柳_施技定身.lua	万花	0(raw)	20	5	180			5(raw)
万花\万花_子技能_阳明指_花间中性易伤DEBUFF.lua	万花	0	25	6	360			10(raw)
万花\万花_子技能_阳明指_花间刷新傍花随柳.lua	万花	0	25	6	360			10(raw)
万花\子技能_乱洒阳明附带商阳.lua	万花	0	25	0	360			2(raw)
万花\子技能_傍花随柳降低5秒调息时间.lua	万花	0	0	0	360	0	0	2(raw)
万花\子技能_商阳指监控界面处理.lua	万花	0	0	0	360	0	0	2(raw)
万花\子技能_飞白后商阳DOT.lua	万花	0	30	0	180			2(raw)
万花\春泥秘籍hot.lua	万花	0	30	0	360	0	0	2(raw)
丐帮\6395_落水打狗_伤害2.lua	丐帮	0	4	6	360	0	0	5(raw)
丐帮\6396_落水打狗_伤害3.lua	丐帮	0	4	6	360	0	0	5(raw)
丐帮\6396_落水打狗_伤害3_真实伤害.lua	丐帮	0	10	6	360	0	0	5(raw)
丐帮\6397_恶狗拦路_伤害1_真实伤害.lua	丐帮	0	12	8	360	0	0	5(raw)
丐帮\丐帮_狂龙乱舞_伤害1.lua	丐帮	0	8	5	360	0	0	5(raw)
丐帮\丐帮_狂龙乱舞_伤害3.lua	丐帮	0	8	5	360	0	0	5(raw)
丐帮\丐帮_狂龙乱舞_伤害4.lua	丐帮	0	8	5	360	0	0	5(raw)
丐帮\丐帮_狂龙乱舞追加伤害.lua	丐帮	0	5	5	360	0	0	5(raw)
丐帮\丐帮_飞龙在天·四段.lua	丐帮	7	12	0	180	0	0	2(raw)
丐帮\亢龙6.lua	丐帮	0	8	0	140.625	0	0	2(raw)
丐帮\凤歌_狂龙乱舞加dot.lua	丐帮	0	20	0	360	0	0	2(raw)
丐帮\烟雨行.lua	丐帮	0	4	0	360	0	0	2(raw)
丐帮\醉拳造成伤害次数判定.lua	丐帮	0	8	25	360	8		5(raw)
丐帮\醉拳造成伤害次数判定2.lua	丐帮	0	8	8	180			10(raw)
丐帮\龙跃DOT溢出伤害.lua	丐帮	0	40	40	360			1(raw)
世界规则\无仇恨技能通用添加第一击.lua	世界规则	0	0	0	360	0	0	2(raw)
五毒\90级奇穴\五毒_毒经_夺命蛊对队友.lua	五毒	0	0	0	360	0	0	2(raw)
五毒\90级奇穴\五毒_毒经_枯残蛊对队友.lua	五毒	0	0	0	360	0	0	2(raw)
五毒\90级奇穴\篾片蛊通用触发入口.lua	五毒	0	0	0	360	0	0	2(raw)
五毒\五毒_夺命蛊_对友方.lua	五毒	0	20	6	360			5(raw)
五毒\五毒_夺命蛊_对敌方.lua	五毒	0	30	6	360			5(raw)
五毒\五毒_枯残蛊_对友方.lua	五毒	0	20	6	360			5(raw)
五毒\五毒_枯残蛊_对敌方.lua	五毒	0	30	6	360			5(raw)
五毒\五毒_毒蛊触发_蝎心夺命.lua	五毒	0	30	0	360			2(raw)
五毒\五毒_毒蛊触发_蝎心枯残.lua	五毒	0	30	0	360			2(raw)
五毒\五毒_毒蛊触发_蝎心迷心.lua	五毒	0	30	0	360			2(raw)
五毒\五毒_迷心蛊_对友方.lua	五毒	0	20	6	360			5(raw)
五毒\五毒_迷心蛊_对敌方.lua	五毒	0	30	6	360			5(raw)
五毒\毒经小附魔.lua	五毒	0	0	0	360	0	0	2(raw)
五毒\百足被击.lua	五毒	0	0	0	360	0	0	2(raw)
八荒衡鉴\肉鸽门派技能\万花_1段实际效果.lua	八荒衡鉴	0	15	14.5	360	6	0	20(raw)
八荒衡鉴\肉鸽门派技能\万花二段子弹表现.lua	八荒衡鉴	0	30	30	360	4	0	1(raw)
八荒衡鉴\肉鸽门派技能\世界技能_凝夜.lua	八荒衡鉴	0	20	20	360			-1(raw)
八荒衡鉴\肉鸽门派技能\世界技能_坠日_伤害范围判定.lua	八荒衡鉴	0	8	8	360	0	0	1(raw)
八荒衡鉴\肉鸽门派技能\世界技能_坠日_落实实际伤害.lua	八荒衡鉴	0	8	8	360			-1(raw)
八荒衡鉴\肉鸽门派技能\世界技能_坠日实际运功效果.lua	八荒衡鉴	0	8	8	360			-1(raw)
八荒衡鉴\肉鸽门派技能\世界技能_百川.lua	八荒衡鉴	0	20	20	360			35(raw)
八荒衡鉴\肉鸽门派技能\世界技能_百川自身判定.lua	八荒衡鉴	0	0	0	360	0	0	2(raw)
八荒衡鉴\肉鸽门派技能\八荒衡鉴_静止状态增益2.lua	八荒衡鉴	0	0	0	360	0	0	2(raw)
八荒衡鉴\肉鸽门派技能\天策_1段实际效果.lua	八荒衡鉴	0	20	17	360	8	0	20(raw)
八荒衡鉴\肉鸽门派技能\天策_2段终点额外伤害.lua	八荒衡鉴	0	20	8	360	6	0	20(raw)
八荒衡鉴\肉鸽门派技能\特殊技能_月.lua	八荒衡鉴	0	12	10	360	0	0	30(raw)
八荒衡鉴\肉鸽门派技能\特殊技能_闪.lua	八荒衡鉴	0	12	12	360			-1(raw)
八荒衡鉴\肉鸽门派技能\藏剑_4段母技能.lua	八荒衡鉴	0	6	6	360			10(raw)
八荒衡鉴\肉鸽门派技能\被动会心效果.lua	八荒衡鉴	0	0	0	360	0	0	2(raw)
八荒衡鉴\肉鸽门派技能\被动技能_A技能概率追加伤害.lua	八荒衡鉴	0	0	0	360	0	0	2(raw)
