SkillName	SkillID	KindType	FunctionType	BelongKungfu	BelongSchool	IgnoreCamp	MapBanMask	ScriptFile	Design_Effect
秦皇陵_安禄山_战场绞肉机	8731	Physics	Normal	10310	12	0	0	npc/副本BOSS/秦皇陵/秦皇陵_安禄山_战场绞肉机.lua	直接伤害技能
据点羿卫普通攻击	8839	NeutralMagic	Damage	10311	13	0	0	Quest\逐鹿中原\据点羿卫普通攻击.lua	直接伤害技能
攻防战	10211	Physics	Normal	0	13		0	Default.lua	直接伤害技能
竞技场任务	10231	Physics	Normal	0	13		0	Default.lua	直接伤害技能
逐鹿中原据点争夺战	10311	Physics	Normal	0	13	0	0	Default.lua	直接伤害技能
战场任务	10502	Physics	Normal	0	13	0	0	Default.lua	直接伤害技能
体验战场机器人	10515	Physics	Normal	0	12	0	0	Default.lua	直接伤害技能
阵营祭天	10527	Physics	Normal	0	12	0	0	Default.lua	直接伤害技能
竞技场障碍破坏	10551	Physics	Normal	0	12	0	0	Default.lua	直接伤害技能
攻防boss前置	10554	Physics	Normal	0	12	0	0	Default.lua	直接伤害技能
经首道源岛阵营日常	10556	Physics	Normal	0	13	0	0	Default.lua	直接伤害技能
MOBA战场	10582	Physics	Normal	0	12	0	0	Default.lua	直接伤害技能
蔷薇列岛阵营日常	10600	Physics	Normal	0	13	0	0	Default.lua	直接伤害技能
攻防载具可建造判断	14346	None	Normal	10315	13	0	424	Carrier/攻防载具可建造AOE.lua	直接伤害技能
攻防神机车_转战斗形态	14374	None	Normal	10315	13	0	424	Carrier/攻防神机车_转战斗形态.lua	直接伤害技能
攻防神机车_转移动形态	14375	None	Normal	10315	13	0	424	Carrier/攻防神机车_转移动形态.lua	直接伤害技能
攻防神机车_箭弩连射	14376	None	Normal	10315	13	0	504	Carrier/攻防神机车_箭弩连射.lua	直接伤害技能
攻防神机车_箭弩连射子技能	14377	None	Normal	10315	13	0	504	Carrier/攻防神机车_箭弩连射子技能.lua	直接伤害技能
攻防神机车_燃火箭	14378	None	Normal	10315	13	0	504	Carrier/攻防神机车_燃火箭.lua	直接伤害技能
攻防神机车_燃火箭子技能低伤	14379	None	Damage	10315	13	0	504	Carrier/攻防神机车_燃火箭子技能低伤.lua	直接伤害技能
攻防神机车_过热	14380	None	Normal	10315	13	0	504	Carrier/攻防神机车_过热.lua	直接伤害技能
攻防神机车_过热子技能低伤	14381	None	Damage	10315	13	0	504	Carrier/攻防神机车_过热子技能低伤.lua	直接伤害技能
攻防神机台_穿心弩	14382	None	Normal	10315	13	0	504	Carrier/攻防神机台_穿心弩.lua	直接伤害技能
攻防神机台_穿心弩子技能	14383	None	Normal	10315	13	0	504	Carrier/攻防神机台_穿心弩子技能.lua	直接伤害技能
攻防神机台_扫射	14387	None	Normal	10315	13	0	504	Carrier/攻防神机台_扫射.lua	直接伤害技能
攻防神机台_扫射子技能低伤	14388	None	Damage	10315	13	0	504	Carrier/攻防神机台_扫射子技能低伤.lua	直接伤害技能
攻防神机台_扫射子技能高伤	14404	None	Damage	10315	13	0	504	Carrier/攻防神机台_扫射子技能高伤.lua	直接伤害技能
攻防神机车_箭弩连射子技能低伤	14475	None	Normal	10315	13	0	504	Carrier/攻防神机车_箭弩连射子技能低伤.lua	直接伤害技能
攻防神机车_箭弩连射子技能高伤	14476	None	Normal	10315	13	0	504	Carrier/攻防神机车_箭弩连射子技能高伤.lua	直接伤害技能
攻防神机车_燃火箭子技能高伤	14477	None	Damage	10315	13	0	504	Carrier/攻防神机车_燃火箭子技能高伤.lua	直接伤害技能
攻防神机车_过热子技能高伤	14478	None	Damage	10315	13	0	504	Carrier/攻防神机车_过热子技能高伤.lua	直接伤害技能
攻防神机台_穿心弩子技能低伤	14479	None	Normal	10315	13	0	504	Carrier/攻防神机台_穿心弩子技能低伤.lua	直接伤害技能
攻防神机台_穿心弩子技能高伤	14480	None	Normal	10315	13	0	504	Carrier/攻防神机台_穿心弩子技能高伤.lua	直接伤害技能
攻防神机台_穿心弩子技能低火伤	14481	None	Normal	10315	13	0	504	Carrier/攻防神机台_穿心弩子技能低火伤.lua	直接伤害技能
攻防神机台_穿心弩子技能高火伤	14483	None	Normal	10315	13	0	504	Carrier/攻防神机台_穿心弩子技能高火伤.lua	直接伤害技能
攻防神机台_扫射子技能低火伤	14484	None	Damage	10315	13	0	504	Carrier/攻防神机台_扫射子技能低火伤.lua	直接伤害技能
攻防神机台_扫射子技能高火伤	14485	None	Damage	10315	13	0	504	Carrier/攻防神机台_扫射子技能高火伤.lua	直接伤害技能
地刺	14558	Physics	Normal	10455	12	0	0	npc\战场\齐物阁_地刺.lua	直接伤害技能
落石aoe	14559	Physics	Normal	10455	12	0	0	npc\战场\齐物阁_落石.lua	直接伤害技能
龙卷风	14560	Physics	Normal	10455	12	0	0	npc\战场\齐物阁_龙卷风.lua	直接伤害技能
龙卷风拉人	14562	Physics	Normal	10455	12	0	0	npc\战场\齐物阁_龙卷风拉人.lua	直接伤害技能
攻防神机雷	14564	None	Normal	10315	13	0	424	Carrier/攻防神机雷.lua	直接伤害技能
攻防神机雷子技能低伤	14565	None	Normal	10315	13	0	0	Carrier/攻防神机雷子技能低伤.lua	直接伤害技能
攻防神机雷子技能高伤	14566	None	Normal	10315	13	0	0	Carrier/攻防神机雷子技能高伤.lua	直接伤害技能
火焰	14567	SolarMagic	Normal	10455	12	0	0	npc\战场\齐物阁_火焰.lua	直接伤害技能
攻防摧城车_转战斗形态	14682	None	Normal	10315	13	0	0	Carrier\攻防摧城车_转战斗状态.lua	直接伤害技能
攻防摧城车_转移动形态	14683	None	Normal	10315	13	0	0	Carrier\攻防摧城车_转移动状态.lua	直接伤害技能
攻防摧城车_投石	14684	None	Normal	10315	13	0	0	Carrier\攻防摧城车_投石.lua	直接伤害技能
攻防摧城车_裂火石	14685	None	Normal	10315	13	0	0	Carrier\攻防摧城车_裂火石.lua	直接伤害技能
攻防摧城车_冲撞	14686	None	Normal	10315	13	0	0	Carrier\攻防摧城车_冲撞.lua	直接伤害技能
攻防摧城车_投石子技能	14687	None	Normal	10315	13	0	0	Carrier\攻防摧城车_投石子技能.lua	直接伤害技能
攻防摧城车_投石子技能高伤	14688	None	Normal	10315	13	0	0	Carrier\攻防摧城车_投石子技能高伤.lua	直接伤害技能
攻防摧城车_冲撞子技能	14689	None	Normal	10315	13	0	0	Carrier\攻防摧城车_冲撞子技能.lua	直接伤害技能
攻防摧城车_冲撞子技能高伤	14690	None	Normal	10315	13	0	0	Carrier\攻防摧城车_冲撞子技能高伤.lua	直接伤害技能
攻防摧城车_裂火石子技能	14691	None	Normal	10315	13	0	0	Carrier\攻防摧城车_裂火石子技能.lua	直接伤害技能
攻防摧城车_裂火石子技能高伤	14692	None	Normal	10315	13	0	0	Carrier\攻防摧城车_裂火石子技能高伤.lua	直接伤害技能
攻防神机车_十矢俱发	14786	None	Normal	10315	13	0	504	Carrier\攻防神机车_十矢俱发.lua	直接伤害技能
攻防神机车_十矢俱发子技能	14787	None	Normal	10315	13	0	504	Carrier/攻防神机车_十矢俱发子技能.lua	直接伤害技能
攻防神机车_十矢俱发子技能低伤	14788	None	Normal	10315	13	0	504	Carrier/攻防神机车_十矢俱发子技能低伤.lua	直接伤害技能
攻防神机车_十矢俱发子技能高伤	14789	None	Normal	10315	13	0	504	Carrier/攻防神机车_十矢俱发子技能高伤.lua	直接伤害技能
攻防载具建造中假读条	14901	None	Normal	10315	13	0	0	Carrier/攻防载具建造中假读条.lua	直接伤害技能
攻防神机台_火油箭	14978	None	Normal	10315	13	0	504	Carrier/攻防神机台_火油箭.lua	直接伤害技能
攻防神机台_火油箭子技能低伤	14980	None	Normal	10315	13	0	504	Carrier/攻防神机台_火油箭子技能低伤.lua	直接伤害技能
攻防神机台_火油箭子技能高伤	14981	None	Normal	10315	13	0	504	Carrier/攻防神机台_火油箭子技能高伤.lua	直接伤害技能
攻防摧城车_石爆	14982	None	Normal	10315	13	0	0	Carrier\攻防摧城车_石爆.lua	直接伤害技能
攻防摧城车_石爆子技能低伤	14983	None	Normal	10315	13	0	0	Carrier\攻防摧城车_石爆子技能低伤.lua	直接伤害技能
攻防摧城车_石爆子技能高伤	14984	None	Normal	10315	13	0	0	Carrier\攻防摧城车_石爆子技能高伤.lua	直接伤害技能
95级阵营-黑戈壁矿车AOE	15038	Physics	Normal	10133	12	0	0	npc/副本BOSS/浩气盟/95级阵营_黑戈壁矿车AOE.lua	直接伤害技能
攻防箭塔死亡范围加成就	15159	None	Normal	10315	13	0	0	Carrier/攻防箭塔死亡范围加成就.lua	直接伤害技能
名剑山庄挑战npc完成aoe	17491	Physics	Normal	10158	13	0	0	Quest/藏剑重置/名剑山庄挑战npc完成aoe.lua	直接伤害技能
天策_龙牙	18389	Physics	Damage	10515	12			npc/体验战场机器人/天策_龙牙.lua	直接伤害技能
天策_战八方	18390	Physics	Damage	10515	12			npc/体验战场机器人/天策_战八方.lua	直接伤害技能
天策_穿云	18391	Physics	Damage	10515	12			npc/体验战场机器人/天策_穿云.lua	直接伤害技能
天策_突	18392	Physics	Damage	10515	12			npc/体验战场机器人/天策_突.lua	直接伤害技能
少林_摩柯无量	18395	SolarMagic	Damage	10515	12			npc/体验战场机器人/少林_摩柯无量.lua	直接伤害技能
少林_横扫六合	18396	SolarMagic	Damage	10515	12			npc/体验战场机器人/少林_横扫六合.lua	直接伤害技能
少林_捉影	18397	SolarMagic	Damage	10515	12			npc/体验战场机器人/少林_捉影.lua	直接伤害技能
少林_韦陀献杵	18398	SolarMagic	Damage	10515	12			npc/体验战场机器人/少林_韦陀献杵.lua	直接伤害技能
七秀_江海凝光	18399	LunarMagic	Damage	10515	12			npc/体验战场机器人/七秀_江海凝光.lua	直接伤害技能
七秀_剑气长江	18400	LunarMagic	Damage	10515	12			npc/体验战场机器人/七秀_剑气长江.lua	直接伤害技能
七秀_帝骖龙翔	18401	LunarMagic	Damage	10515	12			npc/体验战场机器人/七秀_帝骖龙翔.lua	直接伤害技能
七秀_玳弦急曲	18402	LunarMagic	Normal	10515	12	0	0	npc/体验战场机器人/七秀_玳弦急曲.lua	直接伤害技能
万花_阳明指	18403	NeutralMagic	Damage	10515	12			npc/体验战场机器人/万花_阳明指.lua	直接伤害技能
万花_商阳指	18404	NeutralMagic	Damage	10515	12			npc/体验战场机器人/万花_商阳指.lua	直接伤害技能
万花_快雪时晴	18405	NeutralMagic	Normal	10515	12	0	0	npc/体验战场机器人/万花_快雪时晴.lua	直接伤害技能
万花_芙蓉并蒂	18406	NeutralMagic	Damage	10515	12			npc/体验战场机器人/万花_芙蓉并蒂.lua	直接伤害技能
纯阳_四象轮回	18407	NeutralMagic	Damage	10515	12			npc/体验战场机器人/纯阳_四象轮回.lua	直接伤害技能
纯阳_两仪化形	18408	NeutralMagic	Damage	10515	12			npc/体验战场机器人/纯阳_两仪化形.lua	直接伤害技能
纯阳_六合独尊	18409	NeutralMagic	Damage	10515	12			npc/体验战场机器人/纯阳_六合独尊.lua	直接伤害技能
纯阳_太极无极	18410	NeutralMagic	Damage	10515	12			npc/体验战场机器人/纯阳_太极无极.lua	直接伤害技能
唐门_夺魄箭	18453	Physics	Damage	10515	12			npc/体验战场机器人/唐门_夺魄箭.lua	直接伤害技能
唐门_追命箭	18454	Physics	Damage	10515	12			npc/体验战场机器人/唐门_追命箭.lua	直接伤害技能
唐门_孔雀翎	18455	Physics	Damage	10515	12			npc/体验战场机器人/唐门_孔雀翎.lua	直接伤害技能
苍云_撼地	18456	Physics	Damage	10515	12			npc/体验战场机器人/苍云_撼地.lua	直接伤害技能
苍云_绝刀	18457	Physics	Damage	10515	12			npc/体验战场机器人/苍云_绝刀.lua	直接伤害技能
苍云_盾舞	18458	Physics	Damage	10515	12			npc/体验战场机器人/苍云_盾舞.lua	直接伤害技能
明教_银月斩	18459	LunarMagic	Damage	10515	12			npc/体验战场机器人/明教_银月斩.lua	直接伤害技能
明教_烈日斩	18460	SolarMagic	Damage	10515	12			npc/体验战场机器人/明教_烈日斩.lua	直接伤害技能
明教_净世破魔击	18461	SolarMagic	Damage	10515	12			npc/体验战场机器人/明教_净世破魔击.lua	直接伤害技能
纯阳_生太极	18469	NeutralMagic	Normal	10515	12			npc/体验战场机器人/纯阳_生太极.lua	直接伤害技能
生太极AOE减速	18472	NeutralMagic	Normal	10515	12	0	0	npc/体验战场机器人/生太极AOE减速.lua	直接伤害技能
轻功_聂云	18473	Leap	Fly	10515	12		264	npc/体验战场机器人/轻功_聂云.lua	轻功
轻功_后跳	18474	Leap	Fly	10515	12		264	npc/体验战场机器人/轻功_后跳.lua	轻功
长歌_宫	18512	LunarMagic	Damage	10515	12			npc/体验战场机器人/长歌_宫.lua	直接伤害技能
长歌_商	18513	LunarMagic	Damage	10515	12			npc/体验战场机器人/长歌_商.lua	直接伤害技能
长歌_音域	18514	LunarMagic	Normal	10515	12			npc/体验战场机器人/长歌_音域.lua	直接伤害技能
音域减伤	18515	LunarMagic	Normal	10515	12	0	0	npc/体验战场机器人/音域减伤.lua	直接伤害技能
青竹书院房子倒塌击飞	20069	Physics	Normal	10551	12	0	0	Quest/竞技场障碍破坏/青竹书院房屋倒塌击飞.lua	直接伤害技能
丐帮_蜀犬吠日	20111	Physics	Damage	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_蜀犬吠日.lua	直接伤害技能
丐帮_蜀犬吠日戳	20112	Physics	Damage	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_蜀犬吠日戳.lua	直接伤害技能
丐帮_蜀犬吠日伤害	20114	Physics	Damage	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_蜀犬吠日伤害.lua	直接伤害技能
丐帮_亢龙有悔	20122	Physics	Damage	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_亢龙有悔.lua	直接伤害技能
丐帮_亢龙DOT	20123	Physics	Damage	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_亢龙DOT.lua	直接伤害技能
丐帮_亢龙叠加DOT	20124	Physics	Damage	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_亢龙叠加DOT.lua	直接伤害技能
丐帮_时乘六龙	20136	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_时乘六龙.lua	直接伤害技能
丐帮_时乘六龙伤害	20137	Physics	Damage	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮_时乘六龙伤害.lua	直接伤害技能
投石车投石	20158	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/投石车投石.lua	直接伤害技能
月弄痕_刀墙	20162	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/月弄痕_刀墙.lua	直接伤害技能
爆炸	20170	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/投石车石头爆炸.lua	直接伤害技能
千机变_毒刹	20171	Poison	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/千机变_毒刹.lua	直接伤害技能
千机变_连弩	20179	Poison	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/千机变_连弩.lua	直接伤害技能
张桎辕_生太极	20180	NeutralMagic	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/张桎辕_生太极.lua	直接伤害技能
玩家被击溅射状态机	20181	Physics	Normal	10551	12	0	0	Quest/竞技场障碍破坏/玩家被击溅射AOE.lua	直接伤害技能
张桎辕_飞剑	20188	NeutralMagic	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/张桎辕_飞剑.lua	直接伤害技能
释放爆弹矿车	20198	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/释放爆弹矿车.lua	直接伤害技能
爆弹矿车检测周围人数	20199	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/爆弹矿车检测人数AOE.lua	直接伤害技能
爆弹矿车爆炸	20201	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/爆弹矿车爆炸.lua	直接伤害技能
爆炸	20215	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/爆炸伤害.lua	直接伤害技能
丐帮_酒中仙	20218	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/丐帮弟子_酒中仙.lua	直接伤害技能
可人_剑气伤害	20242	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/可人_剑气伤害.lua	直接伤害技能
可人_剑意落石	20248	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/可人_剑意落石.lua	直接伤害技能
可人_剑意落石子技能	20254	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/可人_剑意落石子技能.lua	直接伤害技能
月弄痕_刀墙障碍	20270	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/月弄痕_刀墙障碍.lua	直接伤害技能
月弄痕_删除障碍	20272	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/月弄痕_删除障碍.lua	直接伤害技能
明教_净世破魔击_日	20325	SolarMagic	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/明教_净世破魔击_日.lua	直接伤害技能
明教_净世破魔击_月	20378	LunarMagic	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/明教_净世破魔击_月.lua	直接伤害技能
极乐引	20380	SolarMagic	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/明教_极乐引.lua	直接伤害技能
海龟_喷水	20406	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/海龟喷水.lua	直接伤害技能
海龟_拍地	20407	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/海龟拍地.lua	直接伤害技能
海龟_旋转	20408	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/海龟旋转.lua	直接伤害技能
海龟_旋转伤害	20412	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/海龟旋转伤害.lua	直接伤害技能
海龟_狂躁	20423	Physics	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/海龟狂躁.lua	直接伤害技能
肖药儿_环纹赤蛇爆炸	20432	Poison	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/肖药儿_环纹赤蛇爆炸.lua	直接伤害技能
肖药儿_细鳞蜥爆炸	20433	Poison	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/肖药儿_细鳞蜥爆炸.lua	直接伤害技能
肖药儿_食腐鸟虚弱	20436	Poison	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/肖药儿_食腐鸟虚弱.lua	直接伤害技能
米丽古丽_极乐引	20448	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/米丽古丽_极乐引.lua	直接伤害技能
黑无常_判-喋血	20458	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/黑无常_判-喋血.lua	直接伤害技能
黑无常_判-嗜血	20462	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/黑无常_判-嗜血.lua	直接伤害技能
白无常_判-散魄	20463	SolarMagic	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/白无常_判-散魄.lua	直接伤害技能
白无常_判-招魂	20464	SolarMagic	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/白无常_判-招魂.lua	直接伤害技能
机甲人_暗器内圈	20470	Poison	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/机甲人_暗器内圈.lua	直接伤害技能
机甲人_飓风	20472	Poison	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/机甲人_飓风.lua	直接伤害技能
米丽古丽_链状表现	20526	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/米丽古丽_链状表现.lua	直接伤害技能
黑白无常球AOE	20682	Physics	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/黑白无常球AOE.lua	直接伤害技能
召唤_可人	20731	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_可人.lua	直接伤害技能
通用_召唤boss增益	20766	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/通用_召唤增益.lua	直接伤害技能
投掷蓝晶髓	20775	LunarMagic	Normal	10556	13	0	0	Quest/经首道源岛阵营日常/投掷蓝晶髓.lua	直接伤害技能
蓝晶髓AOE	20776	None	Damage	10556	13	0	0	Quest/经首道源岛阵营日常/蓝晶髓AOE.lua	直接伤害技能
蓝晶髓AOE2	20777	None	Damage	10556	13	0	0	Quest/经首道源岛阵营日常/蓝晶髓AOE2.lua	直接伤害技能
通用_召唤boss增益防守方版	20783	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/通用_召唤增益防守方版.lua	直接伤害技能
召唤_月弄痕	20791	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_月弄痕.lua	直接伤害技能
召唤_张桎辕	20792	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_张桎辕.lua	直接伤害技能
召唤_司空仲平	20794	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_司空仲平.lua	直接伤害技能
召唤_影	20795	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_影.lua	直接伤害技能
召唤_莫雨	20796	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_莫雨.lua	直接伤害技能
召唤_肖药儿	20797	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_肖药儿.lua	直接伤害技能
召唤_米丽古丽	20798	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_米丽古丽.lua	直接伤害技能
召唤_陶寒亭	20799	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_陶寒亭.lua	直接伤害技能
召唤_烟	20800	None	Normal	10554	12	0	0	npc/副本BOSS/攻防boss前置/召唤_烟.lua	直接伤害技能
