SerialID	Desc	Phase_A_AniID	Phase_B_AniID	Phase_C_AniID	Haste
11385	金蛇伞开伞	1385			
11386	金蛇伞关伞	1386			
11387	吹完整曲目的笛子	1387			
11388	春哥伞开	1388			
11389	春哥伞关	1389			
11404	寒月耀	1404			
11412	生死劫月	1412			
11461	明教轻功播动作用	1461			
11468	明教轻功播动作用	1468			
11469	青竹白玉索（套马杆）	1469			
11470	明教带兜帽动作	1470			
11471	明教摘兜帽动作	1471			
11475	屠杀模式开启	1475			
11476	屠杀模式关闭	1476			
11479	木马	1479			
11480	开伞_白	1480			
11481	收伞_白	1481			
11482	开伞_紫	1480			
11483	收伞_紫	1481			
11484	拉二胡	1484			
11485	主角读书动作_循环	1391			
11999	站立处决	1999			
12100	南诏皇宫_战斗待机	2100			
12101	南诏皇宫_攻击	2101			
12102	南诏皇宫_侧闪	2102			
12103	南诏皇宫_下落缓冲	2103			
12104	南诏皇宫_被抓挣扎	2104			
12105	南诏皇宫_释放绳索	2105	2100		
12106	南诏皇宫_格挡缓冲	2106	2107		
12107	南诏皇宫_被抓准备	2107			
12108	南诏皇宫_被击	2108	2103		
12109	南诏皇宫_刺杀1	2109	2110		
12110	南诏皇宫_刺杀2	2110			
12111	南诏皇宫_刺杀3	2111			
12112	被炸飞	3001			
12113	美女轿子摇篮动作	43009			
12114	老太轿子摇篮动作	40009			
12122	丐帮_拔狗朝天	2114			
12123	丐帮_天下无狗	2123			
12124	丐帮新版特殊武器_龙影击	12031			
12125	唐门天罗新版特殊武器_启动动作	12036			
12126	唐门天罗新版特殊武器_攻击动作	12037			
12127	唐门天罗新版特殊武器_无特效攻击动作	12038			
12128	唐门天罗新版特殊武器_待机动作	12035			
12129	丐帮新版特殊武器_龙影击1	12047			
12130	丐帮新版特殊武器_龙影击2	12048			
12131	丐帮新版特殊武器_龙影击3	12049			
12600	捞鱼01a	12600			
12601	捞鱼01b	12601			
12602	捞鱼01c	12602			
12603	捞鱼01d	12603			
13026	面君入门_跪拜	3026	3027	3028	
13029	打坐释放	3029			
13030	吹萧		3030		
13031	半身眩晕动作		3031		
13032	半身敬酒动作	3032			
13040	砍树		3040		
13041	开伞_月溶	3041			
13042	收伞_月溶	3042			
13065	开伞_舒翎	3065			
13066	收伞_舒翎	3066			
13100	血战天策令狐伤QTE	3100			
13101	血战天策令狐伤QTE	3101			
13102	血战天策令狐伤QTE	3102			
13103	血战天策令狐伤QTE	3103			
13104	血战天策令狐伤QTE	3104			
13105	血战天策令狐伤QTE	3105			
13106	血战天策令狐伤QTE	3106			
13107	血战天策令狐伤QTE	3107			
13108	血战天策令狐伤QTE	3108			
13109	血战天策令狐伤QTE	3109			
13200	抛掷	3200			
13207	被击下马	3207			
13212	主角演奏设定集琴	3212			
13217	主角吃萝卜	3217			
13228	主角演奏五周年琴	3228			
13233	b12cy盾墙01b盾防御	3233			
13234	持续対掌	3234			
13235	对拼后出掌	3235			
13243	b12cy盾墙01b盾防御衔接	3243			
13244	苍云任务击鼓	3244			
13265	演奏马头琴	3265			
13273	手套左01	13273	13274		
13274	手套右01	13275	13276		
13275	手套01	13277	13278		
13276	开伞_夜幕星河	3276			
13277	关伞_夜幕星河	3277			
13278	纱伞用_画画	3278			
13279	纱伞用_调戏	3279			
13280	纱伞用_演奏男笛女琴	3280			
13287	花团锦簇	3287			
13288	刺客装	3288			
13289	素色长裙	3289			
13290	典雅装	3290			
13291	鬼王面具	3291			
13293	闇换年轮	3293			
13294	云间金月	3294			
13295	无色舞	3295			
13296	金陵意气	3296			
13297	金璐凰音	3297			
13298	开伞_鹤梅	3298			
13299	关伞_鹤梅	3299			
13300	鹤梅用_喝酒	3300			
13301	鹤梅用_弹奏	3301			
13305	情人节烟花_交互	3305			
13306	春节烟花_舞烟花棒	3306			
13307	春节烟花_敲锣	3307			
13308	面挂_紧箍咒	3308			
13309	熊猫背挂_吃面	3309			
13331	寒琼_开伞	3331			
13332	寒琼_收伞	3332			
13359	开伞_鹤影	3359			
13360	关伞_鹤影	3360			
13507	下马	3507			
13608	扔鱼	3608			
13609	浇鱼	3609			
13612	喝鱼汤1	3612			
13613	喝鱼汤2	3613			
13614	喝鱼汤3	3614			
13615	喝鱼汤4	3615			
13621	伪装_举	3621			
13623	伪装_蹲	3623			
13957	主角倒地站起	3222			
13958	主角扇无无的折扇	3274			
13959	吹笛子-长相忆	3275			
13960	灭火	13013			
13961	行礼	13011			
13962	刷马	13012			
13963	纯阳攻击动作1	13014			
13964	纯阳攻击动作2	13015			
13965	纯阳攻击动作3	13016			
13966	纯阳攻击动作4	13017			
13967	纯阳攻击动作13	13018			
13968	纯阳攻击动作20	13019			
13969	吃饭动作1	13020			
13970	吃饭动作2	13021			
13971	听课	13022			
13972	长歌预热弹琴1	13023			
13973	长歌预热弹琴2	13024			
13974	长歌预热弹琴3	13025			
13975	苍云刀盾攻击1	2600			
13976	苍云刀盾攻击2	2601			
13977	长歌技能动作1	4037			
13978	长歌技能动作2	4101			
13979	整理衣冠	13026			
13980	书生行礼	13027			
13981	美人靠	13028			
13982	吃鱼骨头	13030			
13983	七秀飞花	561			
13984	儿童节七彩风车	13031			
13985	中秋背挂用_喝酒	166			
13986	中秋背挂用_吹笛	965			
13987	春节场景_龟兹舞蹈	13032			
13988	春节场景_送礼物	13033			
13989	七秀任务_弹琵琶（慎用）	60229			
14071	长歌持武器待机	4071			
14090	长歌剑攻击	4090			
14094	琴坐	4095			
14095	琴坐1	4223			
14096	标女切琴	4095			
14097	标女弹琴	4222			
14098	萝莉女切琴	4021			
14099	萝莉女弹琴	4222			
14100	正太男切琴	4095			
14101	正太男弹琴	4222			
14300	老虎召唤	4300	4301		
14301	老虎待机	4301			
14302	老虎召回	4302			
14303	老虎交互	4303	4301		
14304	外装161花枝ab	4304	4305		
14306	外装161花枝cd	4306	4307		
14308	外装161花枝ef	4308	4309		
14310	外装161花枝g	4310			
14311	外装162长刀ab	4311	4312		
14313	外装162长刀cd	4313	4314		
14315	外装162长刀ef	4315	4316		
14317	外装162长刀g	4317			
14318	外装158_空手舞01_墨01	4318			
15151	丐帮跳起	5151			
15196	唯美雪雪	5196			
15197	刺客雪雪	5197			
15198	主角交互唯美雪雪	5198			
15199	主角交互刺客雪雪	5199			
15323	2018七夕伞_开伞	5323			
15324	2018七夕伞_合伞	5324			
15325	2018曲云传伞_开伞	5325			
15326	2018曲云传伞_合伞	5326			
15329	拿出佩囊女团	5329			
15337	收起佩囊女团	5337			
15369	2018十月售卖吹笛子	5369			
15370	腰挂_相映红	85547			
15371	腰挂_相映红被击	85548			
15372	背挂_石剑溟灵	85571			
15373	背挂_曳影残剑	326373			
15979	外装163酒壶ab	15979	15980		
15981	外装163酒壶cd	15981	15982		
15983	外装163酒壶ef	15983	15984		
15985	外装163酒壶g	15985			
16001	开扇子	6001			
16002	关扇子	6002			
16010	背挂_笙_喜_表现	6010			
16011	背挂_笙_喜_跪坐_进入	6011			
16013	背挂_笙_喜_跪坐_表现	6013			
16014	背挂_笙_喜_跪坐_结束	6014			
16020	背挂_笙_哀_表现	6020			
16021	背挂_笙_哀_跪坐_进入	6021			
16023	背挂_笙_哀_跪坐_表现	6023			
16024	背挂_笙_哀_跪坐_结束	6024			
16025	背挂_笙_喜	6025			
16026	背挂_笙_哀	6026			
16027	腰挂_大师赛助威01	6027			
16028	外装118_空手舞	6028			
16029	外装119_伞舞	6029			
16030	外装119_开伞	6030			
16031	外装119_合伞	6031			
16500	摊手	6500	6501		
16503	外装132_空手舞01	6503			
17000	外装135_空手舞01	17000			
17001	外装134_团扇舞01	17001			
17002	兔子包中秋_持包表现	17002			
17004	兔子包中秋_亮包	17004			
17012	兔子包中秋_收包	17012			
17013	外装134_团扇舞01	17013			
17014	外装134_团扇舞01	17014			
17015	外装134_团扇舞01	17015			
17016	个性走路_进入	17016			
17017	个性走路_待机	17017			
17018	个性走路_行走	17018			
17019	个性走路_结束	17019			
17028	挂件_宫灯_进入	17028			
17029	挂件_宫灯_舞	17029			
17030	花环舞	17030			
17031	空手舞_水莲	17031			
17039	挂件_宫灯_进入_偏色	17039			
17040	挂件_宫灯_舞_偏色	17040			
17041	空手舞_木兰	17041			
17042	双扇舞	17042			
17043	双扇舞_白	17043			
17051	开扇黑	17051			
17052	开扇白	17052			
17060	合扇黑	17060			
17061	合扇白	17061			
17066	空手舞141	17066			
17067	伞舞140	17067			
17075	开伞140	17075			
17076	合伞140	17076			
17077	戴眼镜_左手	17078	17077		
17079	筚篥_开始	17079	17081		
17080	筚篥_结束	17080			
17082	空手舞144	17082			
17083	峨眉刺145	17083			
17086	祈福	17086	17087		
17089	万品龙烛_黑退出	17089			
17090	万品龙烛_黑表现1	17090			
17091	万品龙烛_黑表现2	17091			
17093	万品龙烛_黑进入	17093			
17098	万品龙烛_白退出	17098			
17099	万品龙烛_白表现1	17099			
17100	万品龙烛_白表现2	17100			
17102	万品龙烛_白进入	17102			
17106	红鸟笼出现	17106			
17107	红鸟笼消失	17107			
17114	红鸟笼pst01	17114			
17115	红鸟笼pst02	17115			
17116	紫鸟笼出现	17116			
17117	紫鸟笼消失	17117			
17124	紫鸟笼pst01	17124			
17125	紫鸟笼pst02	17125			
17126	蓝鸟笼出现	17126			
17127	蓝鸟笼消失	17127			
17134	蓝鸟笼pst01	17134			
17135	蓝鸟笼pst02	17135			
17136	粉鸟笼出现	17136			
17137	粉鸟笼消失	17137			
17144	粉鸟笼pst01	17144			
17145	粉鸟笼pst02	17145			
17146	外装167面具紫	17146			
17147	外装167面具银	17147			
17148	拔蛋蛋灯1	7148			
17149	外装168黑	17149			
17150	外装168白	17150			
17151	表情动作_晕倒	17151	17152	17153	
17154	外装芦苇蝴蝶	17154			
17156	拔蛋蛋灯2	7156			
17157	长生梦开始	17155			
17158	长生梦结束	17163			
17159	长生梦表现	17157			
17164	外装181_芙蓉	17164			
17165	外装180_冰刀	17165			
17172	投壶_成功	17172	17174		
17173	投壶_失败	17172	17175		
17174	投壶_愤怒失败	17172	17176		
17175	投壶_结束	17177			
17176	投壶_成功	17178	17180		
17177	投壶_失败	17178	17181		
17178	投壶_愤怒失败	17178	17182		
17179	投壶_结束	17183			
17180	投壶_成功	17184	17186		
17181	投壶_失败	17184	17187		
17182	投壶_愤怒失败	17184	17188		
17183	投壶_结束	17189			
17190	天选金月展示动作	17190	17191		
17192	外装185_ab	17192	17193		
17193	外装185_cd	17194	17195		
17194	外装185_ef	17196	17197		
17195	外装185_g	17198			
17196	外装190持伞开始	17207			
17197	外装190持伞退出	17208	7544		
17198	外装190伞舞表现	17199			
17199	外装190持伞偏色_开始	17217			
17200	外装190持伞偏色_退出	17218	7544		
17201	外装190伞舞偏色_表现	17209			
17217	熊猫拉车_变为固定形态	7217			
17218	熊猫拉车_变为移动形态	7218			
17219	面挂_捧玉团	17219			
17246	外装202彩虹ab	17246	17247		
17248	外装202彩虹cd	17248	17249		
17250	外装202彩虹ef	17250	17251		
17252	外装202彩虹g	17252			
17253	捧花进入	17253			
17255	捧花pst01	17255			
17256	捧花pst02	17256			
17261	捧花退出	17261			
17262	鱼灯开始	17262			
17264	鱼灯表现	17264			
17269	鱼灯结束	17269			
17407	外装154_宫灯_偏色_进入	17407			
17408	外装154_宫灯舞_偏色	17408			
17410	镲退出	17410			
17411	镲pst01	17411			
17412	镲pst02	17412			
17414	镲进入	17414			
17429	166开扇	17429			
17430	166合扇	17430			
17431	166扇舞	17431			
17501	鸭子摊	17501			
17506	弹琵琶	7506	7507		
17508	起身收琵琶	7508			
17509	作揖2	7509			
17510	花篮舞	7510			
17511	浩气助威	7511			
17512	恶人助威	7512			
17514	灯笼舞	7514			
17517	花枝舞	7517			
17518	蓬山归岚_主动	7518			
17527	拔灯笼	7527			
17528	风车舞	7528			
17529	竖琴舞	7529			
17530	踏青C位	7530			
17531	踏青副舞	7531			
17532	长笔演武	7532			
17534	手鼓	7534			
17535	编钟	7535			
17536	腰鼓01	7536			
17537	腰鼓02	7537			
17544	表现切待机用	7544			
17545	空手舞01	7545			
17546	空手舞02	7546			
17547	敦煌琵琶	7547			
17550	七夕扇子舞	7550			
17559	七夕开扇	7559			
17560	七夕合扇	7560			
17561	袖鼓	7561			
17562	砚台	7562			
17563	香炉	7563			
17564	中秋待机	7564			
17565	中秋开始	7565			
17566	中秋表现1	7566			
17567	中秋表现2	7567			
17568	中秋表现3	7568			
17569	中秋灯笼舞	7569			
17577	拔灯笼	7577			
17578	中秋副控表现1	7578			
17579	中秋副控表现2	7579			
17580	中秋副控表现3	7580			
17581	中秋灯笼舞蓝	7581			
17589	拔灯笼蓝	7589			
17590	外装主控喝酒	7590	7591		
17592	外装主控敬酒	7592			
17595	外装副控喝酒	7595	7596		
17599	重阳空手舞	7599			
17600	瓜子包亮包	7600			
17608	瓜子包收包	7608			
17609	瓜子包表现	7609			
17610	瓜子包嗑瓜子开始	7610			
17614	瓜子包嗑瓜子结束	7614			
17622	鸟笼表现1	7622			
17628	鸟笼表现2	7628			
17661	灯笼02pst01	7661			
17662	灯笼02pst02	7662			
17672	拔灯笼	7672			
17679	和服扇子pst01	7679			
17680	和服扇子pst02	7680			
17682	和服包亮包	7682			
17690	和服包收包	7690			
17691	和服包表现	7691			
17692	和服包撒花开始	7692			
17696	和服包撒花结束	7696			
17697	和服包撒花表现	7697			
17698	狐狸面具舞	7698			
17699	扛鼎	7699			
17700	仰卧	7700	7701	7703	
17701	外装165孔雀ab	17502	17503		
17702	外装165孔雀cd	17504	17505		
17703	外装165孔雀ef	17506	17507		
17704	外装165孔雀g	17508			
17708	对饮茶桌	7704			
17711	对饮茶桌喝茶	7707			
17714	眼镜	7714	7715		
17720	响指	7720	7721		
17730	猫爪包亮包	7730			
17731	猫爪包收包	7731			
17732	猫爪包持包表现	7732			
17733	猫爪包撸串开始	7733			
17737	猫爪包撸串结束	7737			
17738	猫爪包撸串表现	7738			
17746	猫爪包亮包2	7746			
17747	猫爪包收包2	7747			
17748	猫爪包持包表现2	7748			
17749	猫爪包撸串开始2	7749			
17753	猫爪包撸串结束2	7753			
17754	猫爪包撸串表现2	7754			
17760	战鼓表现1	7760			
17761	战鼓表现2	7761			
17770	蘑菇开始	7770			
17771	蘑菇结束	7771			
17773	蘑菇表现1	7773			
17774	蘑菇表现2	7774			
17782	七夕帽子	7782	7783		
17784	七夕帽子_收起	7784			
17790	孔雀合扇	17790			
17791	孔雀开扇	17791			
17792	孔雀扇子01	17792			
17794	奇遇挂件弹琴	17794			
18999	蓬山归岚_被动	8999			
19530	踢毽开始	9530			
19534	踢毽表现01	9534			
19535	踢毽表现02	9535			
19536	踢毽表现03	9536			
19537	踢毽结束	9537			
19548	喜羊羊搅屎棍_被扔屎	9548			
19549	灰太狼平底锅_被甩锅	9549			
19570	晕倒	9570	9571		
19572	晕倒爬起	9572			
19573	搬起碎石筐	9573			
19576	放下碎石筐	9576			
19577	萨满舞	9577			
19578	发抖	9578			
19985	冬奥外装动作1	19985			
19986	冬奥外装动作2	19986			
19987	冬奥外装动作3	19987			
19988	冬奥外装动作4	19988			
19989	冬奥外装动作5	19989			
19993	外装142_桃枝	19993			
19994	外装143_空手	19994			
19995	外装156_剑舞	19995			
19996	外装154_宫灯舞	19996			
19997	外装155_空手舞	19997			
19999	武器动画绑tani测试	9999			
20005	外装154_宫灯_进入	20005			
20102	主角站立引导b	102			
20150	循环表情动作1		150		
20164	循环坐凳子		164		
20207	主角打坐		207		
20208	主角打坐站起	208			
20470	骑马嘶叫动作	10470			
20487	外装169开伞1	20487			
20488	外装169合伞1	20488			
20489	外装169伞舞1	20489			
20497	外装169开伞2	20497			
20498	外装169合伞2	20498			
20499	外装169伞舞2	20499			
20901	主角采药		901		
20903	主角铸造动作		903		
20904	主角缝纫		904		
20909	主角搜索		909		
20913	主角挖矿		913		
20922	表情动作_猜拳预备		922		
20926	主角敲棍子动作-循环		926		
20959	柯亭笛消失	20959			
20960	柯亭笛开始	20960	20962		
20961	表情动作_画画		961		
20967	没有声音的主角演奏动作		967		
20970	咸鱼呕吐		10970		
20982	表情动作_画画02		982		
21002	表情动作_空手演武		1002		
21242	稻香谣_Start	21242			
21243	稻香谣_End	21243			
21300	放出气球	21300			
21301	收回气球	21301			
21302	梅雪调亮包	326364			
21303	梅雪调收包	326372			
21304	梅雪调表现（占坑）	7609			
21308	表情动作_吹火		1308		
21312	都塔尔pst01ab	21312	21313		
21314	都塔尔pst01c	21314			
21315	都塔尔pst02ab	21315	21316		
21317	都塔尔pst02c	21317			
21318	外装159_蜻蜓	21318			
21319	外装172_陀螺ab	21319	21320		
21321	外装172_陀螺cd	21321	21322		
21323	外装172_陀螺eg	21323	21325		
21324	外装172_陀螺fd	21324	21322		
21326	外装172_陀螺h	21326			
21327	外装178_熊熊01a	21327	21328		
21329	外装178_熊熊01c	21329			
21330	外装178_熊熊02	21330	21328		
21331	外装219_兔兔01a	21331	21332		
21333	外装219_兔兔01c	21333			
21334	外装219_兔兔02	21334	21332		
22000	1014眼镜	22000	22001		
22002	马札start	22002	22003		
22003	马扎待机	22003			
22004	马札吃瓜	22004	22003		
22005	马札嗑瓜子	22005	22003		
22101	团扇退出	22101			
22102	团扇pst01	22102			
22103	团扇pst02	22103			
22105	团扇进入	22105			
22110	团扇退出	22110			
22111	团扇pst01	22111			
22112	团扇pst02	22112			
22114	团扇进入	22114			
22118	双12眼镜	22118	22119		
22123	外装164蝴蝶ab	22123	22124		
22125	外装164蝴蝶cd	22125	22126		
22127	外装164蝴蝶ef	22127	22128		
22129	外装164蝴蝶g	22129			
22130	外装199帽子	22130	22131		
22132	外装200	22132	22133		
22139	芦笛pst01ab	22139	22140		
22141	芦笛pst01c	22141			
22142	芦笛pst02ab	22142	22143		
22144	芦笛pst02c	22144			
22145	外装198_星宿	22145			
22146	眼镜06	22146	22147		
22148	外装204花朝ab	22148	22149		
22150	外装204花朝cd	22150	22151		
22152	外装204花朝ef	22152	22153		
22154	外装204花朝g	22154			
22155	bp动作摇摆	22155	22156		
22157	古琴开始	22157	22159		
22158	古琴结束	22158			
22160	外装古琴	22160			
22161	天选桃花展示动作	22161	22162		
22163	背挂_依牟鲀	22163			
22164	背挂_君子意	22164			
22166	平底锅退出	22166			
22170	平底锅进入	22170			
22175	雪糕棒退出	22175			
22179	雪糕棒进入	22179			
22183	面具_羊村村长	22183			
22184	外装209_箜篌	22184			
22185	外装211冲浪ab	22185	22186		
22187	外装211冲浪cd	22187	22188		
22189	外装211冲浪ef	22189	22190		
22191	外装211冲浪g	22191			
22193	水瓶退出	22193			
22194	水瓶pst01	22194			
22195	水瓶pst02	22195			
22197	水瓶进入	22197			
22208	灯笼3开始	22208			
22209	灯笼3pst01	22209			
22210	主角铸造_单次	2210			
22211	灯笼3pst02	22211			
22212	外装212唐刀ab	22212	22213		
22214	外装212唐刀cd	22214	22215		
22216	外装212唐刀ef	22216	22217		
22218	外装212唐刀g	22218			
22220	烟霞结芳退出	22220			
22221	烟霞结芳pst01	22221			
22224	烟霞结芳进入	22224			
22232	绸扇start	22232			
22234	绸扇pst	22234			
22235	绸扇end	22235			
22236	外装222_荷花	22236			
22237	外装224玫瑰	22237	22238		
22241	外装212弓武ab	22241	22242		
22243	外装212弓武cd	22243	22244		
22245	外装212弓武ef	22245	22246		
22247	外装212弓武g	22247			
22249	横笛退出	22249			
22250	横笛pst02	22250			
22251	横笛pst03	22251			
22253	横笛进入	22253			
22257	雪人start	22257			
22259	雪人pst	22259			
22260	雪人end	22260			
22261	雪球start	22261			
22263	雪球pst	22263			
22264	雪球end	22264			
22265	雪球start	22265			
22267	雪球pst	22267			
22268	雪球end	22268			
22269	外装246金龙ab	22269	22270		
22271	外装246金龙cd	22271	22272		
22273	外装246金龙ef	22273	22274		
22275	外装246金龙g	22275			
22276	金龙伞舞	22276			
22284	金龙开伞	22284			
22285	金龙合伞	22285			
22286	水母佩囊亮包	22286			
22294	水母佩囊收包	22294			
22295	水母佩囊表现	22295			
22296	敲木鱼	22296			
22298	背挂兔子进入	22298			
22300	背挂兔子表现	22300			
22306	背挂兔子退出	22306			
22307	外装241纨素ab	22307	22308		
22309	外装241纨素cd	22309	22310		
22311	外装241纨素ef	22311	22312		
22313	外装241纨素g	22313			
30150	结束特殊动作			150	
31177	猎户召唤01a	31177			
31178	猎户召唤01b	31178			
31179	猎户召唤01c	31179			
32000	摆摊坐下	32000			
32002	摆摊吆喝1	32002			
32003	摆摊吆喝2	32003			
32004	摆摊吆喝3	32004			
32005	歪头	32005	32006		
32008	下棋坐下_黑	32008			
32010	下棋落子_黑	32010			
32011	下棋坐下_白	32011			
