AnimationID	KindID	SheathType	AnimationRatio	AnimationSpeed	IsLoop	AnimationFile	ShadowFile	是否禁止自动转头	IsLookAtCamera(0面朝前方，1跟随焦点，2无视该功能）	PoseState	锁定朝向
56	12	2			0	data\source\player\M1\动作\M1b01qt攻击06.tani			2		
57	12	2			0	Data\source\player\M1\动作\M1b04qi攻击01.tani			2		
58	12	2			0	Data\source\player\M1\动作\M1b04qi攻击02.tani			2		
59	12	2			0	Data\source\player\M1\动作\M1b04gu攻击03.tani			2		
60	12	2			0	Data\source\player\M1\动作\M1b04gu攻击03.tani			2		
61	12	2			0	Data\source\player\M1\动作\M1b03cy攻击01_三柴hd.tani			2		
62	12	2			0	Data\source\player\M1\动作\M1b03cy攻击02_三柴hd.tani			2		
63	12	2			0	Data\source\player\M1\动作\M1b03cy攻击03_三柴hd.tani			2		
64	12	2			0	Data\source\player\M1\动作\M1b05ty攻击01_七秀普攻hd.tani			2		
65	12	2			0	Data\source\player\M1\动作\M1b05ty攻击02_七秀普攻HD.tani			2		
66	13	2			0	Data\source\player\M1\动作\M1b05ty攻击03_七秀普攻HD.tani			2		
67	12	2			0	Data\source\player\M1\动作\M1b01bi攻击01_五毒HD.tani			2		
68	12	2			0	Data\source\player\M1\动作\M1b01bi攻击02_五毒HD.tani			2		
69	12	2			0	Data\source\player\M1\动作\M1b01bi攻击03_五毒HD.tani			2		
70	14	1			0	Data\source\player\M1\动作\M1b01aq攻击21.tani			2		
71	14	1			0	Data\source\player\M1\动作\M1b01aq攻击22.tani			2		
72	14	1			0	Data\source\player\M1\动作\M1b01aq攻击23.tani			2		
73	10	2			0	Data\source\player\M1\动作\M1b01ty被击01.tani					
74	10	2			0	Data\source\player\M1\动作\M1b03ty被击01.tani					
75	10	2			0	Data\source\player\M1\动作\M1b04ty被击01.tani					
76	10	2	0.7		0	Data\source\player\M1\动作\M1b05ty被击01.tani					
77	10	2			0	Data\source\player\M1\动作\M1b01bi被击01.tani					
78	10	2			0	Data\source\player\M1\动作\M1b04ty被击02.tani					
79	10	2			0	Data\source\player\M1\动作\M1b01ty被击01.tani					
80	29	1			1	Data\source\player\M1\动作\M1b02zd眩晕.tani					
81	12	2			0	Data\source\player\M1\动作\m1b04gu攻击01_hd01.tani			2		
82	12	2			0	Data\source\player\M1\动作\m1ssl04棍攻击06_hd01.tani			2		
83	12	2			0	Data\source\player\M1\动作\m1b04gu攻击03_hd01.tani			2		
84	43	2			0	Data\source\player\M1\动作\M1b01bi格挡.tani					
85	43	2			0	Data\source\player\M1\动作\M1b01qt格挡.tani					
86	43	2			0	Data\source\player\M1\动作\M1b03ty格挡.tani					
87	43	2			0	Data\source\player\M1\动作\M1b04ty格挡.tani					
88	43	2			0	Data\source\player\M1\动作\M1b05ty格挡.tani					
90	58				1	Data\source\player\M1\动作\M1b01ty后退02.tani					
91	58	2			1	Data\source\player\M1\动作\M1b01qt战斗待机后退02.tani					
92	58	2			1	Data\source\player\M1\动作\M1b03ty战斗待机后退02.tani					
93	58	2			1	Data\source\player\M1\动作\M1b04ty战斗待机后退02.tani					
94	58	2			1	Data\source\player\M1\动作\M1b05ty战斗待机后退02.tani					
95	55	1			1	Data\source\player\M1\动作\M1b02xs攻击02-01.tani			2		
96	14				0	Data\source\player\M1\动作\M1b02xs攻击02-02.tani			2		
97	14	2			0	Data\source\player\M1\动作\M1b02xs攻击04.tani			2		
98	15	1			0	Data\source\player\M1\动作\M1b02xs攻击05.tani			2		
99	15	2			0	Data\source\player\M1\动作\M1b02xs攻击01.tani			2		
100	1				1	Data\source\player\M1\动作\M1选人界面待机.ani					
101	8	1			0	Data\source\player\M1\动作\M1b02dj站立引导a.ani					
102	52	1			1	Data\source\player\M1\动作\M1b02dj站立引导b.ani					
103	9	1			0	Data\source\player\M1\动作\M1b02dj站立引导c.ani					
104	15	1			0	Data\source\player\M1\动作\M1b01ty_暗杀01.ani					
105	59	1			1	Data\source\player\M1\动作\M1H坐马车.ani					
106	1	1			1	Data\source\player\M1\动作\M1b02dj打坐a.tani					
107	55	1			0	data\source\player\M1\动作\M1H上马02.tani					
108	59	1			1	data\source\player\M1\动作\M1H奔跑03.ani			1		
109	20	1			1	data\source\player\M1\动作\M1b02dj传功.ani					
110	31	1			0	data\source\player\M1\动作\M1b02dj传功起.tani					
112	11	1			0	Data\source\player\M1\动作\M1b02dj站立引导3秒.ani					
113	5	1			1	Data\source\player\M1\动作\M1C向上爬.ani					
114	31	1			0	Data\source\player\M1\动作\M1C向上爬.ani					
115	31	2			0	Data\source\player\M1\动作\M1b01bi持武器普通待机01a.ani					
116	31	2			0	Data\source\player\M1\动作\M1b01bi持武器普通待机01b.ani					
117	31	2			0	Data\source\player\M1\动作\M1b04ty持武器普通待机01a.ani					
118	31	2			0	Data\source\player\M1\动作\M1b04ty持武器普通待机01b.ani					
119	31	2			0	Data\source\player\M1\动作\M1b04ty持武器普通待机02a.ani					
120	31	2			0	Data\source\player\M1\动作\M1b04ty持武器普通待机02b.ani					
121	31	2			0	Data\source\player\M1\动作\M1b04ty持武器普通待机01a.ani					
122	31	2			0	Data\source\player\M1\动作\M1b04ty持武器普通待机01b.ani					
123	31	2			0	Data\source\player\M1\动作\M1b05ty持武器普通待机02a.ani					
124	31	2			0	Data\source\player\M1\动作\M1b05ty持武器普通待机02b.ani					
125	31	2			0	Data\source\player\M1\动作\M1b05ty持武器普通待机01a.ani					
126	31	2			0	Data\source\player\M1\动作\M1b05ty持武器普通待机01b.ani					
127	31	2			0	Data\source\player\M1\动作\M1b07ty持武器普通待机01a.ani					
128	31	2			0	Data\source\player\M1\动作\M1b07ty持武器普通待机01b.ani					
129	31	2			0	Data\source\player\M1\动作\M1b03ty持武器普通待机01a.ani					
130	31	2			0	Data\source\player\M1\动作\M1b03ty持武器普通待机01b.ani					
131	31	1			0	Data\source\player\M1\动作\M1b01ty普通待机01a.ani					
132	31	1			0	Data\source\player\M1\动作\M1b01ty普通待机01b.ani					
133	31	2			0	Data\source\player\M1\动作\M1b08cd持武器普通待机01a.ani					
134	31	2			0	Data\source\player\M1\动作\M1b08cd持武器普通待机01b.ani					
135	31	2			0	Data\source\player\M1\动作\M1b03ty持武器普通待机02a.ani					
136	31	2			0	Data\source\player\M1\动作\M1b03ty持武器普通待机02b.ani					
137	31	2			0	Data\source\player\M1\动作\M1b09nq持武器普通待机01a.tani					
138	31	2			0	Data\source\player\M1\动作\M1b09nq持武器普通待机01b.tani					
139	31	1			0	Data\source\player\M1\动作\M1b01ty登陆跳入.tani					
140	31	1			0	Data\source\player\M1\动作\M1b01ty登陆跳出.tani					
147	5	1			1	Data\source\player\M1\动作\M1b01ty行走醉.ani					
150	31	1			0	Data\source\player\M1\动作\M1b02dj拱手.tani					
151	31	1			0	Data\source\player\M1\动作\M1b02dj鼓掌.tani					
152	31	1			0	Data\source\player\M1\动作\M1b02dj哭.tani					
153	31	1			0	Data\source\player\M1\动作\M1b02dj笑.tani					
154	31	1			0	Data\source\player\M1\动作\M1b02dj说话.tani					
155	60	1			1	Data\source\player\M1\动作\M1b02dj_抱婴儿待机.ani					
156	5	1			1	Data\source\player\M1\动作\M1b02dj_抱婴儿奔跑.ani					
157	5	1			1	Data\source\player\M1\动作\M1b02dj_抱婴儿行走.ani					
159	1	1			0	Data\source\player\M1\动作\M1s06吃饭01.tani					
160	1	1			0	Data\source\player\M1\动作\M1s06吃饭02.tani					
161	1	1			0	Data\source\player\M1\动作\M1s06打水01.ani					
162	1	1			0	Data\source\player\M1\动作\M1s06二指禅01.ani					
163	1	1			0	Data\source\player\M1\动作\M1s06二指禅02.ani					
164	24	1			0	Data\source\player\M1\动作\M1s06sh摆摊01.ani					
165	31	1			0	Data\source\player\M1\动作\M1b02dj吃.tani					
166	31	1			0	Data\source\player\M1\动作\M1b02dj喝.tani					
167	26	1			0	Data\source\player\M1\动作\M1b02dj跪01a.ani					
168	27	1			1	Data\source\player\M1\动作\M1b02dj跪01b.ani					
169	28	1			0	Data\source\player\M1\动作\M1b02dj跪01c.ani					
170	31	1			0	Data\source\player\M1\动作\M1b02dj点头.tani					
171	31	1			0	Data\source\player\M1\动作\M1b02dj摇头.tani					
172	31	1			0	Data\source\player\M1\动作\M1b02dj振臂.tani					
173	31	1			0	Data\source\player\M1\动作\M1b02dj苦恼.tani					
174	31	1			0	Data\source\player\M1\动作\M1s06sh请客01.tani					
175	26	1			0	Data\source\player\M1\动作\M1b02dj坐a.tani					
176	27	1			1	Data\source\player\M1\动作\M1b02dj坐b.ani					
177	28	1			0	Data\source\player\M1\动作\M1b02dj坐c.tani					
178	31	1			0	Data\source\player\M1\动作\M1b02dj吃03_粽子.tani					
179	12	1			0	data\source\player\M1\动作\M1b01qt攻击01.tani			2		
180	12	1			0	data\source\player\M1\动作\M1b01qt攻击05.tani			2		
181	12	1			0	data\source\player\M1\动作\M1b01qt攻击06.tani			2		
182	31	1			0	data\source\player\M1\动作\M1b06sh灭火01_01.tani					
183	15	1			0	data\source\player\M1\动作\M1b06sh挥舞火把01_01.tani					
184	31	1			0	data\source\player\M1\动作\M1b06sh击鼓01_02.tani					
185	31	1			0	data\source\player\M1\动作\M1b06sh纸飞机01_01.tani					
186	31	1			0	data\source\player\M1\动作\M1b06sh灌酒_01.tani					
187	52	1			0	data\source\player\M1\动作\M1b02dj吹笛子01.tani					
188	15	1			1	data\source\player\M1\动作\M1ssl04吟唱01c.ani			2		
189	15	1			0	data\source\player\M1\动作\M1ssl04爪攻击01摩天式.tani			2		
190	1	1			1	Data\source\player\M1\动作\M1b01ty普通待机01.tani			1		
191	5			1.2	1	Data\source\player\M1\动作\M1b02yd奔跑.tani			1		
192	57				1	Data\source\player\M1\动作\M1b01ty后退01.tani					
193	6				1	Data\source\player\M1\动作\M1b02yd挪步左.tani					
194	6				1	Data\source\player\M1\动作\M1b02yd挪步右.tani					
195	1	1			1	Data\source\player\M1\动作\M1b01ty普通待机01.tani			1		
196	1	1			1	Data\source\player\M1\动作\M1b01ty普通待机01.tani			1		
197	1	1			1	Data\source\player\M1\动作\M1b01ty普通待机01.tani			1		
198	31	2			0	Data\source\player\M1\动作\M1b09nq持武器普通待机01d_hd.tani					
200	8	1			0	Data\source\player\M1\动作\M1b02dj拾取a.ani					
201	9	1			0	Data\source\player\M1\动作\M1b02dj拾取c.ani					
202	6				1	Data\source\player\M1\动作\M1b02yd挪步左.tani					
203	6				1	Data\source\player\M1\动作\M1b02yd挪步右.tani					
204	16				0	Data\source\player\M1\动作\M1b02yd握拳小跳a.tani			2		
205	17				1	Data\source\player\M1\动作\M1b02yd握拳小跳b.ani			2		
206	18				0	Data\source\player\M1\动作\M1b02yd握拳小跳c.tani			2		
207	24	1			0	Data\source\player\M1\动作\M1b02dj打坐a.tani					
208	25	1			0	Data\source\player\M1\动作\M1b02dj打坐c.tani					
209	18				0	Data\source\player\M1\动作\M1b02yd缓冲01.tani					
210	7	1			0	Data\source\player\M1\动作\M1b04ty拔武器01a.tani					
211	7	2			0	Data\source\player\M1\动作\M1b04ty拔武器01b.tani					
212	7	1		1.15	0	Data\source\player\M1\动作\M1b03ty拔武器01a.tani					
213	7	2		1.15	0	Data\source\player\M1\动作\M1b03ty拔武器01b.tani					
214	7	1		1.15	0	Data\source\player\M1\动作\M1b01qt拔武器03a.ani					
215	7	2			0	Data\source\player\M1\动作\M1b01qt拔武器03b.ani					
216	7	1			0	Data\source\player\M1\动作\M1b05ty拔武器01a.ani					
217	7	2			0	Data\source\player\M1\动作\M1b05ty拔武器01b.tani					
218	7	1			0	Data\source\player\M1\动作\M1b01bi拔武器01a.ani					
219	7	2			0	Data\source\player\M1\动作\M1b01bi拔武器01b.tani					
220	7	1			0	Data\source\player\M1\动作\M1b01qt拔武器02a.ani					
221	7	2			0	Data\source\player\M1\动作\M1b01qt拔武器02b.ani					
222	24	1			0	Data\source\player\M1\动作\M1b02dj坐下a.tani					
223	25	1			0	Data\source\player\M1\动作\M1b02dj坐下c.tani					
224	19				0	Data\source\player\M1\动作\M1b02yd握拳二段跳a.tani					
225	20				1	Data\source\player\M1\动作\M1b02yd握拳小跳b.ani			2		
226	21				0	Data\source\player\M1\动作\M1b02yd握拳小跳c.tani			2		
227	7	2			0	Data\source\player\M1\动作\M1b01bi插武器01a.tani					
228	7	1			0	Data\source\player\M1\动作\M1b01bi插武器01b.ani					
229	7	2			0	Data\source\player\M1\动作\M1b01qt插武器02a.ani					
230	7	1			0	Data\source\player\M1\动作\M1b01qt插武器02b.ani					
231	7	2			0	Data\source\player\M1\动作\M1b01qt插武器03a.ani					
232	7	1			0	Data\source\player\M1\动作\M1b01qt插武器03b.ani					
233	7	2		1.15	0	Data\source\player\M1\动作\M1b03ty插武器01a.tani					
234	7	1		1.15	0	Data\source\player\M1\动作\M1b03ty插武器01b.ani					
235	7	2			0	Data\source\player\M1\动作\M1b03ty插武器01a.tani					
236	7	1			0	Data\source\player\M1\动作\M1b03ty插武器01b.ani					
237	7	2			0	Data\source\player\M1\动作\M1b04ty插武器01a.tani					
238	7	1			0	Data\source\player\M1\动作\M1b04ty插武器01b.tani					
239	7	2			0	Data\source\player\M1\动作\M1b04ty插武器02a.tani					
240	7	1			0	Data\source\player\M1\动作\M1b04ty插武器02b.ani					
241	7	2			0	Data\source\player\M1\动作\M1b05ty插武器01a.tani					
242	7	1			0	Data\source\player\M1\动作\M1b05ty插武器01b.ani					
243	7	2			0	Data\source\player\M1\动作\M1b05ty插武器01a.tani					
244	7	1			0	Data\source\player\M1\动作\M1b05ty插武器01b.ani					
245	17				1	Data\source\player\M1\动作\M1b02yd被吹飞.ani					
246	20				1	Data\source\player\M1\动作\M1b02yd后退.tani					
247	20				1	data\source\player\M1\动作\M1b02dj呕吐不止.tani					
248	20	1			1	data\source\player\M1\动作\M1b02dj呕吐.ani					
250	44	2			0	Data\source\player\M1\动作\M1b01ty闪避.tani					
251	44	2			0	Data\source\player\M1\动作\M1b04ty闪避.tani					
252	44	2			0	Data\source\player\M1\动作\M1b03ty闪避.tani					
253	44	2			0	Data\source\player\M1\动作\M1b05ty闪避.tani					
254	1	1			1	Data\source\player\M1\动作\M1b02yd游泳水中待机.tani			1		
255	4	1		1.8	1	Data\source\player\M1\动作\M1b02yd游泳向前游泳_HD.tani			1		
256	4	1		2	1	Data\source\player\M1\动作\M1b02yd游泳向后游泳_HD.tani			1		
257	4	1		1.8	1	Data\source\player\M1\动作\M1b02yd游泳左侧游泳_HD.tani			1		
258	4	1		1.8	1	Data\source\player\M1\动作\M1b02yd游泳右侧游泳_HD.tani			1		
259	29				1	Data\source\player\M1\动作\M1bqg猛冲01.tani					1
260	29				1	Data\source\player\M1\动作\M1bqg左侧闪02.tani					
261	29				1	Data\source\player\M1\动作\M1bqg右侧闪02.tani					
262	30				0	Data\source\player\M1\动作\M1b01ty普通待机01.tani			1		
263	30				0	Data\source\player\M1\动作\M1b01ty普通待机01.tani			1		
264	29				1	Data\source\player\M1\动作\M1bqg疾退01.tani			2		
265	29				1	Data\source\player\M1\动作\M1bqg猛冲01.tani			2		
266	30				0	Data\source\player\M1\动作\M1bqg冲刺缓冲01.ani			2		
267	16				0	Data\source\player\M1\动作\M1bqg水上漂a.tani					
268	30				0	Data\source\player\M1\动作\M1bqg疾退缓冲01.tani			2		
269	29	1			1	data\source\player\M1\动作\M1bqg弹跳前蓄力动作01.tani					
270	7	1			0	Data\source\player\M1\动作\M1b03ty拔武器01a.tani					
271	7	2			0	Data\source\player\M1\动作\M1b03ty拔武器01b.tani					
272	7	1			0	Data\source\player\M1\动作\M1b05ty拔武器01a.ani					
273	7	2			0	Data\source\player\M1\动作\M1b05ty拔武器01b.tani					
277	16				0	data\source\player\M1\动作\M1bqg扶摇直上01.tani					
278	17			1.15	1	data\source\player\M1\动作\M1scy03轻功b.ani			2		
279	18			1.15	0	data\source\player\M1\动作\M1scy03轻功c.tani			2		
280	2	2		1.15	1	Data\source\player\M1\动作\M1b03ty战斗待机01.ani					
281	44	2			0	Data\source\player\M1\动作\M1b01bi闪避.tani					
282	31	1	1	1	0	data/source/player/m1/动作/M1b01ty披风展示02_屏枫.tani		0	0		
284	31	1	1	1	0	data/source/player/m1/动作/M1b01ty披风展示02_粉花.tani		0	0		
285	29				0	Data\source\player\M1\动作\M1b02zd击退.ani					
286	31	1	1	1	0	data/source/player/m1/动作/M1b01ty披风展示02_什么花.tani		0	0		
287	29				0	Data\source\player\M1\动作\M1b02zd停滑.ani					
288	30		0.7		0	Data\source\player\M1\动作\M1b01ty普通待机01.ani			1		
289	22				0	Data\source\player\M1\动作\M1b02zd倒地.ani					
290	31	1	1	1	0	data/source/player/m1/动作/M1b01ty披风展示02_白鹭.tani		0	0		
291	45				1	Data\source\player\M1\动作\M1b02zd倒地中.ani					
292	46		0.7		0	Data\source\player\M1\动作\M1b02zd倒地中被击.ani					
293	17				1	Data\source\player\M1\动作\M1b02yd被击飞.ani					
294	31	1	1	1	0	data/source/player/m1/动作/M1b01ty披风展示02_纱花.tani		0	0		
295	31	1	1	1	0	data/source/player/m1/动作/M1b01ty披风展示02_凤金.tani		0	0		
298	31	1	1	1	0	Data\source\player\M1\动作\M1b02ty号角01a_白虎_01.tani		0	0		
299	31	1	1	1	1	Data\source\player\M1\动作\M1b02ty号角01b_白虎.ani		0	0		
300	31	1	1	1	0	Data\source\player\M1\动作\M1b02ty号角01c_白虎.ani		0	0		
301	12	2			0	data\source\player\M1\动作\M1b01bi攻击14.ani			2		
302	12	2			0	data\source\player\M1\动作\M1b01bi攻击15.tani			2		
303	12	2			0	data\source\player\M1\动作\M1b01bi攻击16.ani			2		
304	12	2			0	data\source\player\M1\动作\M1b01qt攻击04.tani			2		
305	12	2			0	data\source\player\M1\动作\M1b01qt攻击05.tani			2		
306	13	2			0	data\source\player\M1\动作\M1b01qt攻击06.tani			2		
307	14	2		1.15	0	data\source\player\M1\动作\M1swh01辅助技能01-01.tani			2		
308	14	2			0	data\source\player\m1\动作\m1s01wh技能14_碧水HD.tani			2		
309	14	2			0	data\source\player\m1\动作\m1s01wh技能15_春泥HD.tani			2		
310	14	2			0	data\source\player\m1\动作\m1s01wh针灸17_垂露HD.tani			2		
311	14	2		1.15	0	data\source\player\M1\动作\M1swh01辅助技能03.tani			2		
312	14	2			0	data\source\player\m1\动作\m1s01wh技能12_星楼月影hd.tani			2		
313	14	2			0	data\source\player\m1\动作\m1s01wh技能11_水月HD.tani			2		
314	14	2			0	data\source\player\m1\动作\m1s01wh针灸11_握针hd.tani			2		
315	14	2		1.15	0	data\source\player\M1\动作\M1swh01针灸02.tani			2		
316	14	2			0	data\source\player\m1\动作\m1s01wh针灸12b提针HD.tani			2		
317	14	2			0	data\source\player\m1\动作\m1s01wh针灸19b缝针HD.tani			2		
318	14	2			0	data\source\player\m1\动作\m1s01wh针灸15b彼针HD.tani			2		
319	14	2		1.15	0	data\source\player\M1\动作\M1swh01针灸03-02.tani			2		
320	14	2			0	data\source\player\m1\动作\m1s01wh针灸13b长针hd.tani			2		
321	14	2		1.15	0	data\source\player\M1\动作\M1swh01针灸05-02.tani			2		
322	14	2			0	data\source\player\m1\动作\m1s01wh点穴11b_阳明指HD.tani			2		
323	14	2			0	data\source\player\m1\动作\m1s01wh点穴12_商阳指hd.tani			2		
324	14	2		1.15	0	data\source\player\M1\动作\M1swh01点穴03.tani			2		
325	15	2			0	data\source\player\m1\动作\m1s01wh点穴15_玉石俱焚hd.tani			2		
326	14	2			0	data\source\player\m1\动作\m1s01wh点穴18_厥阴指hd.tani			2		
327	14	2			0	data\source\player\m1\动作\m1s01wh点穴21b_少明指HD.tani			2		
328	14	2			0	data\source\player\m1\动作\m1s01wh点穴20_芙蓉并蒂HD.tani			2		
329	14	2		1.15	0	data\source\player\M1\动作\M1swh01拂穴02.tani			2		
330	14	2			0	data\source\player\m1\动作\M1s01wh点穴22b_浮花浪蕊HD.tani			2		
331	15	2			0	data\source\player\m1\动作\m1s01wh点穴14b_钟林毓秀hd.tani			2		
332	15	2			0	data\source\player\m1\动作\m1s01wh点穴13b_兰摧玉折hd.tani			2		
333	55	2		1.15	1	data\source\player\M1\动作\M1swh01蓄力01-01.tani			2		
334	55	2			1	data\source\player\m1\动作\m1s01wh针灸12a提针吟唱HD.tani			2		
335	55	2			1	data\source\player\m1\动作\m1s01wh针灸19a缝针吟唱HD.tani			2		
336	55	2		1.15	1	data\source\player\M1\动作\M1swh01蓄力02-01.tani			2		
337	55	2		1.15	1	data\source\player\M1\动作\M1swh01蓄力02-02.tani			2		
338	55	2		1.15	1	data\source\player\M1\动作\M1swh01蓄力02-03.tani			2		
339	55	2			1	data\source\player\m1\动作\m1s01wh点穴14a_钟林毓秀hd.tani			2		
340	55	2		1.15	1	data\source\player\M1\动作\M1swh01蓄力02-04.tani			2		
341	55	2		1.15	1	data\source\player\M1\动作\M1swh01蓄力02-05.tani			2		
342	55	2			1	data\source\player\m1\动作\m1s01wh点穴21a_少明指HD.tani			2		
343	55	2		1.15	1	data\source\player\M1\动作\M1swh01蓄力04-02.tani			2		
344	55	2			1	data\source\player\m1\动作\m1s01wh点穴13a_兰摧玉折hd.tani			2		
345	55	2			1	data\source\player\m1\动作\m1s01wh点穴11a_阳明指HD.tani			2		
346	55	2			1	data\source\player\m1\动作\M1s01wh点穴22a_浮花浪蕊HD.tani			2		
347	68				0	data\source\player\m1\动作\m1s01wh点穴19_太阴HD.tani			2		1
348	30				0	data\source\player\M1\动作\m1sgb11疾退缓冲01.tani					
349	52	2			0	data\source\player\m1\动作\m1s01wh点穴16a_快雪HD.tani			2		
350	14	2			0	data\source\player\m1\动作\m1s01wh点穴17_乱洒HD.tani			2		
351	55	2			1	data\source\player\m1\动作\m1s01wh针灸18a_利针hd.tani			2		
352	14	2			0	data\source\player\m1\动作\m1s01wh针灸18b_利针hd.tani			2		
353	14	2			0	data\source\player\m1\动作\m1s01wh针灸16_听风HD.tani			2		
354	52	2			0	data\source\player\m1\动作\m1s01wh点穴16a_快雪HD.tani			2		
355	14	2			0	data\source\player\M1\动作\M1swh01辅助技能06_01.tani			2		
356	14	2			0	data\source\player\M1\动作\M1swh01辅助技能05_01.tani			2		
357	31	1	1	1	0	Data\source\player\M1\动作\M1b02ty号角02_白虎.ani		0	0		
359	31				1	data\source\player\M1\动作\M1_A081_Ls待机01.ani					
360	31				0	data\source\player\M1\动作\M1_A081_Ls待机02.ani					
361	31				0	data\source\player\M1\动作\M1_A081_Ls待机03.ani					
362	31				0	data\source\player\M1\动作\M1_A081_Ls表现01.tani					
363	31				0	data\source\player\M1\动作\M1_A081_Ls表现02.tani					
364	31				0	data\source\player\M1\动作\M1_A081_Ls表现03_HD.tani					
366	31				0	Data\source\player\M1\动作\M1_A081_Rs待机02.ani					
367	31				0	Data\source\player\M1\动作\M1_A081_Rs待机03.ani					
368	31				0	Data\source\player\M1\动作\M1_A081_Rs表现01.tani					
369	31				0	Data\source\player\M1\动作\M1_A081_Rs表现02.tani					
370	31				0	Data\source\player\M1\动作\M1_A081_Rs表现03_HD.tani					
371	56				1	Data\source\player\M1\动作\M1_A081_行走.ani					
375	1				1	data\source\player\M1\动作\M1_A081_待机01.ani					
376	5				1	data\source\player\M1\动作\M1_A081_奔跑.ani					
377					0	data\source\player\M1\动作\M1_A081_加速跑a.ani					
378					1	data\source\player\M1\动作\M1_A081_加速跑b.ani					
379					0	data\source\player\M1\动作\M1_A081_打坐a.ani					
