====================================================================================================
鐮撮槻 count 60
   552 澶╃瓥-鐮撮-鐮撮槻 | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldBase -7 | Cnt= 1 Ivl= 480 | Stack= 5
   12939 3鍙穇閾佺嫳鏈哄叧闃礯鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atMoveSpeedPercent -307 | Cnt= 1 Ivl= 160 | Stack= 1
   14100 缈肩粷浜戝ぉ鍔犲皬闃熺牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 31 | Cnt= 1 Ivl= 192 | Stack= 5
   14309 琛€鎬掑鍔熺牬闃插姞15% | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsAttackPowerPercent 154 | Cnt= 30 Ivl= 16 | Stack= 1
   14941 MOBA鍏夌幆BUFF鈥旂牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atAllTypeOvercomeBase 102 | Cnt= 1 Ivl= 16 | Stack= 1
   14942 MOBA鐮撮槻鍏夌幆 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 10 Ivl= 16 | Stack= 1
   15436 鐮撮槻绛夌骇鎻愰珮 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atAllTypeOvercomeBase 207 | Cnt= 1 Ivl= 480 | Stack= 1
   17851 鐮撮槻澧炵泭 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 380 | A1= atNeutralOvercomeBase 11162 | Cnt= 10 Ivl= 16 | Stack= 1
   18214 淇綏鏆楀害鍐呭姛鐮撮槻绛夌骇 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atMagicOvercome 300 | Cnt= 1 Ivl= 16 | Stack= 125
   18459 娴嬭瘯鐢ㄥ鍔熺牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsOvercomeBase 500 | Cnt= 1 Ivl= 3600 | Stack= 99
   18460 娴嬭瘯鐢ㄦ贩鍏冪牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atNeutralOvercomeBase 500 | Cnt= 1 Ivl= 3600 | Stack= 99
   18461 娴嬭瘯鐢ㄩ槾鎬х牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarOvercomeBase 500 | Cnt= 1 Ivl= 3600 | Stack= 99
   18462 娴嬭瘯鐢ㄩ槼鎬х牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSolarOvercomeBase 500 | Cnt= 1 Ivl= 3600 | Stack= 99
   18463 娴嬭瘯鐢ㄦ瘨鎬х牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPoisonOvercomeBase 500 | Cnt= 1 Ivl= 3600 | Stack= 99
   20699 鍏昏崳鍗冩灊缁借晩鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPoisonOvercomePercent 256 | Cnt= 1 Ivl= 16 | Stack= 1
   29504 鍔╂垬npc鏈弧绾х牬闃茬壒娈婂鐞?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atPhysicsOvercomePercent -830 | Cnt= 1 Ivl= 0 | Stack= 1
   29505 鍔╂垬npc鏈弧绾х牬闃茬壒娈婂鐞嗭紙鏉庢槦浜戯級 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atPhysicsOvercomePercent -1079 | Cnt= 1 Ivl= 0 | Stack= 1
   29526 榛勫瓧闉嬪瓙鍔犵牬闃瞋浣庡搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atAllTypeOvercomeBase 4218 | Cnt= 1 Ivl= 160 | Stack= 1
   29536 榛勫瓧鑵板潬鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atAllTypeOvercomeBase 270 | Cnt= 1 Ivl= 192 | Stack= 5
   29636 娴嬭瘯鐢ㄥ姞浼氬績鍑忕牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atAllTypeCriticalStrike 500 | Cnt= 1 Ivl= 0 | Stack= 99
   29637 娴嬭瘯鐢ㄥ噺浼氬績鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atAllTypeCriticalStrike -500 | Cnt= 1 Ivl= 0 | Stack= 99
   29642 娴嬭瘯鐢ㄥ噺鐮撮槻鍔犵牬鎷?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atSurplusValueBase 500 | Cnt= 1 Ivl= 0 | Stack= 99
   29643 娴嬭瘯鐢ㄥ姞鐮撮槻鍑忕牬鎷?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atSurplusValueBase -500 | Cnt= 1 Ivl= 0 | Stack= 99
   29644 娴嬭瘯鐢ㄥ姞鐮撮槻鍑忓姞閫?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atHasteBase -500 | Cnt= 1 Ivl= 0 | Stack= 99
   29645 娴嬭瘯鐢ㄥ噺鐮撮槻鍔犲姞閫?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atHasteBase 500 | Cnt= 1 Ivl= 0 | Stack= 99
   30511 JJC鎻掓棗澶х帇-鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atAllTypeOvercomeBase 1000 | Cnt= 1 Ivl= 5760 | Stack= 100
   30743 绮剧畝鑵板甫鎻愰珮灞炴€楂樼骇鐗坃鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atAllTypeOvercomeBase 8506 | Cnt= 1 Ivl= 320 | Stack= 1
   30749 绮剧畝涓嬭閫傚簲涔嬪姏鐮撮槻_楂樼骇鐗?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atAllTypeOvercomeBase 12152 | Cnt= 1 Ivl= 0 | Stack= 1
   30752 绮剧畝涓嬭閫傚簲涔嬪姏鐮撮槻_寰幆鍒ゅ畾_灞辨捣婧愭祦 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1=   | Cnt= 3333 Ivl= 16 | Stack= 1
   30755 绮剧畝鎴掓寚1鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atAllTypeOvercomeBase 1412 | Cnt= 1 Ivl= 160 | Stack= 1
   31367 鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atLunarMagicShieldPercent -307 | Cnt= 1 Ivl= 480 | Stack= 1
   50678 琚姩鎶€鑳絖鐮撮槻鎻愬崌 | FT=  | Decay=  | MS= 4294901758 | Ban= 0 | Inv=  | A1= atAllTypeOvercomeBase 202 | Cnt= 3600 Ivl= 16 | Stack= 1
   50718 琛板噺鐨勭牬闃?| FT=  | Decay=  | MS= 4294901758 | Ban= 0 | Inv=  | A1= atAllDamageAddPercent 102 | Cnt= 1 Ivl= 40 | Stack= 5
====================================================================================================
鍖栧姴 count 35
   1455 澧炲姞鍖栧姴 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atDecriticalDamagePowerBase 54 | Cnt= 1 Ivl= 28800 | Stack= 1
   1854 钘忓墤_瑗垮瓙鎯卂姊呴殣棣檁棣欐(甯﹀寲鍔? | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 16 | Cnt= 1 Ivl= 48 | Stack= 1
   3431 澧炲姞鍖栧姴50鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atDecriticalDamagePowerBase 50 | Cnt= 1 Ivl= 999999 | Stack= 100
   3435 鍑忓寲鍔?0鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atDecriticalDamagePowerBase -50 | Cnt= 1 Ivl= 999999 | Stack= 100
   7505 鏄ョ偣鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerBaseKiloNumRate -1000 | Cnt= 1 Ivl= 80 | Stack= 1
   11873 杩藉懡绠檷浣庣洰鏍囧寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -51 | Cnt= 1 Ivl= 192 | Stack= 1
   12597 鍏版懅闄嶄綆鐩爣鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -154 | Cnt= 7 Ivl= 48 | Stack= 1
   13052 鏅€氬ぇ閬撴棤鏈噺鍖栧姴 | FT= Halt | Decay= 2 | MS= 1405100032 | Ban=  | Inv=  | A1= atFreeze 0 | Cnt= 1 Ivl= 32 | Stack= 1
   13053 寮哄寲澶ч亾鏃犳湳鍑忓寲鍔?| FT= Halt | Decay= 2 | MS= 1405100032 | Ban=  | Inv=  | A1= atFreeze 0 | Cnt= 1 Ivl= 48 | Stack= 1
   13924 缈旀瀬纰ц惤闄嶄綆鐩爣鍖栧姴绛夌骇 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -205 | Cnt= 1 Ivl= 80 | Stack= 1
   13939 杩樼挧鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -154 | Cnt= 1 Ivl= 80 | Stack= 1
   17076 鏂╃伀闄嶄綆鐩爣鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -51 | Cnt= 1 Ivl= 240 | Stack= 3
   18031 鐧炬绌挎潹鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -103 | Cnt= 1 Ivl= 192 | Stack= 2
   22131 涓夋槦涓存棤瑙嗗寲鍔插垽瀹氭爣璁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSkillEventHandler 2153 | Cnt= 1 Ivl= 320 | Stack= 1
   22132 涓夋槦涓存棤瑙嗗寲鍔插疄闄呮晥鏋?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atSetTalentRecipe 2873 | Cnt= 1 Ivl= 192 | Stack= 1
   23071 [23071]闇稿垁涓冨垁鏃犺鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -102 | Cnt= 1 Ivl= 4 | Stack= 1
   24181 瑙︾韬鍑忓皯鐩爣鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -103 | Cnt= 1 Ivl= 16 | Stack= 1
   24554 宸插簾寮僟鐏奖杩介棰濆闄嶅寲鍔茬増 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsOvercomePercent 51 | Cnt= 1 Ivl= 4 | Stack= 1
   24761 鐏奖杩介鍑忓寲鍔茬瓑绾?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -61 | Cnt= 1 Ivl= 176 | Stack= 1
   25272 [25272]涓愬府_娓╅厭_鏃犺鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -359 | Cnt= 1 Ivl= 4 | Stack= 1
   27064 鏄庢暀_鍑€鎭剁憰璇涙棤瑙嗗寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -410 | Cnt= 1 Ivl= 4 | Stack= 1
   28807 鎻愰珮鍖栧姴 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 520 | A1= atDecriticalDamagePowerBaseKiloNumRate 10 | Cnt= 1 Ivl= 160 | Stack= 15
   29195 鏃ョ牬鏃犺鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -154 | Cnt= 1 Ivl= 4 | Stack= 1
   30056 杈撳嚭PVP鎶ゆ墜鍑忓寲鍔瞋鍐呯疆CD | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 480 | Stack= 1
   30057 娌荤枟PVP鎶ゆ墜鍔犲寲鍔瞋鍐呯疆CD | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 480 | Stack= 1
   30059 杈撳嚭PVP鎶ゆ墜鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atDecriticalDamagePowerBase -2756 | Cnt= 1 Ivl= 160 | Stack= 1
   30060 娌荤枟PVP鎶ゆ墜鍔犲寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atDecriticalDamagePowerBase 2756 | Cnt= 1 Ivl= 160 | Stack= 1
   30074 PVP椤归摼鍖栧姴鍔犲尽鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 160 | Cnt= 1 Ivl= 0 | Stack= 10
   30306 濂囩┐_闆剧伃_闄嶄綆鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -51 | Cnt= 1 Ivl= 16 | Stack= 2
   30307 濂囩┐_闆剧伃_鎻愰珮鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent 51 | Cnt= 1 Ivl= 16 | Stack= 2
   30516 JJC鎻掓棗澶х帇-鍖栧姴 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerBase 1000 | Cnt= 1 Ivl= 5760 | Stack= 100
   30708 PVP闄勯瓟2鑵板甫鎷嶅崠_鍖栧姴杞尽鍔瞋澶瀬绉樺綍 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 120 | Cnt= 1 Ivl= 0 | Stack= 10
   31776 涓冩儏鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -11 | Cnt= 8 Ivl= 8 | Stack= 99
   33182 瀛ら攱鐮存氮鏃犺鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atDecriticalDamagePowerPercent -256 | Cnt= 1 Ivl= 4 | Stack= 1
   51856 缁濆_涓愬府妫掓墦闄嶄綆鍖栧姴 | FT= Normal | Decay= -1 | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -62 | Cnt= 1 Ivl= 120 | Stack= 1
====================================================================================================
寰″姴 count 24
   1072 寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 162 | Cnt= 1 Ivl= 4800 | Stack= 1
   1444 T澧炲姞寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 11 | Cnt= 1 Ivl= 960 | Stack= 1
   1458 澧炲姞寰″姴 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atToughnessBase 50 | Cnt= 1 Ivl= 28800 | Stack= 1
   1800 钘忓墤_蹇墤40绾у唴鍔焈姊呴殣棣欏鍔犲尽鍔插€?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   1880 25浜哄ぉ鐜嬫_寰″姴澹佸瀿 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSolarMagicResistPercent 204 | Cnt= 1 Ivl= 0 | Stack= 5
   2198 閾佸_鍔?0%寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessPercent 205 | Cnt= 1 Ivl= 192 | Stack= 1
   2199 婧冪敳_鍑?0%寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessPercent -205 | Cnt= 1 Ivl= 192 | Stack= 1
   3430 澧炲姞寰″姴50鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 50 | Cnt= 1 Ivl= 999999 | Stack= 100
   3434 鍑忓尽鍔?0鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase -50 | Cnt= 1 Ivl= 999999 | Stack= 100
   9864 椋?0%浼氬績鎹?0%寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 3000 | Cnt= 1 Ivl= 160 | Stack= 1
   12989 鎸佸浗澶╃帇娈縚寰″姴澹佸瀿 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSolarMagicResistPercent 204 | Cnt= 1 Ivl= 0 | Stack= 5
   14980 寰″姴鎻愰珮 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 500 | Cnt= 1 Ivl= 128 | Stack= 1
   20812 [20812]閾侀濂囩┐_鎱戞湇_寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 512 | Cnt= 1 Ivl= 128 | Stack= 1
   24411 绂荤粡_濡欐墜寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 500 | Cnt= 1 Ivl= 240 | Stack= 1
   28314 寰″姴缁熶竴 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 20
   29614 娴烽緳寰″姴_鐩戞帶涓庤鍑籦uff | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atSkillEventHandler 2775 | Cnt= 40 Ivl= 4 | Stack= 1
   29616 娴烽緳寰″姴_琚嚮璁℃暟 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 10
   29624 缁濆湴鍙嶅嚮_寰″姴缁熶竴cd | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   29776 娴烽緳寰″姴_鏇挎崲鍐呴儴鎶€鑳?| FT=  | Decay=  | MS= 4294967294 | Ban= 0 | Inv= 0 | A1= atNoLimitChangeSkillIcon 28202 | Cnt= 1 Ivl= 0 | Stack= 1
   30074 PVP椤归摼鍖栧姴鍔犲尽鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 160 | Cnt= 1 Ivl= 0 | Stack= 10
   30515 JJC鎻掓棗澶х帇-寰″姴 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atToughnessBase 100 | Cnt= 1 Ivl= 5760 | Stack= 100
   30707 PVP闄勯瓟1鑵板甫鎷嶅崠_琚嚮鍔犲尽鍔瞋澶瀬绉樺綍 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 10800 | Cnt= 1 Ivl= 48 | Stack= 1
   30708 PVP闄勯瓟2鑵板甫鎷嶅崠_鍖栧姴杞尽鍔瞋澶瀬绉樺綍 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 120 | Cnt= 1 Ivl= 0 | Stack= 10
   33175 绂荤粡_鏂扮Н鍔縚鐐搁粦寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 1000 | Cnt= 1 Ivl= 16 | Stack= 1
====================================================================================================
鍚嶅墤 count 14
   6472 鍋胯繕鍚嶅墤甯乢澶╀綉涓崕 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 8640000 Ivl= 16 | Stack= 1
   6476 鎵ｉ櫎鍚嶅墤甯侀亾鍏穇澶╀綉涓崕 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 8640000 Ivl= 16 | Stack= 1
   7094 鍔犻€焍uff-濞佹湜鍚嶅墤甯? | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1= atAddPrestigePercentForAll 51 | Cnt= 1 Ivl= 960 | Stack= 1
   7096 鍔犻€焍uff-鍚嶅墤甯?0 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   11924 JJC鎵ｅ悕鍓戝竵 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 3600 Ivl= 80 | Stack= 1
   13211 鍚嶅墤澶т細涓炬姤澶嶆煡buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   17488 鍚嶅墤澶т細姣忓懆浜斿満鑳滃埄鏍囪 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   19008 璁告効鏍懧峰悕鍓戝ぇ浼?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   19265 绂佷护路鍚嶅墤澶т細  | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 9676800 | Stack= 14
   19585 绂佽路鍚嶅墤澶т細 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 9676800 | Stack= 14
   19906 绂佷功路鍚嶅墤澶т細 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 9676800 | Stack= 14
