====================================================================================================
鍑忕枟 count 55
   2662 甯細_鎿傚彴_鍑忕枟浼ゆ垚鏁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 2880 | Script= 
   15774 鍐呭姛boss閫氱敤鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -51 | Cnt= 1 Ivl= 960 | Script= 
   16664 鍓戠函瀹為檯鍑忕枟鏁堟灉 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atBeTherapyCoefficient -102 | Cnt= 1 Ivl= 192 | Script= 
   16665 寤惰繜澶勭悊鍑忕枟娣诲姞 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 3 | Script= 绾槼/濂楄矾鍙婂瓙鎶€鑳?寤惰繜鍒犺〃鐜癰uff.lua
   16967 鏂拌媿浜戠壒娈婃鍣╛鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -5 | Cnt= 1 Ivl= 16 | Script= 
   17200 鍐呭姛閫氱敤涓嶈劚鎴樺噺鐤?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -51 | Cnt= 1 Ivl= 960 | Script= 
   17644 绔炴妧鍦?5鏈哄櫒浜哄噺鐤椾慨姝?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -51 | Cnt= 1 Ivl= 16 | Script= 
   18004 鎸佺画鍑忕枟鏁堟灉 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atBeTherapyCoefficient -461 | Cnt= 1 Ivl= 240 | Script= 
   18038 鍑忕枟鍏嶇柅 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 384 | Script= 
   18262 4鍙穇鐗规畩鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -205 | Cnt= 60 Ivl= 16 | Script= 
====================================================================================================
绂佺枟 count 39
   9172 绂佺枟绗竴娆℃爣璁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 128 | Script= 
   9173 绂佺枟绗簩娆℃爣璁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 128 | Script= 
   9174 鐢熸伅绂佺枟寤惰繜buff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 4 | Script= 涓囪姳\涓囪姳_涓塪ot_琚┍鏁ｇ鐤?lua
   9175 鐢熸伅绂佺枟buff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGlobalTherapyAbsorb 9000000 | Cnt= 4 Ivl= 8 | Script= 
   10332 钘忓墤_绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGlobalTherapyAbsorb 9999999 | Cnt= 1 Ivl= 16 | Script= 
   11488 绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban= 920 | Inv= 408 | A1= atBeTherapyCoefficient -1014 | Cnt= 1 Ivl= 16 | Script= 
   11733 灞犻緳鍏紡绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -1024 | Cnt= 20 Ivl= 4 | Script= 
   11805 灞犻緳鍏紡绂佺枟鐩戞帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 10000 Ivl= 4 | Script= 
   12061 鏉ㄩ€搁_鏇查珮鍜屽绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGlobalTherapyAbsorb 9000000 | Cnt= 1 Ivl= 240 | Script= 
   12888 娲涢槼鍩庡寳鐐脊寮曠噧绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -102 | Cnt= 3 Ivl= 16 | Script= 
   13666 5鍙穇鍦ｆ硶闂ㄦ儵鎴掕€卂绌垮埡鎯╂垝_绂佺枟DEBUFF | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -1024 | Cnt= 10 Ivl= 16 | Script= 
   13667 5鍙穇鍦ｈ瘡闂ㄨ瘡浠や娇_琛岃瘡浠绂佺枟debuff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -1024 | Cnt= 10 Ivl= 16 | Script= 
   13669 5鍙穇绉樻硶闂ㄦ殫琛岃€卂闃村奖瀵嗕护_绂佺枟buff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -1024 | Cnt= 10 Ivl= 16 | Script= 
   15761 鍙椹辨暎绂佺枟Dot | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 15 Ivl= 48 | Script= 
   18666 鍦烘櫙閫氱敤绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGlobalTherapyAbsorb 9999999 | Cnt= 1 Ivl= 16 | Script= 
   19138 甯細鑱旇禌绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -4096 | Cnt= 1 Ivl= 960 | Script= 
   19146 甯細鑱旇禌閫氱敤绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -4096 | Cnt= 1 Ivl= 0 | Script= 
   19309 璇￠潰鍩嬩紡绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGlobalTherapyAbsorb 9000000 | Cnt= 1 Ivl= 48 | Script= 
   19554 瀹堝崼鍏冲崱_绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atPositiveShield  | Cnt= 1 Ivl= 0 | Script= 
   20329 鐩楀疂璐肩鐤?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -10240 | Cnt= 1 Ivl= 14400 | Script= 
   20530 涓€鍒€娴皹_绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -1024 | Cnt= 1 Ivl= 160 | Script= 
   20728 [20728]绂佺枟鐩惧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atFinalMaxLifeAddPercent 1024 | Cnt= 1 Ivl= 192 | Script= 
   20970 绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -4096 | Cnt= 1 Ivl= 0 | Script= 
   21960 绠″鍑忕泭_榫欒懙鑷嫤绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGlobalTherapyAbsorbBySelfMaxLife 0 | Cnt= 3 Ivl= 16 | Script= 
   23041 2鍙穇闃块榿璇篲闀挎潌绂佺枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGlobalTherapyAbsorb 21060000 | Cnt= 1 Ivl= 0 | Script= 
====================================================================================================
鏃犳晫 count 60
   160 鏃犳晫 | FT=  | Decay=  | MS= 4294934526 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 32 | Script= 
   205 鏃犳晫BUFF | FT=  | Decay=  | MS= 4294934526 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 9600 | Script= 
   778 鎶€鑳芥暀瀛︾敤鏃犳晫 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atGlobalBlock 1 | Cnt= 1 Ivl= 80 | Script= 
   835 NPC鎴樻枟鎶€鑳絖BUFF_鐗规畩_璐熼潰鏁堟灉鏃犳晫鐩綺8 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 128 | Script= 
   856 閿婚璇€鍐呭姛鏃犳晫鏁堟灉 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicBlock 1 | Cnt= 1 Ivl= 64 | Script= 
   1036 鏃ヨ疆灞卞煄_閫氱敤鏃犳晫 | FT=  | Decay=  | MS= 3757998078 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 0 | Script= 
   1037 鏃ヨ疆灞卞煄_鍙┍鏁ｆ棤鏁?| FT=  | Decay=  | MS= 3757998078 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 0 | Script= 
   1366 椋庨洦绋婚鏉慱閫氱敤鏃犳晫 | FT=  | Decay=  | MS= 3757998078 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 0 | Script= 
   1484 鑻遍泟绌洪浘宄癬闅愰亖(鏃犳晫BUFF) | FT=  | Decay=  | MS= 3757998078 | Ban=  | Inv=  | A1= atGlobalDamageAbsorb 15789474 | Cnt= 1 Ivl= 0 | Script= 
   1740 2浜哄壇鏈琠鐙╃寧_NPC_鏃犳晫 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atNegativeShield  | Cnt= 1 Ivl= 28800 | Script= 
   2573 甯細_甯細鏃楀笢_澶╀笅鏃犳晫 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atGlobalResistPercent 307 | Cnt= 1 Ivl= 160 | Script= 
   2946 浜旀瘨_绉樼瑘_鍑ゅ嚢铔奯鐩爣璧疯韩鍚庢棤鏁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atGlobalResistPercent 1024 | Cnt= 1 Ivl= 32 | Script= 
   3090 榫欐笂娉絖鍗楄瘡鍙岄泟_鍒ゆ柇鏃犳晫 | FT=  | Decay=  | MS= 3753836542 | Ban=  | Inv=  | A1=   | Cnt= 999999 Ivl= 32 | Script= 
   3091 榫欐笂娉絖鍗楄瘡鍙岄泟_鏃犳晫 | FT=  | Decay=  | MS= 3753836542 | Ban=  | Inv=  | A1= atNegativeShield  | Cnt= 1 Ivl= 80 | Script= 
   3259 涓_澶╃嫍鐖墮_鏃犳晫 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atGlobalResistPercent 1024 | Cnt= 1 Ivl= 3840 | Script= 
   3300 鍞愰棬瀵嗗_鏌虫儕娑沖鏃犳晫 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atGlobalResistPercent 1024 | Cnt= 1 Ivl= 0 | Script= 
   3323 鍑ゅ嚢铔奯鏃犳晫_娲荤潃缁存寔 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atExecuteScript skill\浜旀瘨\绉樼瑘\鍑ゅ嚢铔奯鏃犳晫_娲荤潃缁存寔.lua | Cnt= 1 Ivl= 28800 | Script= 
   3325 鍑ゅ嚢铔奯鏃犳晫_姝讳骸缁存寔 | FT=  | Decay=  | MS= 1942028288 | Ban=  | Inv=  | A1= atExecuteScript skill\浜旀瘨\绉樼瑘\鍑ゅ嚢铔奯鏃犳晫_姝讳骸缁存寔.lua | Cnt= 1 Ivl= 28800 | Script= 
   3374 鍞愰棬瀵嗗_鏈虹敳鏃犳晫 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atGlobalResistPercent 1024 | Cnt= 1 Ivl= 0 | Script= 
   3425 鍞愰棬_楝兼枾绁炲伐_鏃犳晫 | FT=  | Decay=  | MS= 3619700990 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 16 | Script= 
   3486 鍞愰棬_鏈哄叧鏃犳晫BUFF | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 0 | Script= 
   3676 鐑涢緳娈縚闆风_鏃犳晫BUFF | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atGlobalResistPercent 1024 | Cnt= 1 Ivl= 28800 | Script= 
   3759 鐑涢緳娈縚鏃犳晫BUFF | FT=  | Decay=  | MS= 3757998078 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 0 | Script= 
   3851 闇囧北娌砡鑷韩鏃犳晫2绉?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 1 Ivl= 32 | Script= 
   3861 灏戞灄_杞洖璇€_闅愯棌1绉掓棤鏁?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atGlobalBlock 3 | Cnt= 1 Ivl= 32 | Script= 
====================================================================================================
鍏嶆帶 count 60
   2756 澶╃瓥_浠婚┌楠嬪厤鎺?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 8 | Script= 澶╃瓥\澶╃瓥_鏉庢浮鍩庡垽鏂箻楠戠姸鎬?lua
   2781 杞咕鍧ゅ厤鎺?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 96 | Script= 
   2847 楣婅笍鏋漘鍏嶆帶_绱犺】 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 24 | Script= 
   3275 鍞愰棬_娴厜鎺犲奖_鍔犻€熷厤鎺?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 48 | Script= 
   3279 鍞愰棬_瀛愭瘝鍕綺鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 32 | Script= 
   3758 鍞愰棬_椋炴槦閬侀殣_鐭殏鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 8 | Script= 
   3822 浜旀瘨_鐚キ铦磋澏_鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 32 | Script= 
   4245 鏄庢暀_鏈濆湥瑷€_鑷韩鍑忎激鍏嶆帶 | FT=  | Decay=  | MS= 1400897666 | Ban=  | Inv=  | A1= atGlobalResistPercent 614 | Cnt= 1 Ivl= 16 | Script= 
   4341 灏忔姝OSS_钘忓墤_椋庢潵鍚村北鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 12 | Script= 
   4421 鏄庢暀_澶滃弶蹇僟鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 48 | Script= 
   4439 鏄庢暀_璐瓟浣揰鍑忎激鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atCallSubBuff 33086 | Cnt= 1 Ivl= 16 | Script= 鏄庢暀/鏄庢暀_璐瓟浣?lua
   4626 灏忔姝OSS_榫欓緹_閲戞棆_鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 16 | Script= 
   4969 澶ф垬閮悓钀宊鍩烘湰灞炴€鍏嶆帶 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 0 | Script= 
   5306 涓€绾垮ぉ_涓€鍙峰皬鎬猒鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 16 | Script= 
   5949 闂ㄦ淳娲诲姩_NPC鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atImmunity 2 | Cnt= 1 Ivl= 16 | Script= 
   5950 浜旀瘨_铔婅櫕鐚キ閫氱敤鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 6 Ivl= 16 | Script= 
   5959 澶ф槑瀹玙榛戣壊鍌€鍎鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atImmunity 2 | Cnt= 1 Ivl= 16 | Script= 
   5963 涓愬府闂ㄦ淳娲诲姩_閫氱敤鍏嶆帶BUFF | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 0 | Script= 
   5995 涓愬府_绗戦唹鐙俖鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 16 | Script= 
   6015 涓愬府_榫欒穬浜庢笂_鍏嶆帶3绉?| FT=  | Decay=  | MS= 2684256254 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 88 | Script= 
   6087 鍞愰棬_椋炴槦閬佸奖鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 64 | Script= 
   6192 灏戞灄_鏃犵浉鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atImmunity 2 | Cnt= 1 Ivl= 160 | Script= 
   6219 浜旀瘨_濂囩┐_瀹犵墿鍔犲厤鎺?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atImmunity 2 | Cnt= 1 Ivl= 0 | Script= 
   6279 鏄庢暀_璐瓟浣揰鍑忎激鍏嶆帶_璐瓟浼愮姜 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atCallSubBuff 33086 | Cnt= 1 Ivl= 16 | Script= 鏄庢暀/鏄庢暀_璐瓟浣?lua
   6292 绾槼_鐖嗗悶鏃ユ湀鍏嶆帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atImmunity 2 | Cnt= 1 Ivl= 32 | Script= 
====================================================================================================
鍙嶄激 count 21
   5111 涓€绾垮ぉ_鑻忔竻_鏃犳噲鍙嚮鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLifeReplenishExt 900 | Cnt= 1 Ivl= 16 | Script= 
   5280 涓€绾垮ぉ_闇归洺_鍑忎激鍙嶄激buff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 1024 | Cnt= 1 Ivl= 16 | Script= 
   5709 澶ф槑瀹玙鏃犲悕_鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflection 492 | Cnt= 1 Ivl= 16 | Script= 
   7517 椋庨洩绋婚鏉慱榛戦拱_鎰佽檻鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 100 Ivl= 80 | Script= 
   7809 椋庨洩绋婚鏉慱榛戦拱_鎰佽檻棰濆鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 100 Ivl= 80 | Script= 
   11018 1鍙穇蹇冮瓟鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 10 | Cnt= 1 Ivl= 0 | Script= 
   11912 鏌崇宀砡閲戝弽浼ょ浘 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 100 | Cnt= 1 Ivl= 160 | Script= 
   14816 4鍙穇鐚村瓙鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atNeutralMagicReflectionPercent 1024 | Cnt= 1 Ivl= 80 | Script= 
   15755 鍙嶄激鏁堟灉 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 512 | Cnt= 6 Ivl= 16 | Script= 
   15942 鍙嬪杽鍙嶄激鏁堟灉 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 307 | Cnt= 10 Ivl= 16 | Script= 
   17011 鐙肩墮棣栭_鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 512 | Cnt= 8 Ivl= 16 | Script= Quest/ACT_鍦烘櫙棰勭儹/鐙肩墮棣栭_鍙嶄激钃勫姏.lua
   17596 鍗﹁薄路姘村潕鍥哄畾鍑忎激鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSkillEventHandler 1858 | Cnt= 1 Ivl= 160 | Script= 
   19969 淇綏鍍P1_鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Script= 
   20695 涓婃潐鍕囧垁_鏋硶_閾佹灄_鍐呭姛鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 5 | Cnt= 1 Ivl= 16 | Script= 
   22347 璋簯娴乢绉婚櫎鍙嶄激鐩戞帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 39 Ivl= 4 | Script= 
   26394 閫氱敤_鐧炬垬鎶€鑳藉弽浼?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Script= 
   26463 鐗′腹_琛€娑傞鏆確鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atPhysicsReflectionPercent 102 | Cnt= 1 Ivl= 320 | Script= 
   29649 2鍙穇闊︽煍涓漘澶栧姛鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atSkillEventHandler 2768 | Cnt= 1 Ivl= 0 | Script= 
   29650 2鍙穇闊︽煍涓漘鍐呭姛鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atSkillEventHandler 2767 | Cnt= 1 Ivl= 0 | Script= 
   30069 PVP涓婅。鍙嶄激_鍐呯疆CD | FT=  | Decay=  | MS= 3758096382 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 160 | Script= 
   31393 5鍙穇灏归洩灏榑瀹氭尝鎶垫緶_鍙嶄激 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsReflectionPercent 820 | Cnt= 1 Ivl= 16 | Script= 
====================================================================================================
鍙嶅脊 count 43
   371 鍙嶅脊 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atPhysicsReflection 100 | Cnt= 1 Ivl= 320 | Script= 
   768 灏戞灄鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsReflection 50 | Cnt= 1 Ivl= 80 | Script= 
   1078 鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsReflection 50 | Cnt= 1 Ivl= 4800 | Script= 
   4147 鎴樻枟濉擾浼ゅ鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 102 | Cnt= 1 Ivl= 160 | Script= 
   4780 闂ㄦ淳娲诲姩_涔濆瓙杩炵幆鍥哄弽寮?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsReflection 98518 | Cnt= 1 Ivl= 16 | Script= 
   5703 灏戞灄_鏃犵浉璇€_鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 205 | Cnt= 1 Ivl= 160 | Script= 
