SkillID	Level	Name	Desc
25028	1	神遁	自身在“连局”内免疫控制（击退和被拉除外）；“起卦”调息时间增加3秒，免控时间缩短3秒。<TALENT_CORE 25368 1>
25367	1	风遁	施展“鬼星开穴”重置“奇门飞宫”充能时间；“起卦”免控时间提高6秒。<TALENT_CORE 37456 1>
28716	1	浅碧	“绿野蔓生”调息时间降低3秒，“绿野蔓生”持续时间延长至7秒但结束后不再获得免控。处于自身“绿野蔓生”状态期间，自身6尺范围内最多3个团队成员不会重伤。
32148	0	触石雨	尝试冲向目标，对目标造成<SUB 32766 1>外功伤害并使其2秒内无法施展轻功，若目标未被击倒且没有免控效果则将其抱摔击倒5秒；若冲刺结束没有命中目标，且目标距离自身15尺内，则会再对该目标进行一次冲刺。该招式可在“驰风八步”后撤过程中施展。<TALENT 32495 1 命中已经被击倒的目标伤害提高60%，并击倒周围6尺内的3个目标><TALENT 32611 1 >
35980	1	珠袖	“蝶弄足”调息时间降低15秒，附带的免控时间延长2秒，并使下一个“江海凝光”引爆“急曲”时根据层数造成额外伤害。
37065	1	活络	“水月无间”变为两层充能招式，充能时间50秒。“水月无间”免控效果期间，使自身免疫缴械和无法运功效果的影响，且运功不会被打断。
40130	1	穿枝	“蝶弄足”充能时间降低20秒，免疫控制效果时间额外增加2秒，免控期间可激活二段招式：向前疾奔30尺，回复自身10%气血，使路径上的10个友方目标附带“翔舞”效果。
40249	1	洇墨	“星楼月影”免控期间移动速度提高30%，每秒使自身15尺范围气血值最低的队友获得2层“毫针”。
41343	1	游丝枕月	解除控制，使自身8秒内免疫控制并获得40%气血最大值的护盾。\n可施展二段招式跃起，将自身用丝线悬挂在空中3秒，并延长免控时间5秒。跃起及悬挂期间受到伤害降低40%，可施展“傀儡调”套路招式。<TALENT 42132 1 >
42132	1	任风波	“游丝枕月”免控时间增加3秒。二段招式可施展时间延长至20秒，改为向后飘荡一段距离落地，伶影将立即出现在自身原位置并施展一次无需运功的“四边静”。
42198	1	游丝枕月	跃起将自身用丝线悬挂在空中3秒，并延长免控时间5秒。跃起及悬挂期间受到伤害降低40%，可施展“傀儡调”套路招式。
42564	1	踏风	“龙骧虎步”免控持续时间增5秒，调息时间增加15秒，施展后回复的狂意、刀魂、气劲提升至60点。
44317	1	酣饮	“笑醉狂”调息时间提高至75秒，持续时间和免控时间提高至10秒，期间移动将结束运功，每秒对自身半径12尺范围内最多8个友方目标添加6秒<NounID 117>效果。
