ID	Name	Useage	FunctionType	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Exclude	GlobalExclude	UniqueTarget	CanCancel	IsCountable	DecayType	MoveStateMask	MapBanMask	CanAccumulate	MapInvalidMask	IsCombatBuff	MinInterval	MoveStateMask2	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	CanTransfer	CostSingleStack	Coexist	IsIntensityStackable	ScriptFile
3636	鑽昏姳鍦ｆ_钘忓墤姝﹀櫒鐗规晥_閿佽冻	39		12	0		1	100	0	1	1	16	1	1	0	0			3758030846		0			16	63	16	1	0	1					
3636	鑽昏姳鍦ｆ_钘忓墤姝﹀櫒鐗规晥_閿佽冻	39		12	0		2	99	0	1	1	64	1	1	0	0			3758030846		0			64	63	64	1	0	1					
3932	鍞愰棬浼氭垬_閬撳叿缁炲枆閿佽冻	30		3932	0		1	1	0	1	1	46	1	1	0	0			3758030846		0			46	63	46	1	0	1					
3957	鎸佸浗鍥炲繂褰昣绱拱_绱椋為晼_閿佽冻	30		3957	0		1	1	0	1	1	80	1	1	0	0			3758030846		0			80	63	80	1	0	1					
4020	鏄庢暀_骞芥湀杞甠绗笁涓嬮攣瓒?8	Charm	12	8		1	1	0	1	1	16	1	1	0	0		8	3758030846		0			16	63	16	1	0	1					
4038	閿佽冻	51		4038	0		1	1	0	1	1	16	1	1	0	0			3758030846		0			16	63	16	1	0	1					
4055	鏄庢暀_娴佸厜鍥氬奖_閿佽冻	8	Charm	12	0		1	8	0	1	1	8	1	1	0	0			3758030846		0			8	63	8	1	0	1					
4390	鍗楄瘡鐨囧_鏋崳澶у笀_灏戝晢鍓慱閿佽冻	64		4390	0		1	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4390	鍗楄瘡鐨囧_鏋崳澶у笀_灏戝晢鍓慱閿佽冻	64		4390	0		2	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4391	鍗楄瘡鐨囧_鏋崳澶у笀_鍟嗛槼鍓慱閿佽冻	64		4391	0		1	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4391	鍗楄瘡鐨囧_鏋崳澶у笀_鍟嗛槼鍓慱閿佽冻	64		4391	0		2	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4392	鍗楄瘡鐨囧_鏋崳澶у笀_涓啿鍓慱閿佽冻	64		4392	0		1	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4392	鍗楄瘡鐨囧_鏋崳澶у笀_涓啿鍓慱閿佽冻	64		4392	0		2	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4393	鍗楄瘡鐨囧_鏋崳澶у笀_鍏冲啿鍓慱閿佽冻	64		4393	0		1	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4393	鍗楄瘡鐨囧_鏋崳澶у笀_鍏冲啿鍓慱閿佽冻	64		4393	0		2	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4394	鍗楄瘡鐨囧_鏋崳澶у笀_灏戝啿鍓慱閿佽冻	64		4394	0		1	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4394	鍗楄瘡鐨囧_鏋崳澶у笀_灏戝啿鍓慱閿佽冻	64		4394	0		2	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4395	鍗楄瘡鐨囧_鏋崳澶у笀_灏戞辰鍓慱閿佽冻	64		4395	0		1	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4395	鍗楄瘡鐨囧_鏋崳澶у笀_灏戞辰鍓慱閿佽冻	64		4395	0		2	1	0	1	1	112	1	1	0	0			1342193664		0			112	60	112	1	0	1					
4434	鏄庢暀_澶滃弶蹇僟涓嬩竴鎷涢攣瓒?8		4434	0		1	1	0	1	1	160	1	1	0	1			3758030846		0			160	63	160	1	0	1					
4436	鏄庢暀_澶滃弶蹇僟閿佽冻	8	Charm	12	0		1	80	0	1	1	64	1	1	0	0		1	1342193664		0			64	60	64	1	0	1					
4446	绁炲墤鍐鎮查瓟楗ョ伀_骞芥湀閿佽冻	221	Charm	12	0		1	48	0	1	1	48	1	1	0	0			3758030846		0			48	63	48	1	0	1					
4758	鏄庢暀_绉樼睄_鎬栫晱鏆楀垜闅愯韩閿佽冻	8	Charm	12	8		1	64	0	1	1	64	1	1	0	0		1	1342193664		0			64	60	64	1	0	1					
