ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	MaxFarmerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	MiniMapResourcePath	ScriptFile	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap	MaxCastleVIPPlayerCount	CanJoinCastleVIPQueue	BanTradeItemMask	CanTradeMoney	BanEquipItemMask	CanExistItemMask	IsBattlefield	IsDungeonRoleProgressMap	MapCostVigor	SyncTempData	IsTongLeagueMap	OperationMask	EnableNav	EnableNavAutoFly	AutoSelectIndex	LackMapPakBitIndex	NavWaterG
12	枫华谷	枫华谷	100	1	2	1	1	0	1		1	1024			10	0	0	0	21	1	0	0	0	0	0	0	data\source\maps\枫华谷\枫华谷.jsonmap			0	0	0	388	4	0	0		1	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1			10
13	金水镇	金水镇	100	1	2	1	1	0	1		1	1000			10	0	0	0	1	1	0	0	0	0	0	0	data\source\maps\金水镇\金水镇.jsonmap			0	0	0	389	4	0	0		1	1	16	1	0	1	1		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
14	灵霄峡	灵霄峡	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\灵霄峡\灵霄峡.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50				1	0			10
15	长安	长安	100	1	2	0	1	0	1		1	1500			10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\长安\长安.jsonmap			0	0	0	383	1	0	0		0	1	16	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1		3	10
16	七秀	七秀	100	1	2	0	1	0	2		1	1500	1200		10	0	0	0	6	1	0	0	0	0	0	0	data\source\maps\七秀\七秀.jsonmap			0	0	0	379	1	0	0		0	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1	1		10
17	天工坊	天工坊	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\天工坊\天工坊.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50				1	0			10
18	无盐岛	无盐岛	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\无盐岛\无盐岛.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50				1	0			10
19	空雾峰	空雾峰	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\空雾峰\空雾峰.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50				1	0			10
20	天地三才阵	天地三才阵	100	2	4	0	0	1	4096		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\天地三才阵\天地三才阵.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50				1	0			10
21	巴陵县	巴陵县	100	1	2	1	1	0	1		1	1000			10	0	0	0	21	1	0	0	0	0	0	0	data\source\maps\巴陵县\巴陵县.jsonmap			0	0	0	393	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			100
22	南屏山	南屏山	100	1	2	1	1	0	1		1	1000			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\南屏山\南屏山.jsonmap			0	0	0	392	5	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
23	龙门荒漠	龙门荒漠	100	1	2	1	1	0	1		1	1200			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\龙门荒漠\龙门荒漠.jsonmap			0	0	0	390	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	300	450	450	2	0				1	1	1	0							1	1			10
25	浩气盟	浩气盟	100	1	2	0	1	0	10		1	1400			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\浩气盟\浩气盟.jsonmap			0	0	0	781	5	0	1		0	1	16	1	0	1	0		0	0	0	1			1	1	200	600	600	2	0				1	1	1	0							1	1			10
26	荻花宫前山	荻花宫前山	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\荻花宫前山\荻花宫前山.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
27	恶人谷	恶人谷	100	1	2	0	1	0	10		1	1400			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\恶人谷\恶人谷.jsonmap			0	0	0	406	5	0	1		0	1	16	1	0	1	0		0	0	0	1			1	1	200	600	600	2	0				1	1	1	0							1	1			10
28	日轮山城	日轮山城	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\日轮山城\日轮山城.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
29	五十级云湖天池	五十级云湖天池	100	4	5	0	0	2	512		1	24			10	0	0	0		0	1	0	256	2	160	0	data\source\maps\五十级云湖天池\五十级云湖天池.map			0	0	0		5	0	0		0	0	16	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0						7	0	0			10
30	昆仑	昆仑	100	1	2	1	1	0	1		1	1000			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\昆仑\昆仑.jsonmap			0	0	0	391	5	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
31	特殊光照地图1	特殊光照地图2	100	1	2	0	0	0	1		1	64			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\特殊光照地图1\特殊光照地图1.map			0	0	0		1	0	0		0	0	16	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							0	0			10
32	战宝迦兰	战宝迦兰	100	2	6	0	0	1	256		1	10			2	0	4320	420		0	1	0	128	0	0	0	data\source\maps\战宝迦兰\战宝迦兰.jsonmap			0	0	1		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
33	天子峰	天子峰	100	2	4	0	0	1	128		1	5			10	1	1440	420		0	1	0	128	0	0	0	data\source\maps\天子峰\天子峰.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			75				1	0			10
34	风雨稻香村	风雨稻香村	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\风雨稻香村\风雨稻香村.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
35	瞿塘峡	瞿塘峡	100	1	2	1	1	0	1		1	1000			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\瞿塘峡\瞿塘峡.jsonmap			0	0	0	789	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
36	英雄天地三才阵	英雄天地三才阵	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄天地三才阵\英雄天地三才阵.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
37	英雄天工坊	英雄天工坊	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄天工坊\英雄天工坊.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
38	神农洇	神农洇	100	4	5	0	0	2	512		1	34			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\神农洇\神农洇.jsonmap			0	0	0		5	0	0		0	0	16	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1					7	0	0			10
39	四十级云湖天池	四十级云湖天池	100	4	5	0	0	2	512		1	24			2	0	0	0		0	1	0	256	2	160	0	data\source\maps\四十级云湖天池\四十级云湖天池.map			0	0	0		5	0	0		0	0	16	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1					7	0	0			10
40	英雄荻花宫前山	英雄荻花宫前山	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄荻花宫前山\英雄荻花宫前山.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			75				1	0			10
41	英雄无盐岛	英雄无盐岛	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄无盐岛\英雄无盐岛.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
42	英雄天子峰	英雄天子峰	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄天子峰\英雄天子峰.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			95				1	0			10
43	英雄空雾峰	英雄空雾峰	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄空雾峰\英雄空雾峰.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
44	英雄日轮山城	英雄日轮山城	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄日轮山城\英雄日轮山城.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			75				1	0			10
45	英雄灵霄峡	英雄灵霄峡	100	2	4	0	0	1	256		1	5			2	1	1440	420	2	0	1	0	128	0	0	0	data\source\maps\英雄灵霄峡\英雄灵霄峡.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65				1	0			10
46	英雄战宝迦兰	英雄战宝迦兰	100	2	6	0	0	1	256		1	25			2	1	10080	6180		0	1	0	128	0	0	0	data\source\maps\英雄战宝迦兰\英雄战宝迦兰.jsonmap			0	0	1		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
47	英雄风雨稻香村	英雄风雨稻香村	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄风雨稻香村\英雄风雨稻香村.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			75				1	0			10
48	珍珑棋谷	珍珑棋谷	100	4	5	0	0	2	512		1	54			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\珍珑棋谷\珍珑棋谷.jsonmap			0	0	0		5	0	0		0	0	16	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1					7	0	0			10
49	藏剑山庄	藏剑山庄	100	1	2	0	1	0	2		1	1500	1200		10	0	0	0	4	1	0	0	0	0	0	0	data\source\maps\藏剑山庄\藏剑山庄.jsonmap			0	0	0	1337	1	0	0		0	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1	1		10
50	丝绸之路	丝绸之路	100	4	5	0	0	2	512		1	54			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\丝绸之路\丝绸之路.jsonmap			0	0	0		5	0	0		0	0	16	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1					7	0	0			10
51	剑冢	剑冢	100	2	4	0	0	1	128		1	5			10	1	1440	420		0	1	0	128	0	0	0	data\source\maps\剑冢\剑冢.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50				1	0			10
52	七十级云湖天池	七十级云湖天池	100	4	5	0	0	2	512		1	24			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\七十级云湖天池\七十级云湖天池.jsonmap			0	0	0		5	0	0		0	0	16	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1					7	0	0			10
53	邀星坪_夜射天狼	邀星坪_夜射天狼	100	4	4	0	0	1	128		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\邀星坪_夜射天狼\邀星坪_夜射天狼.map			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0				1	1	1	0							0	0			10
55	守株围场_打猎	守株围场_打猎	100	2	4	0	0	1	64		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\守株围场_打猎\守株围场_打猎.map			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0				1	1	1	0							0	0			10
56	困龙岭_梅花桩	困龙岭_梅花桩	100	2	4	0	0	1	64		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\困龙岭_梅花桩\困龙岭_梅花桩.map			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0				1	1	1	0							0	0			10
57	陷空坳_宇文宝藏	陷空坳_宇文宝藏	100	2	4	0	0	1	128		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\陷空坳_宇文宝藏\陷空坳_宇文宝藏.map			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0				1	1	1	0							0	0			10
58	百草园	百草园	100	2	4	0	0	4	512		1	50			10	0	0	0		1	1	0	6	0	0	0	data\source\maps\百草园\百草园.map			0	0	0		1	0	0		0	0	16	0	0	0	0		6	0	0	1			1	0	0	0	0	1	0				1	1	1	0							0	0			10
60	持国天王殿	持国天王殿	100	3	6	0	0	1	256		1	10			10	0	4320	420		0	1	0	128	0	0	0	data\source\maps\持国天王殿\持国天王殿.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
61	宫中神武遗迹	宫中神武遗迹	100	3	6	0	0	1	256		1	10			10	0	4320	420		0	1	0	128	0	0	0	data\source\maps\宫中神武遗迹\宫中神武遗迹.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
62	英雄剑冢	英雄剑冢	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄剑冢\英雄剑冢.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			105				1	0			10
63	英雄宫中神武遗迹	英雄宫中神武遗迹	100	3	6	0	0	1	256		1	25			2	1	10080	6180		0	1	0	128	0	0	0	data\source\maps\英雄宫中神武遗迹\英雄宫中神武遗迹.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
64	25人普通宫中神武遗迹	25人普通宫中神武遗迹	100	3	6	0	0	1	256		1	25			2	1	10080	6180		0	1	0	128	0	0	0	data\source\maps\25人普通宫中神武遗迹\25人普通宫中神武遗迹.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
65	25人普通持国天王殿	25人普通持国天王殿	100	3	6	0	0	1	256		1	25			2	1	10080	6180		0	1	0	128	0	0	0	data\source\maps\25人普通持国天王殿\25人普通持国天王殿.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
66	英雄持国天王殿	英雄持国天王殿	100	3	6	0	0	1	256		1	25			2	1	10080	6180		0	1	0	128	0	0	0	data\source\maps\英雄持国天王殿\英雄持国天王殿.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
67	荻花宫后山	荻花宫后山	100	3	6	0	0	1	256		1	10			2	0	4320	6180		0	1	0	128	0	0	0	data\source\maps\荻花宫后山\荻花宫后山.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
68	荻花圣殿	荻花圣殿	100	3	6	0	0	1	256		1	10			2	0	4320	420		1	1	0	128	0	0	0	data\source\maps\荻花圣殿\荻花圣殿.jsonmap			0	0	1		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
69	10人英雄荻花圣殿	10人英雄荻花圣殿	100	3	6	0	0	1	256		1	10			2	1	4320	420		0	1	0	128	0	0	0	data\source\maps\10人英雄荻花圣殿\10人英雄荻花圣殿.jsonmap			0	0	1		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
70	25人普通荻花圣殿	25人普通荻花圣殿	100	3	6	0	0	1	256		1	25			2	1	10080	6180		1	1	0	128	0	0	0	data\source\maps\25人普通荻花圣殿\25人普通荻花圣殿.jsonmap			0	0	1		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
71	仙踪林	仙踪林	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\仙踪林\仙踪林.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
72	25人英雄荻花圣殿	25人英雄荻花圣殿	100	3	6	0	0	1	256		1	25			2	1	10080	6180		0	1	0	128	0	0	0	data\source\maps\25人英雄荻花圣殿\25人英雄荻花圣殿.jsonmap			0	0	1		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
73	英雄荻花宫后山	英雄荻花宫后山	100	3	6	0	0	1	256		1	10			2	1	4320	6180		0	1	0	128	0	0	0	data\source\maps\英雄荻花宫后山\英雄荻花宫后山.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
74	帮会领地	帮会领地	100	1	4	0	1	4	900	590	1	900			1	0	0	0		1	1	0	6	2	0	0	data\source\maps\帮会领地\帮会领地.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	1		6	0	0	1			1	0	300	300	300	1	0				1	1	1	0				1			1	1			10
75	毒神殿	毒神殿	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\毒神殿\毒神殿.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
100	白龙口	白龙口	100	1	2	1	1	0	1		1	1000			10	0	0	0	23	1	0	0	0	0	0	0	data\source\maps\白龙口\白龙口.jsonmap			0	0	0	1854	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
101	无量山	无量山	100	1	2	1	1	0	1		1	1000			10	0	0	0	23	1	0	0	0	0	0	0	data\source\maps\无量山\无量山.jsonmap			0	0	0	1861	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
102	五毒	五毒	100	1	2	0	1	0	2		1	1500	1200		10	0	0	0	11	1	0	0	0	0	0	0	data\source\maps\五毒\五毒.jsonmap			0	0	0	1876	1	0	0		0	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1	1		10
103	融天岭	融天岭	100	1	2	1	1	0	1		1	1000			10	0	0	0	23	1	0	0	0	0	0	0	data\source\maps\融天岭\融天岭.jsonmap			0	0	0	1817	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
104	黑龙沼	黑龙沼	100	1	2	1	1	0	1		1	1000			10	0	0	0	23	1	0	0	0	0	0	0	data\source\maps\黑龙沼\黑龙沼.jsonmap			0	0	0	1832	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
105	苍山洱海	苍山洱海	100	1	2	1	1	0	1		1	1000			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\苍山洱海\苍山洱海.jsonmap			0	0	0	6442	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
106	法王窟	法王窟	100	2	4	0	0	1	128		1	5			10	1	1440	420		0	1	0	128	0	0	0	data\source\maps\法王窟\法王窟.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
107	无量宫	无量宫	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\无量宫\无量宫.jsonmap			0	0	0		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
108	成都	成都	100	1	2	0	1	0	1		1	1200	1150		10	0	0	0	23	1	0	0	16	0	0	0	data\source\maps\成都\成都.jsonmap			0	0	0	1807	1	0	0		0	1	16	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0				1	1	1	0				1			1	1		4	10
109	龙渊泽	龙渊泽	100	3	6	0	1	1	320		1	10			2	0	4320	420		0	1	0	128	0	0	0	data\source\maps\龙渊泽\龙渊泽.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
110	寂灭厅	寂灭厅	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\寂灭厅\寂灭厅.jsonmap			0	0	1		1	0	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0							1	0			10
111	英雄仙踪林	英雄仙踪林	100	2	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄仙踪林\英雄仙踪林.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			80				1	0			10
112	英雄毒神殿	英雄毒神殿	100	2	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	128	0	0	0	data\source\maps\英雄毒神殿\英雄毒神殿.jsonmap			0	0	0		1	1	0		0	0	16	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			80				1	0			10
